---
tags:
- devops
- l2
- flashcard-deck
- git-advanced
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L2: Practitioner](../../../../library/portal/levels.md) | **Topics:** [Git Advanced](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
git-adv/deca204e028c	git-adv	medium	git, cherry-pick, branches	What does git cherry-pick do and when would you use it?	cherry-pick applies a specific commit from one branch onto another, creating a new commit with the same changes.\n\ngit cherry-pick abc1234\ngit cherry-pick abc1234..def5678  # range (exclusive start)\ngit cherry-pick -x abc1234        # adds '(cherry picked from ...)' to message\n\nUse cases: backporting a bugfix to a release branch, selectively pulling changes. Caution: creates duplicate commits — prefer merge/rebase for full branch integration.	interview-qa-gap-analysis
git-adv/5e3365736782	git-adv	medium	git, bisect, debugging	How does git bisect work?	bisect uses binary search to find the commit that introduced a bug.\n\ngit bisect start\ngit bisect bad          # current commit is broken\ngit bisect good v1.0    # this tag was working\n# Git checks out the midpoint — test it\ngit bisect good         # or 'bad'\n# Repeat until found\ngit bisect reset        # return to original branch\n\nAutomate: git bisect run ./test.sh (exit 0 = good, non-zero = bad). Finds the culprit in O(log n) commits. Essential for debugging regressions in large histories.	interview-qa-gap-analysis
git-adv/ef9da4e31718	git-adv	medium	git, stash, workflow	Explain git stash subcommands: pop vs apply, show, list	git stash temporarily shelves uncommitted changes.\n\ngit stash              # stash tracked changes\ngit stash -u           # include untracked files\ngit stash list         # show all stashes\ngit stash show -p      # show diff of latest stash\ngit stash apply        # restore but keep in stash list\ngit stash pop          # restore and remove from stash list\ngit stash drop stash@{2}  # delete specific stash\ngit stash branch newbranch # create branch from stash\n\npop = apply + drop. Use apply when you want to apply the same stash to multiple branches. Named stashes: git stash push -m 'description'.	interview-qa-gap-analysis
git-adv/d39accea29fb	git-adv	medium	git, reflog, recovery	What is git reflog and how do you recover lost commits?	reflog records every HEAD movement locally — a safety net for recovering 'lost' work.\n\ngit reflog                     # show HEAD history\ngit reflog show feature-branch # show branch history\ngit checkout HEAD@{3}          # go back 3 HEAD changes\ngit branch recovery abc1234    # create branch at lost commit\n\nRecovery examples:\n- After bad rebase: git reset --hard HEAD@{1}\n- After deleted branch: find SHA in reflog, git branch restore <sha>\n- After bad reset: git reset --hard HEAD@{N}\n\nReflog entries expire after 90 days (30 for unreachable). Local only — not shared via push/pull.	interview-qa-gap-analysis
git-adv/5d51645449d1	git-adv	medium	git, blame, history	How does git blame work and what are its useful options?	blame shows who last modified each line of a file.\n\ngit blame file.py              # basic blame\ngit blame -L 10,20 file.py     # lines 10-20 only\ngit blame -w file.py           # ignore whitespace changes\ngit blame -C file.py           # detect moved/copied lines\ngit blame -C -C file.py        # also detect from other files\ngit blame --since=2w file.py   # only recent changes\n\ngit annotate is an alias with slightly different output format. For finding when a line was deleted, use git log -S 'deleted text' (pickaxe search). Combine with -M to detect moves.	interview-qa-gap-analysis
git-adv/388c3fd447c6	git-adv	hard	git, submodules, dependencies	Explain git submodules and their common operations	Submodules embed one Git repo inside another at a specific commit.\n\ngit submodule add <url> path/   # add submodule\ngit submodule update --init     # clone submodule after fresh clone\ngit submodule update --remote   # pull latest from submodule remote\ngit submodule foreach 'git pull origin main'\n\nThe parent repo tracks a specific commit SHA, not a branch. After updating a submodule, you must commit the parent repo to record the new SHA.\n\nCommon gotchas: detached HEAD in submodules (normal), forgetting --recurse-submodules on clone, CI needing explicit submodule init. Alternative: git subtree (merges history) or package managers.	interview-qa-gap-analysis
git-adv/ea5a554fbeb3	git-adv	medium	git, gitattributes, configuration	What is .gitattributes and what problems does it solve?	.gitattributes controls per-path Git behavior: line endings, diff drivers, merge strategies, LFS tracking.\n\nCommon entries:\n*.sh     text eol=lf          # force Unix line endings\n*.bat    text eol=crlf        # force Windows line endings\n*.png    binary               # treat as binary (no diff/merge)\n*.pbxproj merge=union         # auto-merge by taking both sides\n*.lock   linguist-generated   # exclude from GitHub stats\n*.csv    diff=csv             # custom diff driver\n*.psd    filter=lfs diff=lfs  # Git LFS tracking\n\nPlace in repo root (or any directory for scoped rules). Prevents cross-platform line ending issues and enables binary file handling with LFS.	interview-qa-gap-analysis
git-adv/cc66a490b79d	git-adv	medium	git, worktree, workflow	How does git worktree work?	worktree lets you check out multiple branches simultaneously in separate directories — no stashing or cloning needed.\n\ngit worktree add ../hotfix release-1.0  # check out branch in new dir\ngit worktree add ../experiment -b new-feature  # create + check out\ngit worktree list                       # show all worktrees\ngit worktree remove ../hotfix           # clean up\n\nEach worktree shares the same .git data but has its own working directory and index. You cannot check out the same branch in two worktrees. Great for: reviewing PRs while keeping your work intact, running tests on another branch, comparing implementations side by side.	interview-qa-gap-analysis
git-adv/59889d8e8122	git-adv	medium	git, merge, rebase, workflow	Explain the difference between merge and rebase	merge creates a merge commit preserving both branch histories. rebase replays commits onto a new base, creating a linear history.\n\n# Merge: feature into main\ngit checkout main && git merge feature\n# Creates merge commit M with two parents\n\n# Rebase: feature onto main\ngit checkout feature && git rebase main\n# Replays feature commits on top of main\n\nRebase produces cleaner history but rewrites commits (new SHAs). Golden rule: never rebase commits that have been pushed and shared. Use merge for shared branches, rebase for local cleanup before merging. Interactive rebase (git rebase -i) lets you squash, edit, reorder commits.	interview-qa-gap-analysis
git-adv/049e9ff262e4	git-adv	medium	git, merge, conflicts	How do you resolve merge conflicts?	Conflict markers in files:\n<<<<<<< HEAD\nyour changes\n=======\ntheir changes\n>>>>>>> feature-branch\n\nResolution steps:\n1. Open conflicted files, choose/combine changes\n2. Remove conflict markers (<<<<, ====, >>>>)\n3. git add resolved_file.py\n4. git commit  # or git merge --continue\n\nTools:\ngit mergetool              # launch configured merge tool\ngit checkout --ours file   # take our version entirely\ngit checkout --theirs file # take their version entirely\ngit diff --check           # verify no markers remain\n\nPrevent: communicate about shared files, merge frequently, keep branches short-lived.	interview-qa-gap-analysis
