---
tags:
- cloud
- l1
- flashcard-deck
- aws-devops
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Cloud Deep Dive](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-devops/0088be2410c7	aws-devops	medium	aws, cloudwatch, systems-manager	"What the role ""EC2 Instance Profile"" is used for in regards to ECS?"	EC2 Instance Profile used by ECS agent on an EC2 instance to:\n\n  * Make API calls to ECS Service\n  * Send logs to CloudWatch from the container\n  * Use secrets defined in SSM Parameter Store or Secrets Manager\n  * Pull container images from ECR (Registry)\n\nRemember: infrastructure as code (CloudFormation, CDK, Terraform) is the foundation of DevOps on AWS. Never click-configure production resources in the console.	projects/knowledge/interview/aws/135-what-the-role-ec2-instance-profile-is-used-for-in-.txt
aws-devops/022c521e0319	aws-devops	easy	aws, cloudformation, config	Explain what is CloudFormation	"AWS definition: ""AWS CloudFormation is a service that helps you model and set up your Amazon Web Services resources so that you can spend less time managing those resources and more time focusing on your applications that run in AWS. You create a template that describes all the AWS resources that you want (like Amazon EC2 instances or Amazon RDS DB instances), and CloudFormation takes care of provisioning and configuring those resources for you.""\n\nRemember: CloudFormation = AWS-native IaC. Templates (JSON/YAML) define stacks. Drift detection shows manual changes. Rollback on failure by default."	projects/knowledge/interview/aws/358-explain-what-is-cloudformation.txt
aws-devops/034a1f2b1985	aws-devops	medium	aws, cloudformation	What is CloudFormation in AWS?	AWS CloudFormation: It's a service that helps model and set up your AWS resources using templates. It allows you to describe and provision all the infrastructure resources in your cloud environment.\n\nRemember: CloudFormation = AWS-native IaC. Templates (JSON/YAML) define stacks. Drift detection shows manual changes. Rollback on failure by default.	projects/knowledge/interview/aws/429-what-is-cloudformation-in-aws.txt
aws-devops/0bf2709fdfe3	aws-devops	easy	aws, cloudwatch	What is AWS CloudWatch?	"AWS definition: ""Amazon CloudWatch is a monitoring and observability service...""\n\nMore on CloudWatch [here](https://aws.amazon.com/cloudwatch)\n\nRemember: AWS DevOps services: CodeCommit (Git), CodeBuild (CI), CodeDeploy (CD), CodePipeline (orchestration), CloudFormation (IaC), Systems Manager (fleet ops).\n\nGotcha: AWS native DevOps tools work well together but can feel limited compared to GitHub Actions or GitLab CI. Evaluate before committing."	projects/knowledge/interview/aws/344-what-is-aws-cloudwatch.txt
aws-devops/0fb0d0b65b3e	aws-devops	hard	aws, cloudwatch	How can you customize the trigger for the scaling in/out of an auto scaling group?	One way is to use CloudWatch alarms where an alarm will monitor a metric and based on a certain value (or range) you can choose to scale-in or scale-out the ASG.\n\nRemember: infrastructure as code (CloudFormation, CDK, Terraform) is the foundation of DevOps on AWS. Never click-configure production resources in the console.	projects/knowledge/interview/aws/204-how-can-you-customize-the-trigger-for-the-scaling-.txt
aws-devops/2027fbc2e3b2	aws-devops	hard	aws, cloudformation	Why cloudformation when Terraform is already there.	Both are like different languages for giving instructions to set up your office building. CloudFormation is AWS’s language, while Terraform is like a multi-language translator that works across different cloud providers. CloudFormation is AWS’s native service, while Terraform is a third-party, multi-cloud infrastructure provisioning tool.\n\nRemember: CloudFormation = AWS-native IaC. Templates (JSON/YAML) define stacks. Drift detection shows manual changes. Rollback on failure by default.	projects/knowledge/interview/aws/414-why-cloudformation-when-terraform-is-already-there.txt
aws-devops/3dcd0ea01c06	aws-devops	easy	aws, codedeploy, lambda	What is AWS CodeDeploy?	"Amazon definition: ""AWS CodeDeploy is a fully managed deployment service that automates software deployments to a variety of compute services such as Amazon EC2, AWS Fargate, AWS Lambda, and your on-premises servers.""\n\nLearn more [here](https://aws.amazon.com/codedeploy)\n\nRemember: CodeDeploy supports EC2, ECS, and Lambda. Strategies: AllAtOnce, HalfAtATime, OneAtATime, Canary, Linear for ECS/Lambda."	projects/knowledge/interview/aws/357-what-is-aws-codedeploy.txt
aws-devops/481102bbeec4	aws-devops	medium	aws, x-ray	Which service would you use for debugging and improving performances issues with your applications?	AWS X-Ray. It traces requests across distributed services, builds a service map, and highlights latency bottlenecks and error rates to pinpoint performance issues.\n\nRemember: infrastructure as code (CloudFormation, CDK, Terraform) is the foundation of DevOps on AWS. Never click-configure production resources in the console.	projects/knowledge/interview/aws/281-which-service-would-you-use-for-debugging-and-impr.txt
aws-devops/56efadfdad95	aws-devops	hard	aws, eventbridge	You would like to run an AWS Fargate task every time a file is uploaded to a certain S3 bucket. How would you achieve that?	Use Amazon EventBridge so every time a file is uploaded to an S3 bucket (event) it will run an ECS task.\n\nSuch task should have an ECS Task Role so it can get the object from the S3 bucket (and possibly other permissions if it needs to update the DB for example).\n\nRemember: infrastructure as code (CloudFormation, CDK, Terraform) is the foundation of DevOps on AWS. Never click-configure production resources in the console.	projects/knowledge/interview/aws/396-you-would-like-to-run-an-aws-fargate-task-every-ti.txt
aws-devops/5e1d71e6c8aa	aws-devops	medium	aws, systems-manager	What is AWS Systems Manager (SSM) and what operations does it support?	SSM acts like a control panel to manage and automate office tasks (AWS resources). It helps in organizing and maintaining systems, automating tasks, and ensuring everything runs smoothly. It's a service used to manage AWS resources, automate tasks, and manage infrastructure.\n\nRemember: SSM = Swiss Army knife for fleet management. Session Manager (SSH-less shell), Parameter Store (config/secrets), Patch Manager, Run Command.	projects/knowledge/interview/aws/419-what-is-aws-ssm.txt
