id	category	tags	topic_text	trivia_fact	source
helm/t001	helm	helm,naming,nautical	Helm Name Origin	Helm means "ship's wheel" or "tiller" — continuing the Kubernetes nautical theme. The helmsman steers the ship, just as Helm steers your Kubernetes deployments.	Helm documentation
helm/t002	helm	helm,tiller,security	Tiller Removal	Helm v2 used a server-side component called Tiller that ran inside the cluster with broad permissions. Tiller was a major security concern because it effectively had cluster-admin access. Helm v3 (November 2019) removed Tiller entirely, using the user's kubeconfig credentials instead.	Helm v3 release notes
helm/t003	helm	helm,charts,nautical	Charts Name	Helm packages are called "charts" — named after nautical navigation charts. A Helm chart maps out everything needed to deploy an application, just as a nautical chart maps out a body of water for navigation.	Helm documentation
helm/t004	helm	helm,values,design	values.yaml Pattern	Helm's values.yaml pattern separates configuration from templates. This design was inspired by the parameterization approach in Google's internal deployment tools, where templates remained static and configuration was injected at deploy time.	Helm design philosophy
helm/t005	helm	helm,artifacthub,history	Hub to Artifact Hub	The original Helm Hub was replaced by Artifact Hub in 2020 under the CNCF. Artifact Hub is broader — it hosts not just Helm charts but also OPA policies, Falco rules, KEDA scalers, and other cloud-native artifacts.	CNCF Artifact Hub announcement
helm/t006	helm	helm,deis,history	Deis Created Helm	Helm was originally created by Deis (now part of Microsoft). Deis was a startup building PaaS tooling for Kubernetes. Microsoft acquired Deis in 2017, and Helm became a CNCF project.	Deis/Microsoft acquisition
helm/t007	helm	helm,release,terminology	Release Not Deployment	Helm uses the term "release" (not "deployment") for an installed chart instance. This avoids confusion with the Kubernetes Deployment resource. Each helm install creates a new release; helm upgrade creates a new revision of that release.	Helm glossary
helm/t008	helm	helm,hooks,lifecycle	Lifecycle Hooks	Helm supports hooks like pre-install, post-install, pre-upgrade, and pre-delete. These run special Jobs at lifecycle points — commonly used for database migrations before an upgrade or cleanup after deletion.	Helm hooks documentation
helm/t009	helm	helm,templating,go	Go Templates	Helm uses Go's text/template engine (plus the Sprig library) for chart templating. This is the same template engine used by Hugo, Consul Template, and many other Go projects. The double-brace {{ }} syntax comes directly from Go.	Go text/template package docs
helm/t010	helm	helm,three-way,merge	Three-Way Merge	Helm v3 introduced three-way strategic merge for upgrades. It compares the old manifest, the new manifest, and the live state in the cluster. This means manual kubectl edits are preserved during helm upgrade instead of being silently overwritten.	Helm v3 changelog
helm/t011	helm	helm,subchart,dependency	Subcharts System	Helm supports subcharts (dependencies) declared in Chart.yaml. A chart can depend on other charts, which are pulled from repositories and stored in the charts/ directory. This enables composable, reusable infrastructure building blocks.	Helm dependency docs
helm/t012	helm	helm,cncf,graduation	CNCF Graduation	Helm graduated as a CNCF project in April 2020, joining Kubernetes, Prometheus, and Envoy as a fully mature CNCF project. Graduation means it passed rigorous due diligence on governance, security, and adoption.	CNCF announcement (2020)
