---
tags:
- cloud
- l1
- flashcard-deck
- azure-troubleshooting
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Azure Troubleshooting](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
az-ts/001	azure-troubleshooting	easy	azure, rbac, iam, troubleshooting	A user has the Contributor role on a resource group but cannot assign roles to others. Why?	Contributor grants full resource management but NOT Microsoft.Authorization/* actions. Role assignments require the Owner role or User Access Administrator role. Check with: az role assignment list --assignee <user> --scope <resourceGroupId>.\n\nRemember: Azure Resource Health shows whether the platform itself is having issues. Check this before debugging your own configuration — the problem might be on Azure's side.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/002	azure-troubleshooting	medium	azure, rbac, troubleshooting	A custom RBAC role works at subscription scope but fails at resource group scope. What do you check?	1) Verify the custom role's assignableScopes includes the target resource group or a parent scope. 2) Check that the Actions/NotActions in the role definition cover the needed resource provider operations at that scope. 3) Use az role definition list --custom-role-only to inspect the role.\n\nRemember: Azure RBAC hierarchy: Management Group > Subscription > Resource Group > Resource. Permissions inherit downward.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/003	azure-troubleshooting	hard	azure, rbac, deny-assignments, troubleshooting	A user has Owner on a resource group but still gets AuthorizationFailed on certain resources. What could cause this?	1) Azure Deny Assignments (often from Blueprints or managed apps) override even Owner. Check with az rest --method GET on the denyAssignments API. 2) Resource locks (CanNotDelete or ReadOnly) block modifications. 3) Azure Policy with Deny effect can block specific operations regardless of RBAC.\n\nRemember: Azure Resource Health shows whether the platform itself is having issues. Check this before debugging your own configuration — the problem might be on Azure's side.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/004	azure-troubleshooting	easy	azure, nsg, networking, troubleshooting	Traffic to a VM on port 443 is blocked despite an NSG allow rule. What do you check?	1) Check rule priority -- a lower-numbered Deny rule may take precedence. 2) Check both subnet-level and NIC-level NSGs (both must allow). 3) Use 'az network watcher ip-flow-verify' to test. 4) Verify the VM's OS firewall also allows port 443.\n\nRemember: Azure NSG = AWS Security Group equivalent. Check NSG rules + effective routes + NIC association when troubleshooting connectivity.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/005	azure-troubleshooting	medium	azure, nsg, asg, networking	What is the difference between NSG and ASG, and when does ASG-based filtering fail?	NSGs filter traffic with rules based on IP/port/protocol. ASGs are logical groupings of NICs that simplify NSG rules (use ASG as source/destination instead of IPs). ASG rules fail when: 1) the NIC is not associated with the ASG, 2) source and destination ASGs are in different VNets, or 3) multiple ASGs are used in a single rule incorrectly.\n\nRemember: Azure NSG = AWS Security Group equivalent. Check NSG rules + effective routes + NIC association when troubleshooting connectivity.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/006	azure-troubleshooting	medium	azure, vnet-peering, networking, troubleshooting	VNet peering is connected but VMs cannot communicate. What do you check?	1) Peering status must be Connected on BOTH sides. 2) 'Allow forwarded traffic' and 'Allow gateway transit' settings on each side. 3) Route tables -- UDRs may override peering routes. 4) NSGs on both subnets/NICs. 5) Address spaces must not overlap. 6) DNS resolution may need custom DNS or Azure Private DNS zone links on both VNets.\n\nRemember: Azure Resource Health shows whether the platform itself is having issues. Check this before debugging your own configuration — the problem might be on Azure's side.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/007	azure-troubleshooting	hard	azure, vnet-peering, hub-spoke, troubleshooting	In a hub-spoke topology, spoke-to-spoke traffic through an NVA in the hub fails. What is wrong?	1) VNet peering on each spoke must have 'Allow forwarded traffic' enabled. 2) Hub peering must have 'Allow gateway transit' if applicable. 3) UDRs on spoke subnets must route to the NVA's private IP (not the peering). 4) The NVA must have IP forwarding enabled at both the Azure NIC level AND inside the OS. 5) NVA NSG must allow the spoke-to-spoke traffic.\n\nRemember: Azure Resource Health shows whether the platform itself is having issues. Check this before debugging your own configuration — the problem might be on Azure's side.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/008	azure-troubleshooting	easy	azure, aks, kubernetes, troubleshooting	AKS pods are stuck in Pending state. What do you check?	1) Node pool capacity -- az aks nodepool list to check node count and VM size. 2) Resource requests may exceed available node resources (kubectl describe pod shows events). 3) Cluster autoscaler may be disabled or at max count. 4) Taints on nodes may prevent scheduling. 5) PVC binding issues if pods require persistent volumes.\n\nRemember: Azure Resource Health shows whether the platform itself is having issues. Check this before debugging your own configuration — the problem might be on Azure's side.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/009	azure-troubleshooting	medium	azure, aks, networking, troubleshooting	AKS pods cannot reach external services. What do you check?	1) Check if the AKS cluster uses kubenet or Azure CNI -- routing differs. 2) With kubenet, verify the UDR on the AKS subnet includes pod CIDR routes. 3) NSG on AKS subnet must allow outbound. 4) If using an egress firewall or Azure Firewall, check that required FQDNs are allowed. 5) Check CoreDNS pods for DNS resolution failures. 6) For private clusters, check that DNS resolution to the API server works.\n\nRemember: Azure Resource Health shows whether the platform itself is having issues. Check this before debugging your own configuration — the problem might be on Azure's side.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
az-ts/010	azure-troubleshooting	hard	azure, aks, identity, troubleshooting	AKS workload identity pods get 401 errors when accessing Azure resources. What do you check?	1) Verify the managed identity exists and has the correct RBAC role on the target resource. 2) Check the federated identity credential matches the service account namespace and name exactly. 3) Ensure the pod spec has the correct serviceAccountName. 4) Verify the azure-workload-identity webhook is running (kube-system). 5) Check the AZURE_CLIENT_ID, AZURE_TENANT_ID, and AZURE_FEDERATED_TOKEN_FILE environment variables are injected into the pod.\n\nRemember: Azure Resource Health shows whether the platform itself is having issues. Check this before debugging your own configuration — the problem might be on Azure's side.	training/interactive/knowledge/data/cards/azure-troubleshooting.tsv
