concept	depends_on
pod	container
deployment	pod
replicaset	pod
service	pod
endpoints	service
ingress	service
namespace	kubernetes
configmap	namespace
secret	namespace
persistent_volume_claim	persistent_volume
storage_class	persistent_volume
statefulset	persistent_volume_claim
daemonset	pod
readiness_probe	pod
liveness_probe	pod
horizontal_pod_autoscaler	deployment
horizontal_pod_autoscaler	metrics_server
horizontal_pod_autoscaler	resource_requests
resource_limits	pod
resource_requests	pod
oomkilled	resource_limits
crashloopbackoff	pod
imagepullbackoff	container_image
container_image	docker
networkpolicy	namespace
dns	service
coredns	dns
rbac	service_account
role	rbac
rolebinding	role
cluster_role	rbac
pod_disruption_budget	deployment
rollout	deployment
helm_chart	kubernetes
helm_upgrade	helm_chart
helm_rollback	helm_upgrade
helm_values	helm_chart
helm_template	helm_chart
servicemonitor	prometheus
prometheus	kubernetes
grafana	prometheus
loki_logging	promtail
promtail	daemonset
tempo	opentelemetry
opentelemetry	kubernetes
container_scanning	container_image
trivy	container_scanning
vulnerability	container_scanning
software_bill_of_materials	container_scanning
argocd	gitops
gitops	helm_chart
config_drift	gitops
github_actions	continuous_integration
continuous_delivery	continuous_integration
ansible_playbook	ansible
ansible_role	ansible_playbook
ansible_inventory	ansible
k3s_cluster	kubernetes
cordon_drain	k3s_cluster
terraform_module	terraform
terraform_state	terraform
bash_scripting	linux
docker	linux
container	docker
dockerfile	docker
multistage_build	dockerfile
docker_compose	docker
