---
tags:
- cloud
- l1
- flashcard-deck
- aws-storage
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [AWS S3 Deep Dive](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-storage/02ad435dcca6	aws-storage	easy	aws, s3	Explain what is AWS S3?	- S3 is a object storage service which is fast, scalable and durable. S3 enables customers to upload, download or store any file or object that is up to 5 TB in size. \n- S3 stands for: Simple Storage Service\n- As a user you don't have to worry about filesystems or disk space\n\nName origin: S3 = Simple Storage Service. Object storage with 99.999999999% (11 nines) durability.\n\nRemember: S3 is object storage (key-value), not a filesystem. Objects can be 0 bytes to 5 TB. Use multipart upload for files > 100 MB.	projects/knowledge/interview/aws/140-explain-what-is-aws-s3.txt
aws-storage/0756e962f6c6	aws-storage	medium	aws, efs	True or False? EFS requires the user to perform capacity planning as it doesn't scales automatically	False. EFS scales automatically and you pay-per-use.\n\nRemember: EFS = Elastic File System. NFS-compatible, shared across multiple EC2 instances. Auto-scales, pay per GB stored. Think 'shared network drive.'	projects/knowledge/interview/aws/051-true-or-false-efs-requires-the-user-to-perform-cap.txt
aws-storage/092b10681c38	aws-storage	medium	aws, ami, s3	Explain AWS pricing model	"It mainly works on ""pay-as-you-go"" meaning you pay only for what are using and when you are using it.\nIn s3 you pay for 1. How much data you are storing 2. Making requests (PUT, POST, ...)\nIn EC2 it's based on the purchasing option (on-demand, spot, ...), instance type, AMI type and the region used.\n\nMore on AWS pricing model [here](https://aws.amazon.com/pricing)\n\nGotcha: S3 bucket names are globally unique across all AWS accounts. Choose descriptive names with your org prefix to avoid conflicts."	projects/knowledge/interview/aws/347-explain-aws-pricing-model.txt
aws-storage/0a50b5038904	aws-storage	easy	aws, s3	What is AWS Guarduty?	"AWS definition: ""Amazon GuardDuty is a threat detection service that continuously monitors for malicious activity and unauthorized behavior to protect your Amazon Web Services accounts, workloads, and data stored in Amazon S3"" \nMonitor VPC Flow lows, DNS logs, CloudTrail S3 events and CloudTrail Mgmt events.\n\nGotcha: S3 bucket names are globally unique across all AWS accounts. Choose descriptive names with your org prefix to avoid conflicts."	projects/knowledge/interview/aws/220-what-is-aws-guarduty.txt
aws-storage/0cc0306af16f	aws-storage	hard	aws, encryption, s3	Why would someone choose to use SSE-KMS instead of SSE-S3?	SSE-KMS provides control over who has access to the keys and you can also enabled audit trail.\n\nRemember: S3 is eventually consistent for overwrite PUTs and DELETEs (as of 2020, S3 provides strong read-after-write consistency for all operations). This was a major change — older docs may say otherwise.	projects/knowledge/interview/aws/155-why-would-someone-choose-to-use-sse-kms-instead-of.txt
aws-storage/0d8e0343f759	aws-storage	hard	aws, ami, ebs, ec2	What are some limitations of EC2 hibernate option?	* Instance RAM size is limited\n* Root volume must be encrypted EBS\n* Hibernation time is limited\n* Doesn't supports all instances types\n* No support for bare metal. Only On-Demand and Reserved instances\n* Doesn't supports all AMIs\n\nGotcha: S3 bucket names are globally unique across all AWS accounts. Choose descriptive names with your org prefix to avoid conflicts.	projects/knowledge/interview/aws/086-what-are-some-limitations-of-ec2-hibernate-option.txt
aws-storage/0f8fb83e7d7c	aws-storage	hard	aws, encryption	True or False? In case of SSE-C HTTPS must be used and encryption key must be provided in headers for every HTTP request	True. With SSE-C (Server-Side Encryption with Customer-Provided Keys), you must use HTTPS and include the encryption key in the request headers for every S3 operation.\n\nRemember: S3 encryption: SSE-S3 (AWS-managed keys), SSE-KMS (customer-managed via KMS), SSE-C (customer-provided keys). Default encryption is now SSE-S3.	projects/knowledge/interview/aws/157-true-or-false-in-case-of-sse-c-https-must-be-used-.txt
aws-storage/1379df643919	aws-storage	medium	aws, ebs	If you need an EBS volume for infrequently data access, which volume type would you use?	Cold HDD (sc1). It's the lowest-cost EBS volume for infrequent access — throughput-optimized at 250 MB/s max, ideal for archival or sequential cold data.\n\nRemember: S3 is eventually consistent for overwrite PUTs and DELETEs (as of 2020, S3 provides strong read-after-write consistency for all operations). This was a major change — older docs may say otherwise.	projects/knowledge/interview/aws/042-if-you-need-an-ebs-volume-for-infrequently-data-ac.txt
aws-storage/14833f122f01	aws-storage	medium	aws, storage-gateway	Explain the following Storage Gateway deployments types	Explained in detail [here](https://aws.amazon.com/storagegateway/faqs)\n\nRemember: S3 storage classes from hot to cold: Standard > Intelligent-Tiering > Standard-IA > One Zone-IA > Glacier Instant > Glacier Flexible > Deep Archive.\n\nGotcha: S3 charges for storage, requests, and data transfer out. Data transfer IN is free. Optimize costs with lifecycle policies and the right storage class.	projects/knowledge/interview/aws/165-explain-the-following-storage-gateway-deployments-.txt
aws-storage/16570a8b3e31	aws-storage	medium	aws, glacier, s3	What Glacier retrieval options are available for the user?	Expedited, Standard and Bulk\n\nRemember: S3 tiers by cost (high to low): Standard > Intelligent-Tiering > IA > One Zone-IA > Glacier Instant > Glacier Flexible > Glacier Deep Archive. Access speed decreases as cost decreases.	projects/knowledge/interview/aws/162-what-glacier-retrieval-options-are-available-for-t.txt
aws-storage/1b5bde7648da	aws-storage	medium	aws, ebs	What are the use cases for using EBS snapshots?	* Backups of the data\n* Moving the data between AZs\n\nRemember: EBS = Elastic Block Store. Network-attached block storage for EC2. Think 'virtual hard drive.' Types: gp3 (general), io2 (high IOPS), st1 (throughput), sc1 (cold).	projects/knowledge/interview/aws/036-what-are-the-use-cases-for-using-ebs-snapshots.txt
aws-storage/1f324f6cb069	aws-storage	medium	aws, s3	Explain the concept of AWS Lambda Triggers.	Lambda Triggers: They're events that invoke Lambda functions automatically when a particular event occurs in other AWS services. For instance, S3 upload triggers a Lambda function.\n\nRemember: S3 is eventually consistent for overwrite PUTs and DELETEs (as of 2020, S3 provides strong read-after-write consistency for all operations). This was a major change — older docs may say otherwise.	projects/knowledge/interview/aws/439-explain-the-concept-of-aws-lambda-triggers.txt
aws-storage/22debe40d2d4	aws-storage	medium	aws, storage-gateway	You would like to have on-perm storage access to AWS storage. What would you use for that?	Storage Gateway\n\nRemember: S3 storage classes from hot to cold: Standard > Intelligent-Tiering > Standard-IA > One Zone-IA > Glacier Instant > Glacier Flexible > Deep Archive.\n\nGotcha: S3 charges for storage, requests, and data transfer out. Data transfer IN is free. Optimize costs with lifecycle policies and the right storage class.	projects/knowledge/interview/aws/300-you-would-like-to-have-on-perm-storage-access-to-a.txt
aws-storage/24dbff4f61c8	aws-storage	medium	aws, efs	What are some use cases for using EFS?	* Data sharing (e.g. developers working on the same source control)\n* Web serving\n* Content management\n\nRemember: EFS = Elastic File System. NFS-compatible, shared across multiple EC2 instances. Auto-scales, pay per GB stored. Think 'shared network drive.'	projects/knowledge/interview/aws/050-what-are-some-use-cases-for-using-efs.txt
aws-storage/283a870a1f5a	aws-storage	medium	aws, ebs	Explain EBS Snapshots	EBS snapshots used for making a backup of the EBS volume at point of time.\n\nRemember: S3 is eventually consistent for overwrite PUTs and DELETEs (as of 2020, S3 provides strong read-after-write consistency for all operations). This was a major change — older docs may say otherwise.	projects/knowledge/interview/aws/035-explain-ebs-snapshots.txt
aws-storage/286ca6a0e3b8	aws-storage	easy	aws, s3, transfer	"What is ""Amazon S3 Transfer Acceleration""?"	"AWS definition: ""Amazon S3 Transfer Acceleration enables fast, easy, and secure transfers of files over long distances between your client and an S3 bucket""\n\nLearn more [here](https://docs.aws.amazon.com/AmazonS3/latest/dev/transfer-acceleration.html)\n\nName origin: S3 = Simple Storage Service. Object storage with 99.999999999% (11 nines) durability.\n\nRemember: S3 is object storage (key-value), not a filesystem. Objects can be 0 bytes to 5 TB. Use multipart upload for files > 100 MB."	projects/knowledge/interview/aws/167-what-is-amazon-s3-transfer-acceleration.txt
aws-storage/2b5de0dbcdc2	aws-storage	medium	aws, efs	What EFS storage tiers are there?	* Standard: frequently accessed files\n* Infrequent access: lower prices to store files but it also costs to retrieve them\n\nRemember: EFS = Elastic File System. NFS-compatible, shared across multiple EC2 instances. Auto-scales, pay per GB stored. Think 'shared network drive.'	projects/knowledge/interview/aws/055-what-efs-storage-tiers-are-there.txt
aws-storage/2f60079fdf16	aws-storage	medium	aws, s3	True or False? Buckets are defined globally	False. They are defined at the region level.\n\nRemember: S3 storage classes from hot to cold: Standard > Intelligent-Tiering > Standard-IA > One Zone-IA > Glacier Instant > Glacier Flexible > Deep Archive.\n\nGotcha: S3 charges for storage, requests, and data transfer out. Data transfer IN is free. Optimize costs with lifecycle policies and the right storage class.	projects/knowledge/interview/aws/142-true-or-false-buckets-are-defined-globally.txt
aws-storage/312e87b368a6	aws-storage	easy	aws, storage-gateway	What is the difference between stored volumes and cached volumes?	Stored Volumes - Data is located at customer's data center and periodically backed up to AWS\nCached Volumes - Data is stored in AWS cloud and cached at customer's data center for quick access\n\nGotcha: S3 bucket names are globally unique across all AWS accounts. Choose descriptive names with your org prefix to avoid conflicts.	projects/knowledge/interview/aws/166-what-is-the-difference-between-stored-volumes-and-.txt
