---
tags:
- devops
- l1
- flashcard-deck
- debugging-methodology
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Debugging Methodology](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
debugging-methodology/a1b2c3d4e5f4	debugging-methodology	easy	debugging-methodology, scientific-method	What are the five steps of the scientific method applied to debugging?	1) Observe: what is actually happening (symptoms, not assumptions). 2) Hypothesize: what could cause this. 3) Predict: if hypothesis X is true, what else should be true. 4) Test: check the prediction, change one variable. 5) Conclude: confirmed or eliminated, then repeat.\n\nRemember: mnemonic OH-PTC — Observe, Hypothesize, Predict, Test, Conclude. The same method finds bugs in DNA and bugs in code.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/b2c3d4e5f4a5	debugging-methodology	easy	debugging-methodology, divide-and-conquer	What is divide-and-conquer debugging and why is it more efficient than linear search?	Divide-and-conquer bisects the system at the midpoint and tests there, cutting the problem space in half with each test. For a 10-component pipeline, you need at most 4 tests (log2 of 10) instead of 10. It is binary search applied to infrastructure.\n\nExample: 10-stage pipeline broken? Test stage 5. Works? Bug is in 6-10. Half the problem eliminated in one test.\n\nRemember: binary search applied to systems — log2(N) tests instead of N sequential checks.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/c3d4e5f4a5b6	debugging-methodology	easy	debugging-methodology, five-whys	What is the Five Whys technique and why does the first answer rarely give the root cause?	The Five Whys is a root cause analysis technique where you keep asking "why" until you reach the systemic cause. The first "why" typically gives the symptom fix (e.g., kill the slow query). The fifth "why" gives the systemic fix (e.g., add automated index validation in migration pipeline) that prevents recurrence.\n\nExample: Why down? Bad deploy. Why? Wrong config. Why? No validation. Why? No CI gate. Why? Never built one. Fix: add config validation to CI.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/d4e5f4a5b6c7	debugging-methodology	medium	debugging-methodology, hypothesis	What five questions should you ask to generate debugging hypotheses?	1) What changed recently? (deploys, config, infra, traffic). 2) What is different about the failing cases? (users, regions, endpoints, time). 3) What resources could be exhausted? (CPU, memory, disk, FDs, connections). 4) What dependencies could be failing? (DBs, caches, APIs, DNS, certs). 5) What has failed like this before? (incident history, postmortems).\n\nRemember: WIRED — What changed, Is it intermittent, Resources exhausted, External deps failing, Done this before? Five hypothesis generators.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/e5f4a5b6c7d8	debugging-methodology	medium	debugging-methodology, traps	What is "shotgun debugging" and why is changing one variable at a time critical?	Shotgun debugging is changing multiple things at once hoping one helps. The problem is that if the issue resolves, you do not know which change actually fixed it, so you cannot prevent recurrence. Always change one variable at a time so you know which change had the effect.\n\nGotcha: changing 3 things and seeing a fix means 3 possible causes and zero understanding. Always change one variable at a time.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/f4a5b6c7d8e9	debugging-methodology	medium	debugging-methodology, correlation-causation	How do you distinguish correlation from causation when a deployment and a failure happen near the same time?	Three tests: 1) Revert the suspected change — if the problem goes away, strong evidence of causation. 2) Reproduce in isolation — can you trigger the failure by making only that change? 3) Explain the mechanism — can you trace from the change to the symptom step by step? Correlation is temporal proximity; causation requires a verifiable mechanism.\n\nExample: CPU spikes at 3 PM when the cron runs, but the real cause is the database backup that also starts at 3 PM. Temporal proximity is not causation.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/05a6b7c8d9e0	debugging-methodology	medium	debugging-methodology, layer-model	How does the network layer model help narrow down connectivity problems?	Test from L7 down: curl for application (L7), telnet/nc for transport (L4), ping for network (L3). If L3 works (ping succeeds) but L4 fails (cannot connect to port), the problem is narrowed to: firewall, security group, service not listening, or wrong port. Each layer test eliminates a class of causes.\n\nRemember: test top-down — L7 curl, L4 nc/telnet, L3 ping. Each success eliminates a class of problems.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/16b7c8d9e0f1	debugging-methodology	hard	debugging-methodology, git-bisect	How does git bisect use binary search to find a breaking commit, and what is its worst-case efficiency?	git bisect start, mark HEAD as bad and a known-good commit as good. Git checks out the midpoint; you test and mark it good or bad. Repeat until the exact breaking commit is found. For N commits, worst case is log2(N) tests — 25 commits need at most 5 tests instead of 25.\n\nExample: 1000 commits? git bisect finds the breaking one in ~10 tests. Automate: git bisect run ./test.sh for fully hands-off binary search.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/27c8d9e0f1a2	debugging-methodology	hard	debugging-methodology, traps, cognitive-bias	What are tunnel vision and confirmation bias in debugging, and how do you counter them?	Tunnel vision is fixating on one hypothesis and ignoring contradictory evidence. Confirmation bias is only looking for evidence that supports your theory. Counter both by: writing down at least 3 hypotheses before testing any, and actively seeking disconfirming evidence for your leading theory.\n\nRemember: write THREE hypotheses before investigating ANY. Forces broader thinking and prevents latching onto the first idea.	training/library/topics/debugging-methodology/primer.md
debugging-methodology/38d9e0f1a2b3	debugging-methodology	hard	debugging-methodology, checklist	What eight questions should you walk through before starting to debug, according to the debugging checklist?	1) What is the actual symptom? 2) When did it start (exact timestamp)? 3) What changed around that time? 4) Who/what is affected (scope)? 5) Is it consistent or intermittent? 6) What have you already tried? 7) What are your hypotheses (list at least 3)? 8) What is the fastest test to eliminate a hypothesis?\n\nRemember: SWITCH-HF — Symptom, When, whIch changed, sCope, Half-intermittent, tried, Hypotheses (3+), Fastest test.	training/library/topics/debugging-methodology/primer.md
