---
tags:
- cli
- l1
- flashcard-deck
- modern-cli
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Modern CLI Tools](../../../../library/portal/topics.md) | **Domain:** CLI Tools
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
cli-tools/a1b2c3d4e5f6	cli-tools	easy	cli-tools,less,paging	How do you search forward for a pattern while inside less?	Type / followed by the pattern and press Enter. Use n for next match, N for previous match. Other useful keys: q to quit, g to go to top, G to go to bottom, -N to toggle line numbers. less is the default pager for man pages and git log — knowing these keys makes both faster to navigate.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	zines/bite.size.command.line.cleaned.notes
cli-tools/b2c3d4e5f6a7	cli-tools	easy	cli-tools,grep,search	What does grep -n do?	"Prefixes each matching line with its line number in the file. Example: grep -n ""error"" app.log shows ""42:connection error at startup"". Combine with -i for case-insensitive: grep -ni ""error"" app.log. Line numbers are essential when you need to jump to a match in an editor or reference specific lines in a bug report.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags."	zines/bite.size.command.line.cleaned.notes
cli-tools/c3d4e5f6a7b8	cli-tools	easy	cli-tools,grep,regex	How do you search for multiple patterns with grep using extended regex?	Use grep -E 'pattern1|pattern2' file. The -E flag enables extended regex supporting alternation (|), grouping, and quantifiers without escaping. Example: grep -E 'WARN|ERROR|FATAL' /var/log/syslog finds all severity levels in one pass. Equivalent to egrep (deprecated alias).\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	zines/bite.size.command.line.cleaned.notes
cli-tools/d4e5f6a7b8c9	cli-tools	easy	cli-tools,find,filesystem	How do you find all files modified in the last 24 hours under /var/log?	"find /var/log -type f -mtime -1. The -mtime -1 means ""modified less than 1 day ago."" Other time flags: -mmin -60 (last 60 minutes), -newer ref_file (newer than a reference file). Tip: add -ls to see details, or pipe to xargs for batch operations on the results.\n\nExample: find /var/log -name '*.log' -mtime +30 -delete removes logs older than 30 days. Use -exec for custom actions per file."	zines/bite.size.command.line.cleaned.notes
cli-tools/e5f6a7b8c9d0	cli-tools	medium	cli-tools,xargs,null-delimiter	Why should you pair find -print0 with xargs -0?	"-print0 separates filenames with null bytes instead of newlines, and -0 tells xargs to expect null-delimited input. This safely handles filenames containing spaces, newlines, quotes, or special characters that would break normal line-based processing. Example: find . -name '*.log' -print0 | xargs -0 rm. Without this, a file named ""my file.log"" becomes two arguments.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags."	zines/bite.size.command.line.cleaned.notes
cli-tools/f6a7b8c9d0e1	cli-tools	medium	cli-tools,grep,recursive	What is the difference between grep -r and grep -R?	grep -r searches recursively and follows symbolic links. grep -R searches recursively but does not follow symlinks. Behavior varies by implementation — check your system's man page. Following symlinks can cause infinite loops if symlinks create cycles. For large codebases, prefer rg (ripgrep) which is faster and respects .gitignore.\n\nRemember: nc (netcat) = 'network Swiss Army knife.' Test TCP: nc -zv host 80. Listen: nc -l 8080. Transfer files: nc -l 9999 > file on receiver, nc host 9999 < file on sender.	zines/bite.size.command.line.cleaned.notes
cli-tools/a7b8c9d0e1f2	cli-tools	medium	cli-tools,find,exec	What is the difference between find -exec cmd {} \; and find -exec cmd {} +?	With \; the command runs once per match (slow for many files). With + the command batches as many matches as possible into one invocation (much faster). Example: find . -name '*.tmp' -exec rm {} + removes all matches in one rm call. Use \; only when the command cannot accept multiple arguments.\n\nRemember: nc (netcat) = 'network Swiss Army knife.' Test TCP: nc -zv host 80. Listen: nc -l 8080. Transfer files: nc -l 9999 > file on receiver, nc host 9999 < file on sender.	zines/bite.size.command.line.cleaned.notes
cli-tools/b8c9d0e1f2a3	cli-tools	easy	cli-tools,composition,pipes	What is the mental model for composing CLI tools with pipes?	Each tool does one thing: select data, transform data, or format output. Pipes connect them so stdout of one becomes stdin of the next. Start simple, then add stages. Example pipeline: cat access.log | grep 'POST' | awk '{print $1}' | sort | uniq -c | sort -rn shows top IPs making POST requests, built one stage at a time.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	zines/bite.size.command.line.cleaned.notes
cli-tools/c9d0e1f2a3b4	cli-tools	medium	cli-tools,grep,context	How do you show lines before and after a grep match for context?	Use -B N for N lines before, -A N for N lines after, or -C N for N lines of context on both sides. Example: grep -C 3 'Exception' app.log shows 3 lines of context around each match. Context is critical for log analysis — an error message alone rarely tells the full story; the preceding lines often show the trigger.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	zines/bite.size.command.line.cleaned.notes
cli-tools/d0e1f2a3b4c5	cli-tools	hard	cli-tools,xargs,parallel	How can xargs run commands in parallel?	Use xargs -P N where N is the number of parallel processes. Example: find . -name '*.gz' -print0 | xargs -0 -P 4 gunzip runs up to 4 gunzip processes concurrently. Combine with -n 1 to pass one argument per process. Gotcha: interleaved output — redirect each process to its own file if output order matters. GNU parallel is a more capable alternative for complex parallel workflows.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	zines/bite.size.command.line.cleaned.notes
cli-tools/e1f2a3b4c5d6	cli-tools	medium	cli-tools,less,stdin	How do you pipe command output into less for interactive reading?	Use command | less. Example: journalctl -u sshd | less pages through systemd journal output interactively. Inside less you can search (/pattern), jump to line (Ng), or filter shown lines (&pattern). For colored output, use less -R to pass through ANSI escape codes. Useful when a command produces more output than fits on screen.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	zines/bite.size.command.line.cleaned.notes
cli-tools/f2a3b4c5d6e7	cli-tools	easy	cli-tools,man,help	What are the two standard ways to get help for a command-line tool?	man <command> for the full manual page (navigate with less keys), and <command> --help for a brief usage summary. man pages have numbered sections: 1 (user commands), 5 (file formats), 8 (admin commands). Example: man 5 crontab shows the crontab file format, not the crontab command. Use apropos <keyword> to search for relevant man pages.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	zines/bite.size.command.line.cleaned.notes
cli-tools/a1b2c3d4	cli-tools	easy	grpc,basics,rpc-types	What are the four types of gRPC service methods?	Unary RPC: single request, single response (like a function call). Server streaming: client sends one request, server returns a stream. Client streaming: client sends a stream, server returns one response. Bidirectional streaming: both sides send streams concurrently. Unary is most common; streaming is used for real-time data feeds, file uploads, and chat-like interactions.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	training/library/topics/grpc/primer.md
cli-tools/b2c3d4e5	cli-tools	easy	grpc,http2,transport	What transport protocol does gRPC use and why?	gRPC uses HTTP/2, which provides multiplexing (multiple concurrent RPCs on one TCP connection), header compression (HPACK), flow control, and server push. This makes gRPC much more efficient than HTTP/1.1-based REST for high-throughput service-to-service communication, especially when many small requests are made concurrently.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	training/library/topics/grpc/primer.md
cli-tools/c3d4e5f6	cli-tools	medium	grpcurl,reflection,debugging	What is grpcurl and how does it use server reflection?	"grpcurl is a command-line tool for interacting with gRPC services, similar to curl for HTTP. With server reflection enabled, grpcurl can discover available services and methods without needing proto files: ""grpcurl -plaintext localhost:50051 list"" lists services, ""grpcurl -plaintext localhost:50051 describe <service>"" shows methods. Without reflection, you must pass --proto or --protoset.\n\nRemember: curl flags: -s (silent), -o (output file), -H (header), -d (data/POST body), -X (method), -k (skip TLS verify). Mnemonic: 'Silently Output Headers with Data eXactly, sKip verify.'"	training/library/topics/grpc/primer.md
cli-tools/d4e5f6a7	cli-tools	medium	grpc,reflection,service	What is gRPC server reflection and when should it be enabled?	Server reflection is a gRPC service that exposes the server's protobuf schema at runtime, allowing clients and debugging tools to discover services, methods, and message types without proto files. Enable it in development and staging for debugging with grpcurl/grpcui. Disable in production for security (it reveals your API surface to any client).\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	training/library/topics/grpc/primer.md
cli-tools/e5f6a7b8	cli-tools	medium	grpc,health,protocol	What is the gRPC Health Checking Protocol and how is it used?	The gRPC Health Checking Protocol is a standardized service (grpc.health.v1.Health) that reports serving status per service name. It returns SERVING, NOT_SERVING, or UNKNOWN. Kubernetes uses grpc-health-probe or native gRPC health checks (since 1.24) to determine pod readiness/liveness. It replaces ad-hoc health endpoints with a protocol-level standard.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	training/library/topics/grpc/primer.md
cli-tools/f6a7b8c9	cli-tools	hard	grpc,errors,http-status	How do gRPC status codes differ from HTTP status codes?	gRPC has its own status code system (16 codes) separate from HTTP. Key mappings: OK=0, InvalidArgument=3 (not HTTP 400), NotFound=5 (not HTTP 404), PermissionDenied=7 (not HTTP 403), Unavailable=14 (closest to HTTP 503). When gRPC travels through HTTP proxies or gateways, these codes may be translated, causing confusion if you only check HTTP status.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	training/library/topics/grpc/primer.md
cli-tools/a7b8c9da	cli-tools	hard	grpc,deadline,propagation	What is deadline propagation in gRPC and why is it important for microservices?	A gRPC deadline sets an absolute time by which the entire RPC chain must complete. When service A calls B which calls C, the deadline propagates through the chain. If the deadline is exceeded at any point, the RPC is cancelled with DEADLINE_EXCEEDED. This prevents cascading timeouts where downstream services continue working on requests the caller has already abandoned.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	training/library/topics/grpc/primer.md
cli-tools/b8c9daeb	cli-tools	medium	grpc,load-balancing,modes	What are the main gRPC load balancing strategies?	Pick-first: connect to the first resolved address (no balancing). Round-robin: distribute RPCs evenly across all resolved addresses. Client-side with external resolver: use a service mesh or DNS-SRV for endpoint discovery. Proxy-based (L7): use Envoy/gRPC-aware proxy that understands HTTP/2 frames. Note: L4 load balancers (TCP) do not work well because HTTP/2 multiplexes on one connection.\n\nRemember: nc (netcat) = 'network Swiss Army knife.' Test TCP: nc -zv host 80. Listen: nc -l 8080. Transfer files: nc -l 9999 > file on receiver, nc host 9999 < file on sender.	training/library/topics/grpc/primer.md
cli-tools/c9daebfc	cli-tools	hard	grpc,protobuf,serialization	Why does gRPC use Protocol Buffers instead of JSON?	Protocol Buffers are a binary serialization format that is 3-10x smaller and 20-100x faster to parse than JSON. They use a strongly-typed schema (.proto files) that enables code generation, backward/forward compatibility via field numbers, and compile-time type checking. The tradeoff is human readability -- binary payloads cannot be inspected without tooling.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags.	training/library/topics/grpc/primer.md
cli-tools/daebfcad	cli-tools	easy	grpcurl,commands,invoke	How do you invoke a gRPC method using grpcurl?	"Use ""grpcurl -plaintext -d '{""name"": ""world""}' localhost:50051 helloworld.Greeter/SayHello"" for unary calls. The -plaintext flag disables TLS (for local dev). The -d flag passes the JSON request body. For streaming, pipe input with -d @. List all methods first with ""grpcurl -plaintext localhost:50051 list"" to discover the service and method names.\n\nRemember: curl flags: -s (silent), -o (output file), -H (header), -d (data/POST body), -X (method), -k (skip TLS verify). Mnemonic: 'Silently Output Headers with Data eXactly, sKip verify.'"	training/library/topics/grpc/primer.md
cli-tools/64f7b45e	cli-tools	easy	wireshark,filters,types	What is the difference between capture filters and display filters in Wireshark?	Capture filters (BPF syntax) are applied during packet capture and determine which packets are saved to the pcap file -- they reduce file size but cannot be changed after capture. Display filters (Wireshark syntax) are applied after capture to show/hide packets in the UI. Use capture filters for high-traffic interfaces; use display filters for analysis.\n\nRemember: nc (netcat) = 'network Swiss Army knife.' Test TCP: nc -zv host 80. Listen: nc -l 8080. Transfer files: nc -l 9999 > file on receiver, nc host 9999 < file on sender.	training/library/topics/wireshark/primer.md
cli-tools/9c890bae	cli-tools	medium	tshark,cli,capture	What is tshark and how does it differ from tcpdump?	"tshark is Wireshark's command-line equivalent -- it captures packets and applies Wireshark's full protocol dissectors and display filters. Unlike tcpdump (which shows raw packet headers), tshark decodes application-layer protocols (HTTP/2, gRPC, TLS) with the same depth as the Wireshark GUI. Use ""tshark -i eth0 -Y 'http.request'"" for filtered captures.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags."	training/library/topics/wireshark/primer.md
cli-tools/82c58778	cli-tools	easy	tcpdump,pcap,capture	How do you capture packets with tcpdump and save them for Wireshark analysis?	"Use ""tcpdump -i eth0 -w capture.pcap"" to capture all traffic on eth0 to a pcap file. Add BPF filters to narrow scope: ""tcpdump -i eth0 -w capture.pcap port 443"" for HTTPS only. Use -s 0 to capture full packets (not truncated). Then open capture.pcap in Wireshark or analyze with ""tshark -r capture.pcap"".\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags."	training/library/topics/wireshark/primer.md
cli-tools/6c811317	cli-tools	medium	wireshark,display-filters,http	What are common Wireshark display filters for HTTP, DNS, and TLS traffic?	"HTTP: ""http.request.method == GET"", ""http.response.code == 500"", ""http2"" (for HTTP/2). DNS: ""dns"", ""dns.qry.name contains example.com"", ""dns.flags.rcode != 0"" (errors). TLS: ""tls.handshake"", ""tls.handshake.type == 1"" (Client Hello), ""tls.record.version"". Combine with && (and), || (or), and ! (not).\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags."	training/library/topics/wireshark/primer.md
cli-tools/36abbecb	cli-tools	medium	wireshark,tcp-stream,follow	How do you follow a TCP stream in Wireshark and why is it useful?	"Right-click a packet and select ""Follow > TCP Stream"" (or use filter ""tcp.stream eq N""). This reconstructs the entire conversation between two endpoints in order, showing application-layer data as a continuous dialog. It is essential for debugging HTTP request/response pairs, analyzing TLS handshakes, or understanding application protocol exchanges.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags."	training/library/topics/wireshark/primer.md
cli-tools/eef66cf8	cli-tools	hard	wireshark,retransmissions,analysis	How do you identify TCP retransmissions in Wireshark and what do they indicate?	"Use the display filter ""tcp.analysis.retransmission"" to show retransmitted packets. Retransmissions indicate packet loss, network congestion, or receiver-side delays. Wireshark's TCP analysis also flags ""tcp.analysis.duplicate_ack"" (3 duplicate ACKs trigger fast retransmit) and ""tcp.analysis.fast_retransmission"". High retransmission rates (>1%) signal network issues requiring investigation.\n\nRemember: invest time learning your CLI tools. A 10-minute task done manually can become a 10-second command once you know the right tool and flags."	training/library/topics/wireshark/primer.md
