id	category	tags	topic_text	trivia_fact	source
ssh-hygiene/t001	ssh-hygiene	ssh,origin,attack	SSH Born From an Attack	Tatu Ylönen created SSH in 1995 after a password-sniffing attack on the Helsinki University of Technology network. An attacker had installed a sniffer that captured thousands of plaintext passwords from Telnet and FTP sessions. Ylönen wrote the first SSH version in a few weeks, driven by the urgency of the breach.	ssh.com history, Ylönen interviews
ssh-hygiene/t002	ssh-hygiene	port22,assignment,story	Port 22 Assignment Story	Ylönen needed an unassigned port for SSH. Port 22 sat conveniently between FTP (21) and Telnet (23) — the exact protocols SSH was replacing. He emailed IANA requesting the assignment, and because the internet was smaller and more informal in 1995, he got the port assigned the same day.	Tatu Ylönen, ssh.com
ssh-hygiene/t003	ssh-hygiene	telnet,rlogin,replacement	SSH Replaced Three Protocols	SSH didn't just replace Telnet — it also replaced rlogin (remote login) and rsh (remote shell), both Berkeley r-commands that used trusted-host authentication (IP-based, trivially spoofable). SSH's encrypted, key-based authentication made all three obsolete, though Telnet lingered in network equipment for another decade.	SSH protocol history
ssh-hygiene/t004	ssh-hygiene	ed25519,keys,modern	Why Ed25519 Won	Ed25519 keys (introduced 2011) are preferred over RSA because they're faster to generate, produce smaller signatures, and resist timing side-channel attacks by design. An Ed25519 public key is 68 characters vs RSA's 372+. The algorithm was designed by Daniel J. Bernstein, who also created SYN cookies and qmail.	Bernstein et al., 2011
ssh-hygiene/t005	ssh-hygiene	openssh,fork,history	OpenSSH Fork Story	OpenSSH was forked from Tatu Ylönen's original SSH 1.2.12 by the OpenBSD team in 1999 after Ylönen's company (SSH Communications Security) made SSH proprietary. The OpenBSD developers, led by Markus Friedl and Theo de Raadt, rewrote most of the code. Today OpenSSH runs on virtually every Unix system and most network devices.	OpenBSD project history
ssh-hygiene/t006	ssh-hygiene	known-hosts,tofu,trust	Trust On First Use (TOFU)	SSH's security model relies on "Trust On First Use" — the first time you connect to a server, you blindly accept its host key. This is why SSH warns when a key changes ("REMOTE HOST IDENTIFICATION HAS CHANGED"). TOFU is a pragmatic compromise: true verification would require a PKI infrastructure that SSH was designed to avoid.	SSH protocol design
ssh-hygiene/t007	ssh-hygiene	agent-forwarding,risk,security	Agent Forwarding Is Dangerous	SSH agent forwarding (ssh -A) is convenient but creates a real security risk: anyone with root on the remote server can use your forwarded agent to authenticate as you to other servers. The safer alternative is ProxyJump (-J), which keeps your agent local and tunnels the SSH connection through the jump host.	OpenSSH documentation
ssh-hygiene/t008	ssh-hygiene	authorized-keys,permissions,strict	Permission Strictness by Design	SSH refuses to use authorized_keys if the file or its parent directory has wrong permissions (e.g., group-writable). This strictness is intentional — if another user could modify your authorized_keys, they could add their own key. This "fail closed" design has frustrated countless administrators but prevented equally many compromises.	sshd_config manual
ssh-hygiene/t009	ssh-hygiene	multiplexing,control,speed	SSH Multiplexing Secret	SSH ControlMaster multiplexing lets multiple SSH sessions share a single TCP connection. After the first connection, subsequent ones skip the handshake entirely — making them nearly instant. Despite being available since OpenSSH 3.9 (2004), many engineers don't know about it. Adding three lines to ~/.ssh/config can dramatically speed up workflows.	OpenSSH ControlMaster docs
ssh-hygiene/t010	ssh-hygiene	certificates,alternative,pki	SSH Certificates Exist	Most people don't know SSH supports certificates (since OpenSSH 5.4, 2010) — not just raw keys. An SSH CA can sign short-lived user and host certificates, eliminating the need to distribute authorized_keys files or accept host keys on first use. Facebook, Netflix, and Google use SSH certificates extensively at scale.	OpenSSH CERTIFICATES documentation
