---
tags:
- k8s
- l1
- flashcard-deck
- k8s-config
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Core](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-config/112a65bbecd7	k8s-config	medium	kubernetes, volume-mount, resource-quota, resource-limits	What is Resource Quota?	Resource quota provides constraints that limit aggregate resource consumption per namespace. It can limit the quantity of objects that can be created in a namespace by type, as well as the total amount of compute resources that may be consumed by resources in that namespace.\n\nExample: `kubectl create quota my-quota --hard=pods=10,requests.cpu=4,requests.memory=8Gi -n dev` limits namespace resources.\n\nRemember: Quotas are per-namespace. Think "Quota = Namespace Budget" — each team gets a spending limit.	projects/knowledge/interview/kubernetes/185-what-is-resource-quota.txt
k8s-config/17962354b34b	k8s-config	easy	kubernetes, secret	True or False? storing data in a Secret component makes it automatically secured	"False. Some known security mechanisms like ""encryption"" aren't enabled by default."\n\nGotcha: K8s Secrets are base64-encoded, not encrypted at rest by default. Enable EncryptionConfiguration for etcd encryption.\n\nRemember: "Base64 is a disguise, not a safe" — anyone with etcd access can decode without encryption at rest.\n\nSee also: External secret managers (Vault, AWS Secrets Manager) provide true encryption and rotation.	projects/knowledge/interview/kubernetes/217-true-or-false-storing-data-in-a-secret-component-m.txt
k8s-config/1c1557ee20a7	k8s-config	easy	kubernetes, secret	What is the problem with the following Secret file:	Password isn't encrypted.\nYou should run something like this: `echo -n 'mySecretPassword' | base64` and paste the result to the file instead of using plain-text.\n\nRemember: `echo -n` is critical — without `-n`, a trailing newline gets base64-encoded, causing auth failures.\n\nGotcha: `echo -n 'myPassword' | base64` vs `echo 'myPassword' | base64` produce different results. The newline matters!\n\nExample: Compare: `echo -n 'pass' | base64` → `cGFzcw==` vs `echo 'pass' | base64` → `cGFzcwo=` (extra newline).	projects/knowledge/interview/kubernetes/218-what-is-the-problem-with-the-following-secret-file.txt
k8s-config/20a3c60eccc4	k8s-config	hard	kubernetes, resource-limits	How do you prevent high memory usage in your Kubernetes cluster and possibly issues like memory leak and OOM?	Apply requests and limits, especially on third party applications (where the uncertainty is even bigger)\n\nExample: Set in pod spec: `resources: {limits: {memory: 512Mi}, requests: {memory: 256Mi}}`.\n\nRemember: "Requests = minimum guaranteed, Limits = maximum allowed." Think "Request a seat, Limit the legroom."\n\nGotcha: CPU is throttled; memory is OOMKilled. Over-limit CPU just slows down; over-limit memory kills the container.	projects/knowledge/interview/kubernetes/019-how-do-you-prevent-high-memory-usage-in-your-kuber.txt
k8s-config/2a54fb8b3f1f	k8s-config	medium	kubernetes, secret, security	What is a Secret in Kubernetes?	A Secret is like a ConfigMap but for sensitive data (passwords, tokens, keys). Secrets store base64-encoded data and are intended to be kept confidential (with optional encryption at rest enabled via configuration). Pods use Secrets via environment variables or mounted files, similar to ConfigMaps, but with stricter access controls.\n\nRemember: `kubectl create secret generic` supports `--from-literal`, `--from-file`, `--from-env-file`.\n\nGotcha: Special chars need shell quoting. Use single quotes: `--from-literal=pass='p@ss!'`.	projects/knowledge/interview/kubernetes/424-what-is-secret.txt
k8s-config/2fd691444d71	k8s-config	easy	kubernetes, resource-limits	True or False? Memory is a compressible resource, meaning that when a container reach the memory limit, it will keep running	False. CPU is a compressible resource while memory is a non compressible resource - once a container reached the memory limit, it will be terminated.\n\nRemember: CPU is compressible (throttled when over-limit), memory is NOT (OOMKilled). This distinction is critical.\n\nUnder the hood: Kernel CFS scheduler throttles CPU. OOM killer terminates memory hogs. Different enforcement mechanisms.\n\nGotcha: Over-provision memory to be safe (OOM=crash). CPU can be slightly under-provisioned (just slower).	projects/knowledge/interview/kubernetes/200-true-or-false-memory-is-a-compressible-resource-me.txt
k8s-config/421389c9dbe8	k8s-config	hard	kubernetes, secret, env-vars, volume-mount	How are secrets managed in Kubernetes, and what are best practices for securing them?	* Secrets Management in Kubernetes: Kubernetes stores secrets as base64-encoded data.\n* Secrets are accessed by mounting them into pods as volumes or using them as environment variables.\n* Best practices include using RBAC to control access, avoiding storing sensitive information in image layers, and rotating secrets regularly.\n\nRemember: `kubectl create secret generic` supports `--from-literal`, `--from-file`, `--from-env-file`.\n\nGotcha: Special chars need shell quoting. Use single quotes: `--from-literal=pass='p@ss!'`.	projects/knowledge/interview/kubernetes/354-how-are-secrets-managed-in-kubernetes-and-what-are.txt
k8s-config/4652c6033204	k8s-config	medium	kubernetes, secret	Explain Kubernetes Secrets	Secrets let you store and manage sensitive information (passwords, ssh keys, etc.)\n\nExample: `kubectl create secret generic db-creds --from-literal=user=admin --from-literal=pass=s3cret`\n\nRemember: Secrets are like ConfigMaps wearing sunglasses — same structure, base64-encoded, slightly more restricted access.\n\nGotcha: Secrets stored unencrypted in etcd by default. Enable encryption at rest for production clusters.	projects/knowledge/interview/kubernetes/213-explain-kubernetes-secrets.txt
k8s-config/5e98b871927c	k8s-config	easy	kubernetes, resource-limits	True or False? Resource limits applied on a Pod level meaning, if limits is 2gb RAM and there are two container in a Pod that it's 1gb RAM each	False. It's per container and not per Pod.\n\nRemember: K8s true/false questions test edge cases and defaults. Verify with `kubectl explain <resource>`.\n\nGotcha: Use `kubectl explain <resource>.spec` to check field behavior directly from the CLI.	projects/knowledge/interview/kubernetes/289-true-or-false-resource-limits-applied-on-a-pod-lev.txt
k8s-config/6954ca5b38ee	k8s-config	medium	kubernetes, configmap	What is a Kubernetes ConfigMap and how is it used?	Separate configuration from pods.\nIt's good for cases where you might need to change configuration at some point but you don't want to restart the application or rebuild the image so you create a ConfigMap and connect it to a pod but externally to the pod.\n\nOverall it's good for:\n* Sharing the same configuration between different pods\n* Storing external to the pod configuration\n\nExample: `kubectl create configmap app-cfg --from-file=config.yaml --from-literal=LOG_LEVEL=debug`\n\nGotcha: ConfigMap updates don't auto-restart pods. Use Reloader or hash annotations for rolling updates.	projects/knowledge/interview/kubernetes/240-explain-configmap.txt
