---
tags:
- linux
- l1
- flashcard-deck
- dnf
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [DNF Package Manager](../../../../library/portal/topics.md) | **Domain:** Linux
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
dnf/a1b2c3d4e5f6	dnf	easy	dnf, yum, basics	What is the relationship between yum and dnf on RHEL 8+?	On RHEL 8+, yum is a symlink to dnf. Yum4 is dnf under the hood. The yum command still works but actually runs dnf.\n\nName origin: DNF stands for 'Dandified YUM' — a rewrite of YUM (Yellowdog Updater Modified, originally for Yellow Dog Linux on PowerPC Macs).\n\nTimeline: yum (2003) -> yum3 (Python, slow solver) -> dnf/yum4 (2015, libsolv C-based SAT solver, faster and more correct).\n\nGotcha: scripts that check `which yum` still work on RHEL 8+ because yum is a symlink, but best practice is to use `dnf` explicitly in new automation.	training/library/topics/dnf/primer.md
dnf/b2c3d4e5f6a7	dnf	easy	dnf, repos	Where do dnf repository configuration files live?	/etc/yum.repos.d/*.repo — each .repo file can define one or more [repo-id] sections with baseurl, gpgcheck, priority, etc.\n\nGotcha: the directory is still named yum.repos.d even on dnf systems — a legacy naming artifact. Do not rename it.\n\nExample: a minimal .repo file: [myrepo]\\nname=My Repo\\nbaseurl=https://repo.example.com/el9/\\ngpgcheck=1\\nenabled=1	training/library/topics/dnf/primer.md
dnf/c3d4e5f6a7b8	dnf	easy	dnf, search	How do you find which package provides a specific file?	dnf provides '*/filename' — searches all repos for packages that own files matching the glob pattern.\n\nExample: dnf provides '*/dig' finds bind-utils. dnf provides '*/libssl.so*' finds openssl-libs.\n\nRemember: 'provides' searches repo metadata, not just installed packages. For installed-only, use rpm -qf /full/path/to/file.	training/library/topics/dnf/primer.md
dnf/d4e5f6a7b8c9	dnf	easy	dnf, cache	What does `dnf clean all` do?	Wipes all cached metadata and downloaded packages from /var/cache/dnf/. Forces a fresh download of repo metadata on the next operation.\n\nGotcha: `dnf clean all` does NOT clean the RPM database (/var/lib/rpm). For that, use rpm --rebuilddb.\n\nDebug clue: if dnf complains about stale or corrupt metadata, `dnf clean all && dnf makecache` is the standard first fix.	training/library/topics/dnf/primer.md
dnf/e5f6a7b8c9d0	dnf	easy	dnf, check-update	What exit code does `dnf check-update` return when updates are available?	Exit code 100 means updates are available. Exit code 0 means no updates. This is useful in scripts to conditionally trigger patching.\n\nRemember: exit 100 is unusual — most tools use 0=success, non-zero=error. dnf check-update is an exception: 100=updates available (not an error).\n\nExample: dnf check-update -q; rc=$?; if [ $rc -eq 100 ]; then echo 'Updates available'; fi	training/library/topics/dnf/primer.md
dnf/f6a7b8c9d0e1	dnf	easy	dnf, groups	How do you install a package group with dnf?	dnf group install "Development Tools" — installs mandatory and default packages in the group. Use --setopt=group_package_types=mandatory,default to control which tiers.\n\nExample: 'Development Tools' includes gcc, make, autoconf, automake — essential for compiling C/C++ software from source.\n\nRemember: dnf group list shows available groups. dnf group info "Group Name" shows which packages are mandatory, default, and optional.	training/library/topics/dnf/primer.md
dnf/a7b8c9d0e1f2	dnf	easy	dnf, install, local	How do you install a local RPM file so dnf tracks it properly?	dnf install ./package.rpm — the ./ prefix tells dnf it's a local file. This ensures dnf records it as user-installed and tracks dependencies, unlike rpm -i.\n\nGotcha: without the ./ prefix, dnf searches repos for a package named 'package.rpm' (a package name, not a file). The ./ makes it a file path.\n\nX vs Y: dnf install ./pkg.rpm records in dnf history and resolves deps from repos. rpm -i pkg.rpm bypasses dnf entirely — no dep resolution, no history tracking.	training/library/topics/dnf/footguns.md
dnf/b8c9d0e1f2a3	dnf	easy	dnf, list	How do you list all installed packages?	dnf list installed — shows every installed package with version and source repo.\n\nExample: dnf list installed | grep httpd shows if Apache is installed. The @repo column tells you which repo it came from (@anaconda = initial install, @appstream = updates).\n\nRemember: for detailed info on one package: dnf info httpd. For all files in a package: rpm -ql httpd.	training/library/topics/dnf/primer.md
dnf/c9d0e1f2a3b4	dnf	easy	dnf, repolist	How do you show all configured repos and their status?	dnf repolist --all — shows enabled and disabled repos. Add -v for verbose output including baseurl and expiration.\n\nExample: dnf repolist -v shows baseurl, metalink, expiration date, and package count for each repo.\n\nDebug clue: if a package you expect is missing, check dnf repolist to verify the correct repo is enabled.	training/library/topics/dnf/primer.md
dnf/d0e1f2a3b4c5	dnf	medium	dnf, modules, streams	What is a module stream in dnf and why does it matter?	A module stream is a version track for a software component (e.g., postgresql:15 vs postgresql:16). Only one stream per module can be active. Streams filter which packages are visible to the solver, preventing accidental version mixing.\n\nAnalogy: module streams are like TV channels — you can only watch one channel per module at a time. Switching requires explicitly resetting and enabling the new stream.\n\nGotcha: enabling a stream is sticky and persists. If you enable postgresql:15, packages from postgresql:16 become invisible until you reset and switch.	training/library/topics/dnf/primer.md
