How can a liveness probe cause CrashLoopBackOff, and how do you prevent it for slow-starting apps?	If initialDelaySeconds is too short, the liveness probe fails before the app finishes starting, causing Kubernetes to kill and restart the container repeatedly. Use a startupProbe with a high failureThreshold to give the app time to initialize before liveness checks begin.	k8s-troubleshooting medium kubernetes crashloopbackoff liveness-probes
A container keeps restarting with exit code 137. Describe your troubleshooting steps.	Run kubectl describe pod to confirm OOMKilled in the Last State reason. Check the container's memory limit in the pod spec. Use kubectl top pod or Prometheus metrics to see actual memory usage. Increase the memory limit or fix the memory leak in the application.	k8s-troubleshooting medium kubernetes crashloopbackoff oomkilled
How do you distinguish CrashLoopBackOff from CreateContainerConfigError and ImagePullBackOff?	In CrashLoopBackOff the container started and ran before crashing — check application logs. In ImagePullBackOff the image could not be pulled (wrong tag, registry auth, network). In CreateContainerConfigError the container could not be configured (referenced ConfigMap or Secret does not exist). The key distinction is whether the container process ever executed.	k8s-troubleshooting hard kubernetes crashloopbackoff differential-diagnosis
A pod is in CrashLoopBackOff with exit code 137. What killed it and what do you check first?	Exit code 137 means SIGKILL — most commonly the kernel OOM killer. Run kubectl describe pod and look for Reason: OOMKilled in Last State, then check the container memory limit versus actual usage.	k8s-troubleshooting easy kubernetes crashloopbackoff exit-codes
How do init containers help prevent CrashLoopBackOff caused by missing dependencies?	Init containers run before the main container and block startup until they succeed. You can use an init container to wait for a dependency (e.g., polling a database port with nc -z) so the main container only starts when its dependencies are actually ready.	k8s-troubleshooting medium kubernetes crashloopbackoff init-containers
What is a LimitRange and how does it prevent OOMKilled caused by missing resource limits?	A LimitRange is a namespace-scoped object that sets default memory requests and limits for containers that do not specify their own. It ensures every pod has a cgroup ceiling, preventing unbounded memory consumption that causes node-level OOM.	k8s-troubleshooting medium oomkilled kubernetes prevention
What is the difference between resources.requests.memory and resources.limits.memory in a Kubernetes pod spec?	requests.memory is the scheduling guarantee (the kubelet reserves this amount on the node). limits.memory is the hard ceiling enforced by the Linux cgroup — exceeding it triggers OOMKill.	k8s-troubleshooting easy oomkilled kubernetes resources
Explain the kubelet eviction thresholds for memory and how they interact with the kernel OOM killer.	The kubelet has --eviction-hard (e.g., memory.available<100Mi) and --eviction-soft thresholds. When available memory crosses the soft threshold for its grace period or hits the hard threshold, the kubelet evicts pods (BestEffort first). If eviction cannot free memory fast enough and available memory reaches zero, the kernel OOM killer fires as a last resort.	k8s-troubleshooting hard oomkilled kubernetes eviction
What is oom_score_adj and how does Kubernetes use it to influence which process the OOM killer targets?	oom_score_adj (-1000 to 1000) adjusts a process's OOM kill priority. Kubernetes sets it by QoS class: Guaranteed gets -997 (killed last), BestEffort gets 1000 (killed first), and Burstable gets a scaled value in between.	k8s-troubleshooting medium oomkilled linux kernel
How do you find pods that match a particular label selector?	kubectl get pods -l app=myapp,env=prod (comma = AND). kubectl get pods -l 'app in (myapp,otherapp)' (set-based). kubectl get pods --show-labels to see all labels. Mismatched labels are the top cause of Service/Deployment issues.	k8s-troubleshooting easy kubernetes troubleshooting labels selectors
