id	category	tags	topic_text	trivia_fact	source
linux-kernel/t001	linux-kernel	size,history,growth	First Kernel Was Tiny	Linux 0.01 (September 1991) was about 10,000 lines of C code. It supported only AT-compatible hardware and the MINIX filesystem. By 2024, the kernel exceeded 30 million lines — a 3,000x increase. Most of that growth is device drivers, which account for over 60% of the codebase.	kernelnewbies
linux-kernel/t002	linux-kernel	versioning,numbering,history	Kernel Versioning History	Linux used odd/even minor version numbering (odd = development, even = stable) from 1994 to 2004. When 2.6 development stretched to 8 years, Torvalds abandoned the scheme. In 2011, he jumped from 2.6.39 to 3.0 simply because "the numbers were getting too big." Version 6.0 (2022) similarly had no special significance.	lkml
linux-kernel/t003	linux-kernel	modules,ko,naming	Why Modules Are .ko	Kernel modules use the .ko extension (kernel object), introduced in Linux 2.6 to distinguish them from regular .o (object) files. The .ko format includes extra metadata (module info, version magic, dependency info) that .o files lack. This prevents accidentally loading incompatible modules.	kernel-docs
linux-kernel/t004	linux-kernel	oom-killer,controversy,memory	OOM Killer Controversy	The OOM (Out-of-Memory) killer is one of Linux's most controversial features. When the system truly runs out of memory, the kernel selects and kills a process to free memory. The selection heuristic (oom_score) has been endlessly debated — it sometimes kills the wrong process, like a database instead of the leaky app.	lkml
linux-kernel/t005	linux-kernel	cgroups,google,origin	Cgroups Origin at Google	Control groups (cgroups) were developed by Google engineers Paul Menage and Rohit Seth, merged into Linux 2.6.24 (2008). Google needed them to manage thousands of workloads on shared machines. Cgroups became the foundation of containers (Docker, Kubernetes) — without cgroups, containers wouldn't exist.	kernelnewbies
linux-kernel/t006	linux-kernel	bpf,packet-filtering,evolution	BPF Origin Story	BPF (Berkeley Packet Filter) was created in 1992 by Steven McCanne and Van Jacobson at Lawrence Berkeley Lab for efficient packet capture (tcpdump). Extended BPF (eBPF), added to Linux in 2014, transformed it into a general-purpose kernel programming framework used for networking, security, and observability.	bpf-paper
linux-kernel/t007	linux-kernel	scheduler,cfs,evolution	Scheduler Evolution	Linux's scheduler went through major revisions: the original O(n) scheduler, then Ingo Molnar's O(1) scheduler (2.6, 2003), then Con Kolivas's experimental schedulers, and finally the Completely Fair Scheduler (CFS) by Molnar (2.6.23, 2007). CFS uses a red-black tree and the concept of "virtual runtime" for fairness.	kernelnewbies
linux-kernel/t008	linux-kernel	proc,pseudo-filesystem,window	/proc Is Virtual	The /proc filesystem contains no files on disk — every read generates data on the fly from kernel data structures. Reading /proc/meminfo triggers a kernel function that inspects memory stats at that instant. Writing to /proc/sys files changes kernel parameters in real-time. The concept came from Plan 9.	kernel-docs
linux-kernel/t009	linux-kernel	tainted,debugging,flags	Tainted Kernel Flag	The kernel "tainted" flag marks when non-standard conditions exist: proprietary modules loaded (P), force-loaded module (F), kernel panic occurred (K), etc. Kernel developers check this first in bug reports — a tainted kernel may behave differently. Run `cat /proc/sys/kernel/tainted` to check yours.	kernel-docs
linux-kernel/t010	linux-kernel	git,creation,linux	Git Was Created for Linux	Linus Torvalds wrote Git in 2005 after a licensing dispute with BitKeeper, the commercial VCS previously used for kernel development. He created the initial working version in about two weeks. Git was specifically designed for the Linux kernel's distributed development model and massive scale.	git-history
linux-kernel/t011	linux-kernel	kconfig,menuconfig,build	Kernel Config Complexity	The Linux kernel has over 17,000 configuration options (Kconfig symbols). `make menuconfig` presents them as a text-based menu. Most distros ship a config enabling ~5,000 options. A minimal embedded kernel might enable only 500. The `.config` file is the single most important file in a kernel build.	kernel-docs
linux-kernel/t012	linux-kernel	rust,language,kernel	Rust in the Linux Kernel	Linux 6.1 (December 2022) was the first kernel release with Rust language support. This was the first new language admitted to the kernel since its creation in C (1991). Torvalds cautiously approved it for drivers, hoping Rust's memory safety would reduce the class of bugs that C makes easy.	lkml
linux-kernel/t013	linux-kernel	security,bugs,hardening	Kernel Security Scale	The Linux kernel has roughly 100 CVEs reported per year. Most are in device drivers, not core subsystems. The kernel self-protection project (KSPP) has added hardening features like stack protector, KASLR (randomized memory layout), and control-flow integrity to reduce exploitability.	kernel-docs
linux-kernel/t014	linux-kernel	sysfs,model,devices	Sysfs Device Model	The /sys filesystem (sysfs) was introduced in Linux 2.6 to expose the kernel's device model to userspace. Unlike /proc (which grew organically and became cluttered), sysfs was designed with a strict one-value-per-file rule. Each file represents a single attribute of a single kernel object.	kernel-docs
linux-kernel/t015	linux-kernel	release-cycle,timing,cadence	Kernel Release Cadence	Since 2.6, Linux releases follow a roughly 9-10 week cycle: a 2-week merge window where new features enter, followed by 7-8 weeks of release candidates (rc1-rc8) for stabilization. This predictable cadence was Torvalds's answer to the unpredictable 2.4→2.6 development gap that lasted years.	lkml
