---
tags:
- k8s
- l1
- flashcard-deck
- envoy
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Envoy Proxy](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
envoy/3a1f8c2d4e5b	envoy	easy	envoy, architecture, listeners	What is an Envoy listener?	A listener defines the address and port where Envoy accepts incoming connections. Each listener has one or more filter chains that process the connection.\n\nExample: listener on 0.0.0.0:8080 with HTTP connection manager routes to clusters based on host/path rules.	training/library/topics/envoy/primer.md
envoy/7b2e9d1c6f0a	envoy	easy	envoy, architecture, clusters	What is an Envoy cluster?	A cluster is a logical group of upstream hosts (endpoints). It holds load-balancing policy, circuit breaker thresholds, health check configuration, and TLS settings for reaching a set of upstream services.\n\nExample: cluster "backend-v2" with round-robin LB, 5s timeout, outlier detection ejecting after 5 consecutive 5xx.	training/library/topics/envoy/primer.md
envoy/4c3d0e8f1a2b	envoy	easy	envoy, architecture, routes	What does "first match wins" mean in Envoy routing?	Envoy evaluates route rules in order and selects the first rule that matches the request. More-specific routes (exact match, longer prefix) must be placed before broader routes, or they will never be reached.\n\nGotcha: a catch-all prefix: '/' route placed first will match everything — more specific routes below it are dead code. Order matters.\n\nAnalogy: like a switch-case without fall-through — the first match wins, and everything after it is ignored for that request.	training/library/topics/envoy/primer.md
envoy/9e4f5a7b8c1d	envoy	easy	envoy, xds, apis	What does xDS stand for in the context of Envoy?	xDS stands for "x Discovery Service" — a family of APIs (LDS, RDS, CDS, EDS, SDS, ADS) that a management plane uses to dynamically push configuration to Envoy without restarts.\n\nRemember: LRCESA — Listeners, Routes, Clusters, Endpoints, Secrets, Aggregated. Six xDS APIs for dynamic config.	training/library/topics/envoy/primer.md
envoy/2f6b0c9d3e4a	envoy	easy	envoy, admin, interface	What is the Envoy admin interface and what port does it use by default?	The admin interface is a local HTTP endpoint (default port 9901, or 15000 in Istio sidecars) that exposes config_dump, stats, logging controls, and cluster health. It must never be exposed externally.\n\nGotcha: admin port exposes config_dump (secrets visible!), log controls, drain commands. Never expose beyond localhost.	training/library/topics/envoy/street_ops.md
envoy/8a5c1d2e7f3b	envoy	easy	envoy, response-flags, 503	What does the Envoy response flag UF mean?	UF means "upstream connection failure" — Envoy could not establish or maintain a TCP connection to the upstream host. Common causes: upstream pod crashed, network policy blocking traffic, or wrong port.\n\nRemember: UF = Upstream Failure. Check: pod running? Port correct? Network policy blocking?	training/library/topics/envoy/street_ops.md
envoy/1b7d3f4a9e6c	envoy	easy	envoy, response-flags, circuit-breaker	What does the Envoy response flag UO mean?	UO means "upstream overflow" — the circuit breaker threshold was exceeded (max_connections, max_pending_requests, or max_requests) and Envoy returned 503 rather than queue another request.\n\nRemember: UO = Upstream Overflow. Circuit breaker tripped. Check upstream_rq_pending_overflow counter.	training/library/topics/envoy/street_ops.md
envoy/5d2a8b0c4e9f	envoy	easy	envoy, response-flags, routing	What does the Envoy response flag NR mean?	NR means "no route" — Envoy received a request but found no matching route in the route table. Common causes: missing route configuration, wrong Host header, or VirtualService misconfiguration in Istio.\n\nRemember: NR = No Route. Check Host header, VirtualService hosts, route prefixes.	training/library/topics/envoy/street_ops.md
envoy/6e1f9c7b2d0a	envoy	easy	envoy, load-balancing	What load-balancing policy should you use when you want session stickiness based on a request header?	Ring hash (or Maglev) load balancing. Both use consistent hashing on a specified header (e.g., a session cookie or user ID) to route the same caller consistently to the same upstream host.\n\nExample: hash on x-user-id header to route same user to same backend. Good for caching and websockets.	training/library/topics/envoy/primer.md
envoy/0c4b6d8f1e3a	envoy	easy	envoy, hot-restart	What is Envoy hot restart?	Hot restart allows a new Envoy process to take over the listening sockets from the old process without dropping active connections. The old process drains in-flight requests while the new process handles new connections.\n\nUnder the hood: the old Envoy passes file descriptors to the new process via Unix domain sockets using SCM_RIGHTS. The kernel allows two processes to share the same listening socket.\n\nRemember: hot restart enables config changes and binary upgrades without connection drops — essential for service mesh proxies handling thousands of active connections.	training/library/topics/envoy/primer.md
