id	category	tags	topic_text	trivia_fact	source
git/t001	git	git,linus,origin	Git Creation Speed	Linus Torvalds created Git in approximately two weeks in April 2005, after BitKeeper revoked its free license for the Linux kernel community. The first Git commit was on April 7, 2005, and the kernel was self-hosting on Git by April 18.	git-scm.com
git/t002	git	git,naming,humor	Git Name Origin	Linus named Git after British slang for an unpleasant or annoying person. He joked in the README: "I'm an egotistical bastard, and I name all my projects after myself. First Linux, now git." The word also means "get" in some dialects.	linus-torvalds
git/t003	git	sha1,integrity,hashing	SHA-1 Choice	Git chose SHA-1 for content integrity, not cryptographic security. Every object (commit, tree, blob) is identified by its SHA-1 hash. Git has been migrating to SHA-256 since 2020, though SHA-1 collision attacks haven't affected Git in practice.	git-scm.com
git/t004	git	checkout,branch,metaphor	Branch Metaphor	Git's "branch" terminology comes from tree metaphors in revision control. "Checkout" borrows from library science — you "check out" a version like checking out a book. These metaphors date back to SCCS and RCS in the 1970s-80s.	rcs-history
git/t005	git	github,founding,bar	GitHub Founding	GitHub was founded in 2008 by Tom Preston-Werner, Chris Wanstrath, PJ Hyett, and Scott Chacon. The initial planning happened at a sports bar in San Francisco. GitHub launched publicly in April 2008 and Microsoft acquired it for $7.5 billion in 2018.	github-history
git/t006	git	staging,index,area	Staging Area History	Git's staging area was originally called the "index" — a term that still appears in Git internals and documentation. The rename to "staging area" was a usability improvement, as "index" confused newcomers. The index file lives at `.git/index`.	git-scm.com
git/t007	git	head,pointer,concept	HEAD Pointer	"HEAD" in Git points to the current commit you're working on. The concept of a HEAD pointer comes from earlier revision control systems like RCS (1982), where it referred to the latest revision on a branch. Detached HEAD occurs when HEAD points to a commit instead of a branch.	rcs-history
git/t008	git	merge,commits,history	Why Merge Commits	Merge commits exist because Git tracks full history graphs, not linear sequences. Unlike earlier VCS tools that serialized changes, Git preserves the parallel development structure. Linus insisted on this because the Linux kernel has thousands of simultaneous contributors.	git-scm.com
git/t009	git	rebase,controversy,workflow	Rebase Controversy	Rebase was controversial when introduced because it rewrites history — something purists considered dishonest. The "never rebase public branches" rule emerged from painful experience. Linus himself uses rebase for cleanup but insists on merge commits for subsystem integration.	lkml
git/t010	git	junio-hamano,maintainer	Junio Hamano	Junio C Hamano has been Git's lead maintainer since July 2005, just three months after Linus created it. Linus handed over maintenance to focus on the kernel. Hamano has shaped Git's development for over two decades and authored much of the codebase.	git-scm.com
git/t011	git	shell-scripts,origin,implementation	Original Implementation	The original Git was a collection of shell scripts and C programs. Linus wrote the core object store in C but many commands were shell scripts wrapping the "plumbing" layer. Most have since been rewritten in C for performance.	git-history
git/t012	git	porcelain,plumbing,terminology	Porcelain vs Plumbing	Git's "porcelain" (user-facing commands like `git log`) and "plumbing" (low-level commands like `git cat-file`) terminology comes from a bathroom metaphor. The plumbing does the real work; the porcelain is the pretty interface people interact with.	git-scm.com
git/t013	git	distributed,dvcs,design	Distributed by Design	Git was designed as distributed from day one because the Linux kernel community spans the globe. Every clone contains the full repository history. This was radical in 2005 when centralized systems like SVN and CVS dominated.	git-scm.com
git/t014	git	content-addressable,storage	Content-Addressable Store	Git is fundamentally a content-addressable filesystem — files are stored by the hash of their content, not by filename. Two identical files anywhere in history share the same blob object. This makes Git extremely space-efficient for large repositories.	git-scm.com
git/t015	git	reflog,safety-net	Reflog Safety Net	Git's reflog records every change to HEAD and branch tips for 90 days by default. This means nearly any "destructive" operation (reset, rebase, amend) can be undone via `git reflog`. It's the secret safety net that most Git users don't know about.	git-scm.com
git/t016	git	fast-forward,merge-strategy	Fast-Forward Merges	A "fast-forward" merge simply moves the branch pointer forward when there's no divergent work. The name comes from the VCR metaphor — you're fast-forwarding through a linear sequence. Many teams disable fast-forward merges to preserve branch history.	git-scm.com
git/t017	git	bisect,binary-search,debugging	Git Bisect	`git bisect` uses binary search to find the commit that introduced a bug. It was one of Linus's original requirements — with thousands of commits, linear searching was impractical. Automated bisect (`git bisect run`) can find bugs while you sleep.	git-scm.com
git/t018	git	gitignore,patterns	Gitignore Patterns	`.gitignore` patterns follow glob syntax inherited from Unix shells. The leading `/` for root-only matching and the `!` negation prefix were designed to handle complex project layouts. Git checks `.gitignore` files at every directory level, not just the root.	git-scm.com
git/t019	git	pack-files,compression	Pack Files	Git periodically packs loose objects into "pack files" using delta compression. This is why a Git repository can be smaller than a single checkout of the same project in SVN. The `git gc` command triggers this garbage collection and packing.	git-scm.com
git/t020	git	bitkeeper,catalyst,linux	BitKeeper Catalyst	BitKeeper, a proprietary DVCS, was used free-of-charge by the Linux kernel team from 2002-2005. When BitKeeper's Larry McVoy revoked the free license after Andrew Tridgell reverse-engineered the protocol, Linus wrote Git as a replacement in a furious burst of coding.	lkml
