id	category	tags	topic_text	trivia_fact	source
disaster-recovery/t001	disaster-recovery	rpo,rto,business-continuity	RPO and RTO	RPO (Recovery Point Objective) and RTO (Recovery Time Objective) come from business continuity planning. RPO asks "how much data can we afford to lose?" and RTO asks "how long can we be down?" These two numbers drive every backup and replication architecture decision.	business-continuity-institute
disaster-recovery/t002	disaster-recovery	3-2-1,backup,rule	3-2-1 Backup Rule	The "3-2-1 backup rule" recommends keeping 3 copies of your data, on 2 different media types, with 1 copy offsite. Attributed to photographer Peter Krogh around 2005, the rule has become the gold standard for data protection. Modern variants add "1 air-gapped" and "0 errors" (3-2-1-1-0).	peter-krogh-backup-rule
disaster-recovery/t003	disaster-recovery	katrina,datacenter,disaster	Hurricane Katrina	Hurricane Katrina (2005) destroyed or disabled multiple datacenters in the Gulf Coast region. Companies with no offsite backups lost everything. The disaster became a watershed moment for DR planning, driving adoption of geographically distributed backup sites and cloud-based disaster recovery.	fema-katrina-lessons
disaster-recovery/t004	disaster-recovery	gitlab,database,deletion	GitLab DB Deletion	On January 31, 2017, a GitLab engineer accidentally deleted a 300GB production PostgreSQL database during routine maintenance. Of five backup methods configured, none worked properly. GitLab live-streamed the recovery on YouTube, turning a catastrophe into a transparency landmark. They recovered from a lucky staging snapshot taken 6 hours earlier.	gitlab-postmortem-2017
disaster-recovery/t005	disaster-recovery	pixar,toy-story-2,deletion	Toy Story 2 Near-Deletion	In 1998, someone at Pixar accidentally ran "rm -rf *" on the Toy Story 2 production files, deleting 90% of the movie. The backup system had failed silently for months. The film was saved only because supervising technical director Galyn Susman had a copy on her home machine, where she had been working while on maternity leave.	pixar-toy-story-2-recovery
disaster-recovery/t006	disaster-recovery	chaos-engineering,netflix,simian-army	Chaos Engineering Origin	Chaos engineering started at Netflix in 2010 with "Chaos Monkey," a tool that randomly killed production instances to ensure the system could handle failures. It evolved into the "Simian Army" (Chaos Gorilla, Latency Monkey, etc.). The idea was radical: deliberately break things in production to build confidence in resilience.	netflix-chaos-monkey-2010
disaster-recovery/t007	disaster-recovery	failover,active-passive,active-active	Failover Patterns	Active-passive failover keeps a standby system ready to take over when the primary fails. Active-active runs both simultaneously, splitting traffic. Active-active sounds better but is much harder — you need to handle split-brain scenarios, data conflicts, and the "thundering herd" problem when one node fails.	high-availability-patterns
disaster-recovery/t008	disaster-recovery	runbook,aviation,checklist	Runbook Origin	Disaster recovery runbooks borrow from aviation checklists. After a series of pilot errors caused crashes, the US Army Air Corps introduced pre-flight checklists in 1935 for the B-17 bomber. The same principle — don't rely on memory during a crisis — drives modern incident runbooks.	aviation-checklist-history
disaster-recovery/t009	disaster-recovery	cold-site,warm-site,hot-site	Recovery Site Types	DR sites come in three temperatures: cold (empty space with power and connectivity, days to recover), warm (pre-configured hardware, hours to recover), and hot (live replica, minutes to recover). The cost roughly doubles with each temperature increase, making hot sites viable only for critical systems.	dr-planning-guide
disaster-recovery/t010	disaster-recovery	tabletop,exercise,war-game	Tabletop Exercises	DR tabletop exercises come from military war-gaming traditions. Teams walk through a disaster scenario without actually failing over, identifying gaps in their plans. Studies show that organizations that run tabletop exercises at least annually recover 50% faster during real incidents than those that only have written plans.	nist-dr-testing-guide
