id	category	tags	topic_text	trivia_fact	source
aws-general/t001	aws-general	aws,history,origin	AWS Internal Origin	AWS grew out of Amazon's effort to standardize its internal infrastructure in the early 2000s. Engineers needed a common platform to build services, and leadership realized this platform could be sold externally.	Brad Stone, "The Everything Store"
aws-general/t002	aws-general	s3,launch,history	S3 Was First	Amazon S3 (Simple Storage Service) launched on March 14, 2006 — Pi Day — as the first generally available AWS service. EC2 followed five months later in August 2006. S3 now stores over 100 trillion objects.	aws.amazon.com/about-aws
aws-general/t003	aws-general	two-pizza,teams,culture	Two-Pizza Team Rule	Jeff Bezos mandated that teams should be small enough to feed with two pizzas (6-10 people). This rule shaped AWS's service-oriented architecture: each two-pizza team owns a service end-to-end, from development through operations.	Brad Stone, "The Everything Store"
aws-general/t004	aws-general	us-east-1,region,reliability	us-east-1 Is the Oldest Region	us-east-1 (N. Virginia) was the first AWS region and remains the default for many services. Its age and size make it the most feature-rich region, but also historically the most prone to outages due to sheer complexity and legacy architecture.	AWS re:Invent talks
aws-general/t005	aws-general	s3-outage,2017,incident	The S3 Typo Outage of 2017	On February 28, 2017, an AWS engineer mistyped a command during routine maintenance, removing more S3 servers than intended in us-east-1. The cascading failure took down thousands of websites and services for nearly four hours. AWS added safeguards to prevent removing too much capacity at once.	aws.amazon.com/message/41926
aws-general/t006	aws-general	ec2,naming,etymology	EC2 Name Origin	EC2 stands for "Elastic Compute Cloud" — "Elastic" because capacity scales up and down, "Compute" for processing power, and "Cloud" for the delivery model. The double C creates the "C2" suffix.	aws.amazon.com/ec2
aws-general/t007	aws-general	availability-zones,design,fault-tolerance	Why Availability Zones Exist	AWS regions contain multiple Availability Zones (AZs), each in physically separate data centers with independent power and networking. This design means a single facility failure does not take down the entire region. The concept was revolutionary when introduced.	AWS Architecture Blog
aws-general/t008	aws-general	lambda,serverless,revolution	Lambda Started Serverless	AWS Lambda launched in November 2014 and popularized the "serverless" paradigm. The name references lambda calculus (anonymous functions). Lambda was inspired by the internal need to run small pieces of code without provisioning servers.	aws.amazon.com/lambda
aws-general/t009	aws-general	dynamodb,dynamo-paper,history	DynamoDB and the Dynamo Paper	DynamoDB is based on Amazon's 2007 Dynamo paper, which described a highly-available key-value store used internally. The paper became one of the most influential distributed systems papers ever, also inspiring Apache Cassandra and Riak.	DeCandia et al., SOSP 2007
aws-general/t010	aws-general	well-architected,framework,pillars	Well-Architected Framework	The AWS Well-Architected Framework defines six pillars: Operational Excellence, Security, Reliability, Performance Efficiency, Cost Optimization, and Sustainability (added in 2021). It started as internal review criteria before becoming public guidance.	aws.amazon.com/architecture
aws-general/t011	aws-general	route53,naming,dns	Route 53 Named After Port 53	AWS Route 53 is named after DNS port 53 and US Route 66 — evoking both the technical (DNS) and the idea of reliable routing (the famous American highway). It launched in 2010.	aws.amazon.com/route53
aws-general/t012	aws-general	cloudformation,iac,terraform	CloudFormation vs Terraform	CloudFormation (2011) was AWS's first IaC service. Terraform (2014) gained popularity by being cloud-agnostic. The debate continues, but Terraform's HCL language and multi-cloud support made it the dominant open-source choice.	aws.amazon.com, hashicorp.com
aws-general/t013	aws-general	iam,complexity,permissions	IAM Complexity	AWS IAM has been called the most complex authorization system in production use. A single IAM policy can involve principals, actions, resources, conditions, permission boundaries, session policies, and service control policies — leading to the joke that "IAM is the real AWS product."	AWS re:Invent talks
aws-general/t014	aws-general	reinvent,conference,las-vegas	re:Invent Scale	AWS re:Invent, held annually in Las Vegas since 2012, grew from 6,000 attendees to over 60,000. It is the largest cloud computing conference in the world. The keynotes routinely announce 50+ new services and features.	aws.amazon.com/reinvent
aws-general/t015	aws-general	vpc,networking,isolation	VPC Was Not Original	When AWS launched, all EC2 instances ran in a shared flat network called "EC2-Classic." VPC (Virtual Private Cloud) was introduced in 2009 to give customers isolated networks. EC2-Classic was finally retired in 2022 after years of migration warnings.	AWS Blog
aws-general/t016	aws-general	glacier,naming,storage	Glacier Named for Cold Storage	Amazon Glacier (now S3 Glacier) is named after the geological formation because glaciers are cold and slow — a metaphor for infrequent-access archival storage with retrieval times measured in hours rather than milliseconds.	aws.amazon.com/glacier
aws-general/t017	aws-general	andy-jassy,leadership,ceo	Andy Jassy Built AWS	Andy Jassy led AWS from its founding in 2003 through its growth into a $80B+ business. He became Amazon CEO in July 2021, succeeding Jeff Bezos — a testament to how central AWS became to Amazon's overall strategy.	Amazon press releases
aws-general/t018	aws-general	aurora,database,mysql	Aurora Performance Claims	AWS Aurora launched in 2014 claiming 5x the throughput of standard MySQL. It achieved this by re-architecting the storage layer to be distributed and log-structured, separating compute from storage across three AZs with six copies of data.	aws.amazon.com/aurora
aws-general/t019	aws-general	arm,graviton,custom-chips	Graviton Custom Chips	AWS designs its own Arm-based processors called Graviton. First released in 2018, Graviton instances offer up to 40% better price-performance than x86 equivalents. AWS acquired chip maker Annapurna Labs in 2015 to build them.	AWS Blog
aws-general/t020	aws-general	marketplace,revenue,ecosystem	AWS Account Numbers	AWS account IDs are 12-digit numbers. Early adopters have low account numbers. The ID space supports up to one trillion accounts, reflecting the massive scale Amazon anticipated from the start.	AWS documentation
