pattern_id	asset_type	path
FP-001_crashloopbackoff	runbook	training/library/runbooks/crashloopbackoff.md
FP-001_crashloopbackoff	incident	training/interactive/incidents/scenarios/crashloop-bad-command.sh
FP-001_crashloopbackoff	investigation	training/library/runbooks/crashloopbackoff.md
FP-001_crashloopbackoff	doc	training/library/guides/troubleshooting.md
FP-002_readiness_probe_failure	lab	training/interactive/runtime-labs/lab-runtime-01-rollout-probe-failure/
FP-002_readiness_probe_failure	runbook	training/library/runbooks/readiness_probe_failed.md
FP-002_readiness_probe_failure	incident	training/interactive/incidents/scenarios/readiness-probe-wrong-path.sh
FP-002_readiness_probe_failure	chaos	training/interactive/chaos/scripts/break_readiness.sh
FP-002_readiness_probe_failure	investigation	training/library/runbooks/readiness_probe_failed.md
FP-002_readiness_probe_failure	interview	training/interview-scenarios/01-deployment-stuck-progressing.md
FP-003_imagepullbackoff	runbook	training/library/runbooks/imagepullbackoff.md
FP-003_imagepullbackoff	incident	training/interactive/incidents/scenarios/imagepull-bad-tag.sh
FP-003_imagepullbackoff	investigation	training/library/runbooks/imagepullbackoff.md
FP-004_oomkilled	lab	training/interactive/runtime-labs/lab-runtime-08-resource-limits-oom/
FP-004_oomkilled	runbook	training/library/runbooks/oomkilled.md
FP-004_oomkilled	incident	training/interactive/incidents/scenarios/oomkill-low-memory.sh
FP-004_oomkilled	investigation	training/library/runbooks/oomkilled.md
FP-004_oomkilled	interview	training/interview-scenarios/08-pods-oomkilled.md
FP-004_oomkilled	chaos	training/interactive/chaos/scripts/mem_stress.sh
FP-005_hpa_not_scaling	lab	training/interactive/runtime-labs/lab-runtime-02-hpa-live-scaling/
FP-005_hpa_not_scaling	runbook	training/library/runbooks/hpa_not_scaling.md
FP-005_hpa_not_scaling	incident	training/interactive/incidents/scenarios/hpa-not-scaling.sh
FP-005_hpa_not_scaling	investigation	training/library/runbooks/hpa_not_scaling.md
FP-005_hpa_not_scaling	interview	training/interview-scenarios/02-hpa-not-scaling.md
FP-006_dns_resolution_failure	runbook	training/library/runbooks/dns_resolution.md
FP-006_dns_resolution_failure	incident	training/interactive/incidents/scenarios/dns-bad-service-name.sh
FP-006_dns_resolution_failure	investigation	training/library/runbooks/dns_resolution.md
FP-007_networkpolicy_block	runbook	training/library/runbooks/networkpolicy_block.md
FP-007_networkpolicy_block	incident	training/interactive/incidents/scenarios/networkpolicy-block-ingress.sh
FP-007_networkpolicy_block	investigation	training/library/runbooks/networkpolicy_block.md
FP-007_networkpolicy_block	chaos	training/interactive/chaos/scripts/toggle_networkpolicy.sh
FP-008_service_selector_mismatch	incident	training/interactive/incidents/scenarios/service-selector-mismatch.sh
FP-008_service_selector_mismatch	incident	training/interactive/incidents/scenarios/service-port-mismatch.sh
FP-008_service_selector_mismatch	investigation	training/library/runbooks/crashloopbackoff.md
FP-009_prometheus_target_down	lab	training/interactive/runtime-labs/lab-runtime-03-observability-target-down/
FP-009_prometheus_target_down	runbook	training/library/runbooks/prometheus_target_down.md
FP-009_prometheus_target_down	incident	training/interactive/incidents/scenarios/prometheus-target-down.sh
FP-009_prometheus_target_down	investigation	training/library/runbooks/prometheus_target_down.md
FP-009_prometheus_target_down	interview	training/interview-scenarios/03-prometheus-target-down.md
FP-010_loki_no_logs	lab	training/interactive/runtime-labs/lab-runtime-04-loki-no-logs/
FP-010_loki_no_logs	runbook	training/library/runbooks/loki_no_logs.md
FP-010_loki_no_logs	incident	training/interactive/incidents/scenarios/loki-no-logs.sh
FP-010_loki_no_logs	investigation	training/library/runbooks/loki_no_logs.md
FP-010_loki_no_logs	interview	training/interview-scenarios/04-loki-logs-disappeared.md
FP-011_helm_upgrade_failure	lab	training/interactive/runtime-labs/lab-runtime-05-helm-upgrade-rollback/
FP-011_helm_upgrade_failure	runbook	training/library/runbooks/helm_upgrade_failed.md
FP-011_helm_upgrade_failure	incident	training/interactive/incidents/scenarios/helm-upgrade-bad-values.sh
FP-011_helm_upgrade_failure	investigation	training/library/runbooks/helm_upgrade_failed.md
FP-011_helm_upgrade_failure	interview	training/interview-scenarios/05-helm-upgrade-broke-prod.md
FP-012_rollout_stuck	interview	training/interview-scenarios/01-deployment-stuck-progressing.md
FP-013_ingress_404	runbook	training/library/runbooks/ingress_404.md
FP-013_ingress_404	interview	training/interview-scenarios/10-ingress-404.md
FP-014_rbac_forbidden	runbook	training/library/runbooks/rbac_forbidden.md
FP-014_rbac_forbidden	interview	training/interview-scenarios/09-rbac-forbidden.md
FP-015_tempo_no_traces	runbook	training/library/runbooks/tempo_no_traces.md
FP-015_tempo_no_traces	incident	training/interactive/incidents/scenarios/tempo-no-traces.sh
