---
tags:
- containers
- l1
- flashcard-deck
- docker-security
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Containers Deep Dive](../../../../library/portal/topics.md) | **Domain:** containers
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
docker-security/0e0e2d585114	docker-security	medium	docker-security, rootless	Explain Rootless Containers	Historically, user needed root privileges to run containers. One of the most basic security recommendations is to provide users with minimum privileges for what they need.\n\nFor containers it's been the situation for a long time and still for running some containers today from docker.io, you'll need to have root privileges.\n\nUnder the hood: rootless containers use user namespaces to remap UID 0 inside the container to an unprivileged UID on the host. Podman was rootless from the start; Docker added rootless mode in v19.03.\n\nRemember: rootless = container runs without host root. Uses user namespaces + FUSE-OverlayFS + Slirp4netns for networking.	projects/knowledge/interview/docker/120-explain-rootless-containers.txt
docker-security/1299eb097f6d	docker-security	easy	docker-security, kernel-security	A container can cause a kernel panic and bring down the whole host. What preventive actions can you apply to avoid this specific situation?	* Install only the necessary packages in the container\n  * Set volumes and container's filesystem to read only\n  * DO NOT run containers with `--privileged` flag\n\nGotcha: --privileged disables most security. A privileged container can load kernel modules and crash the host.	projects/knowledge/interview/docker/115-a-container-can-cause-a-kernel-panic-and-bring-dow.txt
docker-security/21096879cc74	docker-security	hard	docker-security, isolation	How container achieve isolation from the rest of the system?	Through the use of namespaces and cgroups. Linux kernel has several types of namespaces:\n\n  - Process ID namespaces: these namespaces include independent set of process IDs\n  - Mount namespaces: Isolation and control of mountpoints\n  - Network namespaces: Isolates system networking resources such as routing table, interfaces, ARP table, etc.\n  - UTS namespaces: Isolate host and domains\n  - IPC namespaces: Isolates interprocess communications\n  - User namespaces: Isolate user and group IDs\n  - Time namespaces: Isolates system clocks	projects/knowledge/interview/docker/085-how-container-achieve-isolation-from-the-rest-of-t.txt
docker-security/2830fc7592e3	docker-security	hard	docker-security, isolation	How does Docker ensure isolation between containers?	Docker ensures isolation between containers through several mechanisms:\n* Namespace Isolation: Docker uses Linux namespaces to create isolated environments for containers. Each container has its own set of namespaces, such as PID, network, and mount namespaces, preventing processes in one container from seeing or interacting with processes in other containers.\n* Control Groups (cgroups): Docker leverages cgroups to limit the resource usage of containers, such as CPU, memory, and I/O.	projects/knowledge/interview/docker/131-how-does-docker-ensure-isolation-between-container.txt
docker-security/3125a5271c37	docker-security	medium	docker-security, scanning	How can you scan Docker images for vulnerabilities?	You can scan Docker images for vulnerabilities using specialized tools. One popular tool is Trivy. Here's a basic example: \nInstall Trivy:\n```brew install trivy # for Homebrew on macOS``` \nScan an Image:\n```trivy image my_image``` \nTrivy analyzes container images and checks for known vulnerabilities in the installed packages. Other tools like Clair and Anchore can also be used for image vulnerability scanning.	projects/knowledge/interview/docker/176-how-can-you-scan-docker-images-for-vulnerabilities.txt
docker-security/3816751c5334	docker-security	medium	docker-security, rootless	Give one example of rootless containers are more safe from security perspective	In rootless containers, user namespace appears to be running as root but it doesn't, it's executed with regular user privileges. If an attacker manages to get out of the user space to the host with the same privileges, there's not much he can do because it's not root privileges as opposed to containers that run with root privileges.	projects/knowledge/interview/docker/122-give-one-example-of-rootless-containers-are-more-s.txt
docker-security/55c71d05485a	docker-security	easy	docker-security, security, fundamentals	Which of the following are Linux features that containers use?	Containers rely on three key Linux features: namespaces (isolate PID, network, mount, user, etc.), cgroups (limit CPU, memory, I/O resources), and SELinux/AppArmor (mandatory access control). Mnemonic: NSC — Namespaces (isolation), SELinux (access control), Cgroups (resource limits). Together they provide defense-in-depth.	projects/knowledge/interview/docker/089-which-of-the-following-are-linux-features-that-con.txt
docker-security/653eee5453e8	docker-security	medium	docker-security, capabilities	"Explain the use of the ""--cap-add"" and ""--cap-drop"" options in the ""docker run"" command."	• `--cap-add and --cap-drop:` Used to add or drop Linux capabilities in a container. Linux capabilities control the privileges of a process. \n```docker run --cap-add=NET_ADMIN my_image``` \nIn this example, the NET_ADMIN capability is added to the container, providing it with the ability to perform network-related tasks. Conversely, --cap-drop is used to drop specific capabilities. projects/knowledge/interview/docker/175-explain-the-use-of-the-cap-add-and-cap-drop-option.txt	
docker-security/68576cea725f	docker-security	hard	docker-security, kernel-security	What Linux kernel features does containers use?	* cgroups (Control Groups): used for limiting the amount of resources a certain groups of processes (and their children of course) use. This way, a group of processes isn't consuming all host resources and other groups can run and use part of the resources as well\n\n* namespaces: same as cgroups, namespaces isolate some of the system resources so it's available only for processes in the namespace. Differently from cgroups the focus with namespaces is on resources like mount points, IPC, network, ...	projects/knowledge/interview/docker/086-what-linux-kernel-features-does-containers-use.txt
docker-security/75162a5f3ece	docker-security	medium	docker-security, rootless	Are there disadvantages in running rootless containers?	Yes, the full list can be found [here](https://github.com/containers/podman/blob/main/rootless.md).\n\nSome worth to mention:\n\n  - No binding to ports smaller than 1024\n  - No images sharing CRI-O or other rootful users\n  - No support running on NFS or parallel filesystem homerdirs\n  - Some commands don't work (mount, podman stats, checkpoint, restore, ...)	projects/knowledge/interview/docker/121-are-there-disadvantages-in-running-rootless-contai.txt
docker-security/80fe53eae0b8	docker-security	medium	docker-security, best-practices	What security best practices are there regarding containers?	* Install only the necessary packages in the container\n  * Don't run containers as root when possible\n  * Don't mount the Docker daemon unix socket into any of the containers\n  * Set volumes and container's filesystem to read only\n  * DO NOT run containers with `--privileged` flag	projects/knowledge/interview/docker/114-what-security-best-practices-are-there-regarding-c.txt
docker-security/8371998867da	docker-security	medium	docker-security, security, fundamentals	True or False? It's recommended for production environments that Docker client and server will communicate over network using HTTP socket	False. Communication between client and server shouldn't be done over HTTP since it's insecure. It's better to enforce the daemon to only accept network connection that are secured with TLS. \nBasically, the Docker daemon will only accept secured connections with certificates from trusted CA.\n\nGotcha: exposing the Docker socket (TCP 2375 unencrypted or 2376 TLS) over the network without TLS gives anyone full root access to the host. The Docker socket is equivalent to root.\n\nRemember: Docker socket = root access. Never expose /var/run/docker.sock to untrusted containers or over unencrypted HTTP.	projects/knowledge/interview/docker/117-true-or-false-its-recommended-for-production-envir.txt
docker-security/9050d79f8ea7	docker-security	medium	docker-security, content-trust	What is Docker Content Trust, and how does it enhance security?	Docker Content Trust (DCT) is a security feature that uses digital signatures to verify the authenticity and integrity of container images. When enabled, DCT ensures that only signed and verified images can be pulled and run on a Docker host. \nTo enable Docker Content Trust globally:\n```export DOCKER_CONTENT_TRUST=1``` \nDCT enhances security by:\n* Verifying the integrity of images to prevent tampering.\n* Ensuring images are signed by trusted publishers.\n* Mitigating the risk of using compromised or malicious images.	projects/knowledge/interview/docker/177-what-is-docker-content-trust-and-how-does-it-enhan.txt
docker-security/bc87e84bd075	docker-security	hard	docker-security, namespaces, user-namespaces	How do you enable and configure user namespaces in Docker?	"User namespaces in Docker provide a way to map container user IDs to non-privileged host user IDs. To enable user namespaces: \n**Edit the Docker daemon configuration file (typically /etc/docker/daemon.json):**\n```\n{\n ""userns-remap"": ""default""\n}\n```\n**Restart the Docker daemon:**\n```\nsystemctl restart docker\n```\nThis configuration sets up user namespace remapping with the default user. You can customize the mapping by specifying a different user or using custom UID/GID ranges."	projects/knowledge/interview/docker/178-how-do-you-enable-and-configure-user-namespaces-in.txt
docker-security/c6483c373ee8	docker-security	hard	docker-security, namespaces, cgroups	Describe difference between cgroups and namespaces	cgroup: Control Groups provide a mechanism for aggregating/partitioning sets of tasks, and all their future children, into hierarchical groups with specialized behavior.\nnamespace: wraps a global system resource in an abstraction that makes it appear to the processes within the namespace that they have their own isolated instance of the global resource.\n\nIn short:\n\nCgroups = limits how much you can use;\nnamespaces = limits what you can see (and therefore use)\n\nCgroups involve resource metering and limiting:\nmemory\nCPU\nblock I/O\nnetwork\n\nNamespaces provide processes with their own view of the system\n\nMultiple namespaces: pid,net, mnt, uts, ipc, user	projects/knowledge/interview/docker/088-describe-difference-between-cgroups-and-namespaces.txt
docker-security/dc88cfc8e9f5	docker-security	medium	docker-security, resource-limits	How do you restrict the resources a container can use?	You can restrict the resources a container can use by using the --cpus and --memory options in the docker run command.\n* `--cpus:` Specifies the number of CPUs that a container can use. \n```docker run --cpus 2 my_image```\n* `--memory:` Limits the amount of memory that a container can use. \n```docker run --memory 512m my_image``` \nThese options allow you to control the CPU and memory resources allocated to a container.	projects/knowledge/interview/docker/174-how-do-you-restrict-the-resources-a-container-can-.txt
docker-security/e1c23a4e85be	docker-security	medium	docker-security, secrets	Explain the purpose of Docker secrets and how they are managed.	"Docker secrets are used to securely manage sensitive information, such as passwords or API keys, in a Docker Swarm environment. Secrets are encrypted during transit and at rest. \n**Create a secret:**\n```echo ""my_secret_value"" | docker secret create my_secret_name -``` \n**Use the secret in a service or container:**\n```docker service create --secret my_secret_name my_image``` \nSecrets are mounted as files in the /run/secrets/ directory within containers, allowing applications to access the sensitive information."	projects/knowledge/interview/docker/179-explain-the-purpose-of-docker-secrets-and-how-they.txt
docker-security/fa5f6b38a471	docker-security	medium	docker-security, rootless	When running a container, usually a layered file system is created, but it requires root privileges. How is it then managed in rootless containers?	New drivers were created to allow creating filesystems in a user namespaces. Drivers like the FUSE-OverlayFS.\n\nUnder the hood: FUSE-OverlayFS runs in userspace, allowing layer construction without kernel privileges. It's slower than native overlay2 but enables rootless operation.\n\nFun fact: kernel 5.11+ supports native overlay with user namespaces, eliminating the need for FUSE-OverlayFS. Rootless performance matches rootful on modern kernels.	projects/knowledge/interview/docker/124-when-running-a-container-usually-a-layered-file-sy.txt
docker-security/fbddaae00ada	docker-security	hard	docker-security, best-practices	What are Docker security best practices?	Docker security best practices:\n\n- **Use official/verified images**: Minimize supply chain risk\n- **Run as non-root**: Use USER directive in Dockerfile\n- **Minimize image size**: Use multi-stage builds, slim base images. Fewer packages = smaller attack surface\n- **Scan for vulnerabilities**: Use `docker scout`, Trivy, or Snyk in CI\n- **Don't store secrets in images**: Use runtime secrets (Docker secrets, env vars, vault)\n- **Read-only filesystem**: `--read-only` flag where possible\n- **Limit capabilities**: Drop all caps, add only what's needed (`--cap-drop ALL --cap-add NET_BIND_SERVICE`)\n- **Use content trust**: `DOCKER_CONTENT_TRUST=1` to verify image signatures	projects/knowledge/interview/docker/173-what-are-docker-security-best-practices.txt
docker-security/z1a2b3c4d5e6	docker-security	easy	docker-security, namespaces	Name the seven Linux namespace types used by containers.	pid (process tree), mnt (mount table), net (network stack), uts (hostname), ipc (interprocess communication), user (UID/GID mapping), cgroup (cgroup view).\n\nRemember: PID-MNT-NET-UTS-IPC-USER-CGROUP — "Please Make Networks Useful In Unusual Conditions."	zines/how.containers.work.cleaned.notes
docker-security/z2b3c4d5e6f7	docker-security	easy	docker-security, cgroups	What happens to a container without cgroup memory limits on a shared host?	It can consume all available host memory, starving other containers and the host itself. Cgroups enforce memory limits so one container cannot exhaust the machine.\n\nGotcha: without limits, one container's memory leak triggers kernel OOM killer — may kill ANY host process.	zines/how.containers.work.cleaned.notes
docker-security/z3c4d5e6f7a8	docker-security	easy	docker-security, capabilities	What are Linux capabilities and why do containers drop them?	Capabilities break root privileges into granular permissions (e.g., CAP_NET_ADMIN, CAP_SYS_ADMIN). Containers drop unnecessary capabilities to limit what a process can do even if it runs as root inside the container.\n\nExample: --cap-drop ALL --cap-add NET_BIND_SERVICE = minimal capabilities for web servers.	zines/how.containers.work.cleaned.notes
docker-security/z4d5e6f7a8b9	docker-security	medium	docker-security, security, fundamentals	Why does running as PID 1 inside a container change signal handling behavior?	PID 1 has special kernel treatment: it does not receive default signal handlers. A regular program running as PID 1 may not respond to SIGTERM unless it explicitly handles it. This is why init systems or tini are sometimes used.	zines/how.containers.work.cleaned.notes
docker-security/z8b9c0d1e2f3	docker-security	easy	docker-security, namespaces	How do you inspect which namespaces exist on a Linux host?	Use lsns to list all namespaces with their type, owning PID, and command. Also check /proc/<pid>/ns/ for per-process namespace membership.\n\nExample: lsns -t net lists all network namespaces. ls -la /proc/1/ns/ shows which namespaces PID 1 belongs to.\n\nDebug clue: nsenter -t <pid> -n ip addr lets you enter a container's network namespace and inspect its interfaces from the host.	zines/how.containers.work.cleaned.notes
docker-security/z9c0d1e2f3a4	docker-security	medium	docker-security, security, fundamentals	Why is running as root inside a container not the same as being safe?	Root inside a container still has kernel-level privileges unless capabilities are dropped and user namespaces are configured. A kernel exploit or misconfigured mount can allow container escape to host root.\n\nWar story: CVE-2019-5736 (runc container escape) allowed a malicious container running as root to overwrite the host runc binary and gain host root access. Defense: run as non-root, use user namespaces.\n\nRemember: 'Root in container = root on host' unless user namespaces remap UIDs. Always drop capabilities with --cap-drop ALL.	zines/how.containers.work.cleaned.notes
docker-security/zad1e2f3a4b5	docker-security	medium	docker-security, cgroups	How do you check which cgroup limits are active for a containerized process?	Read /proc/self/cgroup from inside the container, or inspect the cgroup filesystem (usually /sys/fs/cgroup/) for the container's cgroup path. Docker/podman inspect also shows resource limits.\n\nExample: cat /sys/fs/cgroup/memory/memory.limit_in_bytes (cgroup v1) or cat /sys/fs/cgroup/memory.max (cgroup v2) shows the memory limit.\n\nRemember: cgroup v1 uses per-controller hierarchies (/sys/fs/cgroup/memory/, /sys/fs/cgroup/cpu/). cgroup v2 uses a unified hierarchy (/sys/fs/cgroup/). RHEL 9+ and Ubuntu 22.04+ default to v2.	zines/how.containers.work.cleaned.notes

<!-- wiki:related:start -->
---

## Wiki Navigation

### Related Content

- [Containers Deep Dive](../../../../library/topics/containers-deep-dive/index.md) (Topic Pack, L1) — Containers Deep Dive
- Docker Storage Flashcards *(CLI)* (flashcard_deck, L1) — Containers Deep Dive

<!-- wiki:related:end -->
