---
tags:
- devops
- l1
- flashcard-deck
- message-queues
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Message Queues](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
message-queues/ec1af2ba1bff	message-queues	easy	rabbitmq, kafka, fundamentals	What is the fundamental difference between a traditional message queue (RabbitMQ) and a log-based broker (Kafka)?	Traditional queues delete messages after consumption — designed for task distribution to a single consumer. Log-based brokers retain messages as an immutable log — designed for event streaming where multiple independent consumer groups replay at their own pace.\n\nRemember: RabbitMQ: AMQP. Exchange→Binding→Queue→Consumer. Ports: 5672, 15672(mgmt).	training/library/topics/message-queues/primer.md
message-queues/d34fe9ea9ed8	message-queues	easy	delivery-semantics	What does at-least-once delivery mean in a message queue context?	The broker guarantees a message is delivered one or more times. The consumer must explicitly acknowledge success before the broker discards the message. If the consumer crashes before acking, the message is redelivered — so duplicates are possible. Consumers must be idempotent.\n\nRemember: At-most-once(lose), At-least-once(dupe), Exactly-once(hard). "Most=lose, Least=dupe."	training/library/topics/message-queues/primer.md
message-queues/7d688e94da44	message-queues	easy	rabbitmq, exchanges	What are the four RabbitMQ exchange types?	Direct (route by exact routing key), Fanout (broadcast to all bound queues), Topic (wildcard pattern matching on routing key), Headers (route by message header attributes). Direct and Topic are most commonly used in production.\n\nRemember: RabbitMQ: AMQP. Exchange→Binding→Queue→Consumer. Ports: 5672, 15672(mgmt).	training/library/topics/message-queues/primer.md
message-queues/5170c177048a	message-queues	easy	kafka, fundamentals	What is a Kafka consumer group?	A set of consumer instances that cooperate to consume a topic. Kafka assigns each partition to exactly one consumer in the group at a time, distributing load. Multiple independent groups can each consume the full topic at their own pace.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/primer.md
message-queues/3bf6f0bda028	message-queues	easy	kafka, partitions	What is the hard limit on Kafka consumer group parallelism?	The partition count of the topic. You cannot have more active consumers in a group than partitions — extra consumers sit idle. To scale beyond current limits you must increase the partition count.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/primer.md
message-queues/8c03781a35fa	message-queues	easy	rabbitmq, dlq	What is a dead-letter queue (DLQ) and why is it essential?	A DLQ is a holding queue for messages that cannot be processed successfully. Without a DLQ, a poison message either loops forever (blocking the queue) or is silently dropped. A DLQ preserves failed messages for investigation and replay.\n\nRemember: DLQ = where failed messages go. Essential for debugging and retry.	training/library/topics/message-queues/footguns.md
message-queues/91534f7612d9	message-queues	easy	rabbitmq, prefetch	What does basic.qos prefetch_count control in RabbitMQ?	It limits how many unacknowledged messages the broker will push to a consumer at once. Without prefetch, the broker can saturate a single consumer with the entire queue backlog. Prefetch is required for fair work distribution and backpressure.\n\nRemember: RabbitMQ: AMQP. Exchange→Binding→Queue→Consumer. Ports: 5672, 15672(mgmt).	training/library/topics/message-queues/primer.md
message-queues/9157ff404aa0	message-queues	easy	kafka, monitoring	What does consumer lag measure in Kafka?	The difference between the log-end offset (latest message produced) and the current-offset (position the consumer group has committed). Lag = LOG-END-OFFSET minus CURRENT-OFFSET. A growing lag means the consumer is falling behind production rate.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/primer.md
message-queues/7a0e9b1e6dc5	message-queues	easy	messaging, patterns	What three core problems do message queues solve?	Decoupling (producers and consumers are independent, failures do not cascade), async processing (long work is handed off and the caller returns immediately), and load leveling (absorb traffic spikes and drain at a sustainable rate).\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/primer.md
message-queues/0f03ebe1f543	message-queues	medium	delivery-semantics, kafka	How is exactly-once delivery achieved in Kafka and what is the cost?	Idempotent producers (enable.idempotence=true) prevent producer-side duplicates. Transactional APIs (transactional.id) wrap read-process-write in a transaction. Both require matching consumer config (isolation.level=read_committed). Cost: ~20% throughput reduction and careful configuration. Exactly-once is not free — use at-least-once + idempotent consumers when possible.\n\nRemember: At-most-once(lose), At-least-once(dupe), Exactly-once(hard). "Most=lose, Least=dupe."	training/library/topics/message-queues/primer.md
message-queues/ab937ce19e1e	message-queues	medium	kafka, rebalancing	What triggers a Kafka consumer group rebalance and why is it disruptive?	Rebalance is triggered when a consumer joins, leaves, or is considered dead (exceeds max.poll.interval.ms or session.timeout.ms). Disruptive because all consumers in the group pause consumption while the group coordinator reassigns partitions. This causes lag spikes. Incremental cooperative rebalancing (Kafka 2.4+) mitigates this by only pausing reassigned partitions.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/street_ops.md
message-queues/d027417d6bff	message-queues	medium	messaging, patterns	What is the outbox pattern and what problem does it solve?	It solves the dual-write problem: how to atomically update a database and publish an event. Solution: in the same DB transaction as the business logic, write the event to an outbox table. A separate relay process reads the outbox and publishes to the broker. Uses CDC (Debezium) or polling. Eliminates the race condition between DB commit and broker publish.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/primer.md
message-queues/a2270cba4427	message-queues	medium	rabbitmq, clustering	What is the difference between classic mirrored queues and quorum queues in RabbitMQ?	Classic mirrored queues replicate to all nodes synchronously — high write amplification, deprecated in 3.9. Quorum queues use Raft-based replication requiring a majority quorum (2 of 3, 3 of 5 nodes) for writes. Quorum queues have better durability guarantees and perform more predictably under failures. Use quorum queues for all production queues.\n\nRemember: RabbitMQ: AMQP. Exchange→Binding→Queue→Consumer. Ports: 5672, 15672(mgmt).	training/library/topics/message-queues/primer.md
message-queues/7779ec264de8	message-queues	medium	kafka, log-compaction	What is Kafka log compaction and when should you use it?	Log compaction retains only the latest value per key in a partition, discarding older records with the same key. Tombstones (null value) mark deletions. Use it for changelog streams where only current state matters: user profiles, config changes, inventory levels. Consumers can bootstrap state by replaying the compacted log. Set cleanup.policy=compact.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/primer.md
message-queues/7d4c8cb3dc7d	message-queues	medium	kafka, partitions	What is partition skew and how do you detect and fix it?	Partition skew is when some partitions receive far more messages than others due to a low-cardinality or hot partition key. Detection: compare per-partition lag and offsets — one partition with millions of messages, others near zero. Fix: choose a higher-cardinality key, add random suffix to hot keys, or use null key (round-robin) accepting loss of ordering guarantees.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/street_ops.md
message-queues/c3f7d1283d77	message-queues	medium	rabbitmq, dlq	What three conditions cause a message to be sent to a RabbitMQ dead-letter exchange?	Consumer nacks the message with requeue=false, the message TTL expires, or the queue length limit (x-max-length) is exceeded. The dead-letter exchange routes the message to the DLQ with the original routing key and death reason in the headers.\n\nRemember: RabbitMQ: AMQP. Exchange→Binding→Queue→Consumer. Ports: 5672, 15672(mgmt).	training/library/topics/message-queues/primer.md
message-queues/a58dc1934c3c	message-queues	medium	kafka, producers	What does acks=all mean in Kafka producer configuration and why is it important?	The producer waits for acknowledgment from all in-sync replicas (ISR) before considering the write successful. This is the maximum durability guarantee — no data loss even if the leader fails immediately after ack. Without acks=all (e.g., acks=1), a leader failure after ack but before replication causes silent data loss. Always use acks=all combined with enable.idempotence=true for important topics.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/footguns.md
message-queues/358cc0b022eb	message-queues	medium	messaging, idempotency	What are three practical strategies for making a message consumer idempotent?	1. Idempotency table: store processed message IDs in the DB in the same transaction as business logic. 2. Conditional update: UPDATE ... WHERE current_state = expected_pre_state — safe to run twice. 3. Redis SET NX EX: fast short-lived deduplication window for non-financial events. Choose based on durability requirements and acceptable dedup window.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/street_ops.md
message-queues/b92344f84708	message-queues	medium	kafka, consumer-groups	How do you prevent consumer group rebalance storms in Kafka?	Increase max.poll.interval.ms to exceed worst-case processing time. Reduce max.poll.records to stay under the interval. Use CooperativeStickyAssignor for incremental rebalancing. Set group.instance.id (static membership) to avoid rebalance on expected consumer restarts.\n\nRemember: Queues decouple services. Key choices: delivery guarantee, ordering, throughput.\n\nExample: RabbitMQ(flexible), Kafka(high throughput), SQS(managed), Redis Streams(light).	training/library/topics/message-queues/footguns.md
