---
tags:
- networking
- l1
- flashcard-deck
- tcp-ip
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [TCP/IP](../../../../library/portal/topics.md) | **Domain:** Networking
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
networking/01e16144f9aa	networking	easy	network, networking, tcp, udp	Which port is used for `ping` command?	`ping` uses **ICMP**, specifically **ICMP echo request** and **ICMP echo reply** packets. There is no 'port' associated with **ICMP**. Ports are associated with the two IP transport layer protocols, TCP and UDP. **ICMP**, TCP, and UDP are "siblings"; they are not based on each other, but are three separate protocols that run on top of IP.\n\n\nRemember: 22=SSH, 53=DNS, 80=HTTP, 443=HTTPS, 3306=MySQL, 5432=PG.	projects/knowledge/interview/networking/007-which-port-is-used-for-codepingcode-command.txt
networking/0729b883bd5c	networking	medium	network, networking, routing, tcp, tls	What is the difference between CORS and CSPs?	**CORS** allows the **Same Origin Policy** to be relaxed for a domain.\n\ne.g. normally if the user logs into both `example.com` and `example.org`, the Same Origin Policy prevents `example.com` from making an AJAX request to `example.org/current_user/full_user_details` and gaining access to the response.\n\n\nRemember: OSI helps debug: check L1(physical)→L7(app). Most issues: DNS, firewall, routing.\n\nGotcha: Network troubleshooting: check DNS, firewall, routing first — covers 90% of issues.	projects/knowledge/interview/networking/039-what-is-the-difference-between-cors-and-csps.txt
networking/0a7e26bce807	networking	hard	dns, network, networking, tcp, troubleshooting	What is the proper way to test NFS performance? Prepare a short checklist.	The best benchmark is always "the application(s) that you normally use". The load on a NFS system when you have 20 people simultaneously compiling a Linux kernel is completely different from a bunch of people logging in at the same time or the accounts uses as "home directories for the local web-server".\n\nBut we have some good tools for testing this.\n\n\nRemember: OSI helps debug: check L1(physical)→L7(app). Most issues: DNS, firewall, routing.\n\nGotcha: Network troubleshooting: check DNS, firewall, routing first — covers 90% of issues.	projects/knowledge/interview/networking/054-what-is-the-proper-way-to-test-nfs-performance-pre.txt
networking/113542b12823	networking	medium	firewall, network, networking, tcp, troubleshooting	What does a `tcpdump` do? How to capture only incoming traffic to your interface?	`tcpdump` is a most powerful and widely used command-line packets sniffer or package analyzer tool which is used to capture or filter TCP/IP packets that received or transferred over a network on a specific interface.\n\n\nRemember: OSI helps debug: check L1(physical)→L7(app). Most issues: DNS, firewall, routing.\n\nGotcha: Network troubleshooting: check DNS, firewall, routing first — covers 90% of issues.	projects/knowledge/interview/networking/041-what-does-a-codetcpdumpcode-do-how-to-capture-only.txt
networking/13e58f2b28b0	networking	easy	dns, networking	What is a DNS zone and how does it organize domain records?	A DNS zone is a logical container that holds all the DNS resource records for a specific domain name.\n\nRemember: A=IPv4, AAAA=IPv6, CNAME=alias, MX=mail, NS=nameserver, TXT=text.	projects/knowledge/interview/networking/087-what-is-a-dns-zone.txt
networking/152e54d7e1e3	networking	medium	dns, linux, networking, routing, tcp, troubleshooting	How do you debug network issues on Linux?	ip a, ip r, ip link, ss, tcpdump, dig, curl, logs. Start with connectivity and routes, then DNS, then firewall rules, then services.\n\nRemember: OSI helps debug: check L1(physical)→L7(app). Most issues: DNS, firewall, routing.\n\nGotcha: Network troubleshooting: check DNS, firewall, routing first — covers 90% of issues.	projects/knowledge/interview/networking/090-how-do-you-debug-network-issues-on-linux.txt
networking/196c8540c244	networking	hard	dns, network, networking	Create SPF records for your site to help control spam.	* Start with the SPF version, this part defines the record as SPF. An SPF record should always start with the version number v=spf1 (version 1) this tag defines the record as SPF. There used to be a second version of SPF (called: SenderID), but this was discontinued.\n\n\nRemember: OSI helps debug: check L1(physical)→L7(app). Most issues: DNS, firewall, routing.\n\nGotcha: Network troubleshooting: check DNS, firewall, routing first — covers 90% of issues.	projects/knowledge/interview/networking/042-create-spf-records-for-your-site-to-help-control-s.txt
networking/19a01f19345c	networking	easy	dns, network, networking, tcp	What is the difference between 127.0.0.1 and localhost?	Well, the most likely difference is that you still have to do an actual lookup of localhost somewhere.\n\nIf you use `127.0.0.1`, then (intelligent) software will just turn that directly into an IP address and use it. Some implementations of `gethostbyname` will detect the dotted format (and presumably the equivalent IPv6 format) and not do a lookup at all.\n\n\nRemember: OSI helps debug: check L1(physical)→L7(app). Most issues: DNS, firewall, routing.\n\nGotcha: Network troubleshooting: check DNS, firewall, routing first — covers 90% of issues.	projects/knowledge/interview/networking/006-what-is-the-difference-between-127001-and-localhos.txt
networking/19ae95e2bf21	networking	medium	network, networking, tcp	How do you kill program using e.g. 80 port in Linux?	To list any process listening to the port 80:\n\n```bash\n# with lsof\nlsof -i:80\n\n# with fuser\nfuser 80/tcp\n```\n\nTo kill any process listening to the port 80:\n\n```bash\nkill $(lsof -t -i:80)\n```\n\nor more violently:\n\n```bash\nkill -9 $(lsof -t -i:80)\n```\n\nor with `fuser` command:\n\n```bash\nfuser -k 80/tcp\n```\n\nRemember: 22=SSH, 53=DNS, 80=HTTP, 443=HTTPS, 3306=MySQL, 5432=PG.	projects/knowledge/interview/networking/032-how-do-you-kill-program-using-eg-80-port-in-linux.txt
networking/1a7e73fd5a22	networking	easy	network, networking, routing, switching	What is the smallest IPv4 subnet mask that can be applied to a network containing up to 30 devices?	Whether you have a standard `/24` VLAN for end users, a `/30` for point-to-point links, or something in between and subnet that must contain up to 30 devices works out to be a `/27` - or a subnet mask of `255.255.255.224`.\n\nRemember: /24=256, /16=65536, /8=16M. Formula: 2^(32-prefix).	projects/knowledge/interview/networking/020-what-is-the-smallest-ipv4-subnet-mask-that-can-be-.txt
