---
tags:
- cloud
- l1
- flashcard-deck
- aws-networking
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [AWS Networking](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-networking/0562ac7b9e5f	aws-networking	medium	aws, elb	"Explain ""health checks"" in the context of AWS ELB"	Health checks used by ELB to check whether EC2 instance(s) are properly working. \nIf health checks fail, ELB knows to not forward traffic to that specific EC2 instance where the health checks failed.\n\nRemember: ELB health checks: interval (how often), threshold (consecutive successes/failures), timeout (how long to wait). Unhealthy targets are removed from rotation until they recover.	projects/knowledge/interview/aws/181-explain-health-checks-in-the-context-of-aws-elb.txt
aws-networking/0fcc75823553	aws-networking	medium	aws, elb	True or False? AWS ELB health checks are done on a port and a route	True.\n\nFor example, port `2017` and endpoint `/health`.\n\nRemember: ELB health checks: interval (how often), threshold (consecutive successes/failures), timeout (how long to wait). Unhealthy targets are removed from rotation until they recover.	projects/knowledge/interview/aws/182-true-or-false-aws-elb-health-checks-are-done-on-a-.txt
aws-networking/10324e876851	aws-networking	medium	aws, nacl, security-group, subnet	Explain the significance of Security Groups and NACLs in AWS.	Security Groups: Act as virtual firewalls for EC2 instances to control inbound and outbound traffic. They're stateful and evaluate traffic rules at the instance level.\nNetwork Access Control Lists (NACLs): They're an additional layer of security, acting as a firewall for controlling traffic in and out of subnets. NACLs are stateless and work at the subnet level.\n\nRemember: NACLs are stateless (rules for inbound AND outbound needed), evaluated by rule number (lowest first), allow AND deny rules. Security groups are stateful, allow-only.\n\nRemember: SG = stateful allow-only (return traffic auto-allowed). NACL = stateless allow+deny (must explicitly allow return traffic). SG at instance level, NACL at subnet level.	projects/knowledge/interview/aws/421-explain-the-significance-of-security-groups-and-na.txt
aws-networking/107d39b9b693	aws-networking	easy	aws, elb, route53	What is AWS Route 53 and what DNS capabilities does it provide?	"[AWS Route 53](https://aws.amazon.com/route53): ""Amazon Route 53 is a highly available and scalable cloud Domain Name System (DNS) web service...""\n\nSome of Route 53 features:\n  * Register domains\n  * DNS service - domain name translations\n  * Health checks - verify your app is available\n  * Not a feature but its SLA is 100% availability\n\nRemember: Route 53 = AWS DNS. Supports A, AAAA, CNAME, MX, TXT, and alias records. Routing policies: Simple, Weighted, Latency, Failover, Geolocation.\n\nName origin: port 53 is the DNS port. Route 53 = DNS routing on port 53."	projects/knowledge/interview/aws/301-what-is-route-53.txt
aws-networking/122a731f7a85	aws-networking	hard	aws, route53	Explain the geoproximity routing policy	* Route based on the geographic location of resources\n* Shifting routing is done based on the `bias` value\n* Resources can be of AWS and non-AWS type\n    * For non-AWS you have to specify latitude and longitude in addition to AWS region as done in AWS-based resources\n* To use it, you have to use Route 53 traffic flow\n\nRemember: geolocation routes by user location (continent/country). Geoproximity routes by resource location with adjustable bias to shift traffic between regions.	projects/knowledge/interview/aws/315-explain-the-geoproximity-routing-policy.txt
aws-networking/15e6458b7eb9	aws-networking	medium	aws, security-group	You get time out when trying reach your application which runs on an EC2 instance. Specify one reason why it would possibly happen	Security group isn't configured properly.\n\nGotcha: AWS networking issues are almost always security group or route table misconfigurations. Check these first before investigating application-level problems.\n\nRemember: AWS networking debug flow: Security Group -> NACL -> Route Table -> IGW/NAT -> DNS resolution. Work from most specific to broadest.	projects/knowledge/interview/aws/076-you-get-time-out-when-trying-reach-your-applicatio.txt
aws-networking/15e64f2cdf05	aws-networking	medium	aws, elb	At what network level/layer a Network Load Balancer operates?	Layer 4 (Transport). NLB routes TCP/UDP connections based on IP and port, offering ultra-low latency and millions of requests per second — but no HTTP-level inspection.\n\nRemember: ALB = Layer 7 (HTTP/HTTPS, path/host routing). NLB = Layer 4 (TCP/UDP, ultra-low latency). CLB = legacy, avoid for new deployments.	projects/knowledge/interview/aws/200-at-what-network-levellayer-a-network-load-balancer.txt
aws-networking/15f002b73e96	aws-networking	medium	aws, elastic-ip, elb, route53	What are the best practices around Elastic IP?	The best practice is actually not using them in the first place. It's more common to use a load balancer without a public IP or use a random public IP and register a DNS record to it\n\nRemember: EIP = static public IPv4 address. Free when attached to a running instance. Charges apply when unattached (to discourage hoarding).	projects/knowledge/interview/aws/115-what-are-the-best-practices-around-elastic-ip.txt
aws-networking/1ea90cfacbac	aws-networking	hard	aws, elb	You are running an ALB that routes traffic using two hostnames: a.b.com and d.e.com. Is it possible to configure HTTPS for both of the hostnames?	Yes, using SNI (Server Name Indication) each application can has its own SSL certificate (This is supported from 2017).\n\nRemember: ALB = Layer 7 (HTTP/HTTPS, path/host routing). NLB = Layer 4 (TCP/UDP, ultra-low latency). CLB = legacy, avoid for new deployments.	projects/knowledge/interview/aws/393-you-are-running-an-alb-that-routes-traffic-using-t.txt
aws-networking/2238736954a0	aws-networking	hard	aws, privatelink, vpc	What is AWS Private Link ?	Allows secure connectivity between VPCs and supported AWS services without traversing the internet.\n\nRemember: AWS networking troubleshooting flow: VPC Flow Logs show allowed/denied traffic. Reachability Analyzer tests paths. Security groups and NACLs are the most common culprits.	projects/knowledge/interview/aws/456-what-is-aws-private-link.txt
