---
tags:
- networking
- l1
- flashcard-deck
- dns
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [DNS](../../../../library/portal/topics.md) | **Domain:** Networking
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
dns/a3b7c1d2e4f0	dns	easy	dns, records, A, AAAA	What happens when a client queries for an A record vs an AAAA record for the same hostname?	An A record returns an IPv4 address (e.g., 10.0.1.50), while an AAAA record returns an IPv6 address (e.g., 2001:db8::1). Both can exist for the same hostname, and the client's network stack or application decides which to use (dual-stack).	training/library/topics/dns-ops/primer.md
dns/b4c8d2e5f1a3	dns	easy	dns, records, CNAME	What happens when you create a CNAME record at the zone apex (e.g., example.com)?	It violates the DNS RFC and is illegal. A CNAME at the zone apex conflicts with the mandatory SOA and NS records that must also exist there. Use ALIAS, ANAME, or A records instead if your DNS provider supports them.	training/library/topics/dns-ops/primer.md
dns/c5d9e3f6a2b4	dns	easy	dns, resolution, caching	What happens when a recursive resolver receives a query for a domain it has never seen before?	It walks the DNS hierarchy: first querying root servers (.) to find the TLD servers, then the TLD servers (e.g., .com) to find the authoritative nameservers, then the authoritative server for the final answer. Each response is cached per its TTL.	training/library/topics/dns-ops/primer.md
dns/d6eaf4a7b3c5	dns	easy	dns, records, MX	What happens when you send email to a domain that has no MX record?	The sending mail server falls back to the domain's A record as the delivery target (per RFC 5321). However, many modern mail systems treat missing MX records as suspicious, and email delivery may be unreliable or rejected by spam filters.	training/library/topics/dns-ops/primer.md
dns/e7fba5b8c4d6	dns	easy	dns, records, PTR	What happens when a mail server receives email from an IP address that has no PTR record?	Many receiving mail servers perform a reverse DNS lookup to verify the sender. A missing PTR record causes this check to fail, which often results in the email being rejected or marked as spam. PTR records are also used by SSH host verification and logging systems.	training/library/topics/dns-ops/primer.md
dns/f8acb6c9d5e7	dns	medium	dns, TTL, migration	What happens if you change a DNS record's IP address while the TTL is set to 86400 seconds?	Some clients and resolvers will continue using the old cached IP for up to 24 hours. The correct strategy is to lower the TTL to 60 seconds at least 48 hours before a planned migration, keep it low during the change, then raise it back to the normal value once the new IP is verified.	training/library/topics/dns-ops/primer.md
dns/a9bdc7dae6f8	dns	medium	dns, BIND, zone, SOA	What happens when you edit a BIND zone file but forget to increment the SOA serial number?	Secondary (slave) nameservers compare the serial to their cached copy. If the serial has not increased, they assume nothing changed and do not transfer the updated zone. The change only takes effect on the primary server, causing inconsistent DNS responses depending on which server a client queries.	training/library/topics/dns-ops/primer.md
dns/bacea8ebf7a9	dns	medium	dns, split-horizon	What happens when an internal client resolves a hostname in a split-horizon DNS setup but is connected from an unexpected network?	Split-horizon DNS uses BIND views with match-clients rules to serve different zone files based on the source IP. If a client connects from a network not matching the internal view (e.g., VPN misconfiguration), it falls through to the external view and receives the public IP instead of the private one, making internal services unreachable.	training/library/topics/dns-ops/primer.md
dns/cbdfb9fca8ba	dns	medium	dns, dig, debugging	What happens when you run "dig +trace" against a domain compared to a normal dig query?	A normal dig query asks your configured recursive resolver and returns the final answer. "dig +trace" bypasses the recursive resolver and performs iterative resolution from the root servers down, showing each delegation step. This reveals where in the chain a resolution problem occurs.	training/library/topics/dns-ops/primer.md
dns/dceacafdb9cb	dns	medium	dns, zone-transfer, security	What happens when a DNS server is configured with "allow-transfer { any; }" instead of restricting zone transfers?	Anyone on the internet can perform an AXFR query and download the entire zone file, exposing all hostnames, IP addresses, and internal network topology. Zone transfers should be restricted to secondary nameserver IPs only (e.g., allow-transfer { 10.0.1.11; }).	training/library/topics/dns-ops/primer.md
