concept	asset_type	path_or_ref
pod	quest	training/interactive/exercises/levels/level-01/k8s-pods/
pod	doc	training/library/guides/troubleshooting.md
pod	doc	training/kubectl-debugging-cheatsheet.md
pod	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
pod	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
deployment	quest	training/interactive/exercises/levels/level-02/k8s-deployments/
deployment	doc	training/library/guides/troubleshooting.md
deployment	doc	training/kubectl-debugging-cheatsheet.md
deployment	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
deployment	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
deployment	interview	training/interview-scenarios/01-deployment-stuck-progressing.md
service	quest	training/interactive/exercises/levels/level-06/k8s-ports/
service	quest	training/interactive/exercises/levels/level-21/k8s-service-selector/
service	doc	training/kubectl-debugging-cheatsheet.md
service	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
service	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
service	incident	training/interactive/incidents/scenarios/service-selector-mismatch.sh
service	incident	training/interactive/incidents/scenarios/service-port-mismatch.sh
readiness_probe	lab	training/interactive/runtime-labs/lab-runtime-01-rollout-probe-failure/
readiness_probe	runbook	training/library/runbooks/readiness_probe_failed.md
readiness_probe	incident	training/interactive/incidents/scenarios/readiness-probe-wrong-path.sh
readiness_probe	chaos	training/interactive/chaos/scripts/break_readiness.sh
readiness_probe	investigation	training/library/runbooks/readiness_probe_failed.md
readiness_probe	interview	training/interview-scenarios/01-deployment-stuck-progressing.md
readiness_probe	quest	training/interactive/exercises/levels/level-13/k8s-readiness/
readiness_probe	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
liveness_probe	incident	training/interactive/incidents/scenarios/liveness-probe-too-aggressive.sh
liveness_probe	quest	training/interactive/exercises/levels/level-12/k8s-liveness/
liveness_probe	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
horizontal_pod_autoscaler	lab	training/interactive/runtime-labs/lab-runtime-02-hpa-live-scaling/
horizontal_pod_autoscaler	runbook	training/library/runbooks/hpa_not_scaling.md
horizontal_pod_autoscaler	incident	training/interactive/incidents/scenarios/hpa-not-scaling.sh
horizontal_pod_autoscaler	investigation	training/library/runbooks/hpa_not_scaling.md
horizontal_pod_autoscaler	interview	training/interview-scenarios/02-hpa-not-scaling.md
horizontal_pod_autoscaler	quest	training/interactive/exercises/levels/level-14/k8s-hpa/
horizontal_pod_autoscaler	doc	training/kubectl-debugging-cheatsheet.md
horizontal_pod_autoscaler	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
horizontal_pod_autoscaler	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
metrics_server	runbook	training/library/runbooks/hpa_not_scaling.md
metrics_server	interview	training/interview-scenarios/02-hpa-not-scaling.md
metrics_server	doc	training/library/guides/observability.md
resource_limits	lab	training/interactive/runtime-labs/lab-runtime-08-resource-limits-oom/
resource_limits	runbook	training/library/runbooks/oomkilled.md
resource_limits	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
resource_limits	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
resource_requests	runbook	training/library/runbooks/hpa_not_scaling.md
resource_requests	skillcheck	training/library/skillchecks/kubernetes.skillcheck.md
oomkilled	lab	training/interactive/runtime-labs/lab-runtime-08-resource-limits-oom/
oomkilled	runbook	training/library/runbooks/oomkilled.md
oomkilled	incident	training/interactive/incidents/scenarios/oomkill-low-memory.sh
oomkilled	investigation	training/library/runbooks/oomkilled.md
oomkilled	interview	training/interview-scenarios/08-pods-oomkilled.md
oomkilled	chaos	training/interactive/chaos/scripts/mem_stress.sh
oomkilled	cards	training/interactive/knowledge/data/cards/kubernetes.tsv
crashloopbackoff	runbook	training/library/runbooks/crashloopbackoff.md
