---
tags:
- devops
- l0
- flashcard-deck
- python-concepts
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L0: Entry](../../../../library/portal/levels.md) | **Topics:** [Python Automation](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
pyconcept/if-elif-else	python-concepts	easy	python, control-flow, keyword	if / elif / else	x = 10\nif x > 20:\n    print("big")\nelif x > 5:\n    print("medium")  # ← this runs\nelse:\n    print("small")\n\nConditions are evaluated top-to-bottom; first True branch wins. elif and else are optional.	concept-reference
pyconcept/for-loop	python-concepts	easy	python, control-flow, keyword	for loop	for name in ["alice", "bob", "carol"]:\n    print(name.upper())\n\nIterates over any iterable: lists, strings, dicts, files, generators, range().	concept-reference
pyconcept/while-loop	python-concepts	easy	python, control-flow, keyword	while loop	n = 5\nwhile n > 0:\n    print(n)\n    n -= 1\n\nRuns as long as the condition is True. Use break to exit early.	concept-reference
pyconcept/break	python-concepts	easy	python, control-flow, keyword	break	for n in range(100):\n    if n > 4:\n        break\n    print(n)  # prints 0 1 2 3 4\n\nExits the innermost loop immediately.	concept-reference
pyconcept/continue	python-concepts	easy	python, control-flow, keyword	continue	for n in range(5):\n    if n == 2:\n        continue\n    print(n)  # prints 0 1 3 4\n\nSkips the rest of the current iteration, jumps to the next one.	concept-reference
pyconcept/pass	python-concepts	easy	python, control-flow, keyword	pass	class NotYet:\n    pass  # placeholder — class body can't be empty\n\ndef todo():\n    pass  # same for functions\n\nDoes nothing. Used as a syntactic placeholder.	concept-reference
pyconcept/def	python-concepts	easy	python, functions, keyword	def (function definition)	def greet(name):\n    return f"hello, {name}"\n\nprint(greet("alice"))  # hello, alice\n\nFunctions are first-class objects — you can pass them, return them, store them.	concept-reference
pyconcept/lambda	python-concepts	easy	python, functions, keyword	lambda (anonymous function)	square = lambda x: x ** 2\nprint(square(5))  # 25\n\nsorted(["bob", "alice"], key=lambda s: len(s))\n# ['bob', 'alice']\n\nSingle-expression functions. No statements, no multi-line.	concept-reference
pyconcept/return	python-concepts	easy	python, functions, keyword	return	def add(a, b):\n    return a + b\n\nresult = add(3, 4)  # 7\n\nSends a value back to the caller and exits the function. Without return, function returns None.	concept-reference
pyconcept/yield	python-concepts	medium	python, functions, keyword	yield (generators)	def countdown(n):\n    while n > 0:\n        yield n\n        n -= 1\n\nfor x in countdown(3):\n    print(x)  # 3 2 1\n\nPauses the function and produces a value. Resumes on next iteration. Memory-efficient for large sequences.	concept-reference
pyconcept/class	python-concepts	easy	python, oop, keyword	class	class Dog:\n    def __init__(self, name):\n        self.name = name\n    def speak(self):\n        return f"{self.name} says woof"\n\nd = Dog("Rex")\nprint(d.speak())  # Rex says woof	concept-reference
pyconcept/self	python-concepts	easy	python, oop, keyword	self	class Counter:\n    def __init__(self):\n        self.count = 0\n    def inc(self):\n        self.count += 1\n\nself is the instance — it's how methods access the object's data. Not a keyword, but always the first parameter.	concept-reference
pyconcept/try-except	python-concepts	easy	python, error-handling, keyword	try / except	try:\n    x = int("not a number")\nexcept ValueError as e:\n    print(f"bad input: {e}")\n\nCatch specific exceptions. Avoid bare except: — always name the exception type.	concept-reference
pyconcept/try-finally	python-concepts	medium	python, error-handling, keyword	try / except / else / finally	try:\n    f = open("data.txt")\nexcept FileNotFoundError:\n    print("missing")\nelse:\n    print(f.read())  # runs only if no exception\nfinally:\n    print("always runs")  # cleanup goes here	concept-reference
pyconcept/raise	python-concepts	easy	python, error-handling, keyword	raise	def divide(a, b):\n    if b == 0:\n        raise ValueError("cannot divide by zero")\n    return a / b\n\nRaise an exception explicitly. raise without args re-raises the current exception in an except block.	concept-reference
pyconcept/assert	python-concepts	easy	python, error-handling, keyword	assert	def avg(nums):\n    assert len(nums) > 0, "empty list"\n    return sum(nums) / len(nums)\n\nRaises AssertionError if condition is False. Disabled with python -O. Use for sanity checks, not input validation.	concept-reference
pyconcept/with	python-concepts	easy	python, keyword, context-manager	with (context manager)	with open("file.txt") as f:\n    data = f.read()\n# f is automatically closed here\n\nGuarantees cleanup (close, unlock, etc.) even if an exception occurs. Calls __enter__ and __exit__ under the hood.	concept-reference
pyconcept/as	python-concepts	easy	python, keyword	as (aliasing)	import numpy as np          # module alias\nwith open("f") as fh:       # bind context manager result\nexcept KeyError as e:        # bind exception to name\n\nas binds a name in import, with, and except statements.	concept-reference
