---
tags:
- devops
- l1
- flashcard-deck
- http-protocol
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [HTTP Protocol](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
http-protocol/a1e2f3b4c5d6	http-protocol	easy	http,protocol,basics	What is HTTP and how does it enable web communication?	A request/response application protocol used by browsers, APIs, and many other systems for network communication. It is stateless — each request is independent with no built-in memory of previous requests. State is layered on top via cookies, sessions, or tokens. HTTP/1.1 introduced persistent connections; HTTP/2 added multiplexing; HTTP/3 uses QUIC over UDP.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/b2f3a4c5d6e7	http-protocol	easy	http,url,anatomy	What are the main parts of a URL?	Scheme (protocol), host, port, path, query string, and fragment. \nExample: https://example.com:443/path?x=1#frag. The port defaults to 80 for HTTP and 443 for HTTPS. The query string passes key-value parameters. The fragment (#frag) is client-side only and never sent to the server. URL-encoding (%20 for space) handles special characters.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/c3a4b5d6e7f8	http-protocol	medium	http,url,fragment	Which part of a URL is NOT sent to the server in an HTTP request?	The fragment (the part after #). It is handled entirely client-side for in-page navigation. The server never sees it, which means server-side logs will not contain fragment data. This is important for security — never put sensitive data in fragments assuming the server will process it. SPAs use fragments (or the History API) for client-side routing.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/d4b5c6e7f8a9	http-protocol	easy	http,request,structure	What are the components of an HTTP request?	Method (GET, POST, PUT, DELETE, etc.), path, HTTP version, headers (Host, Content-Type, Authorization, etc.), and an optional body. The Host header is mandatory in HTTP/1.1 — it enables virtual hosting (multiple sites on one IP). Headers carry metadata; the body carries payload data for methods like POST and PUT.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/e5c6d7f8a9b0	http-protocol	easy	http,status-codes,response	What do the HTTP status code classes mean?	2xx = success (200 OK, 201 Created, 204 No Content). 3xx = redirect (301 Moved Permanently, 302 Found). 4xx = client error (400 Bad Request, 401 Unauthorized, 403 Forbidden, 404 Not Found). 5xx = server error (500 Internal Server Error, 502 Bad Gateway, 503 Service Unavailable). Monitoring 5xx rate is a key SRE metric.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/f6d7e8a9b0c1	http-protocol	medium	http,methods,semantics	What is the difference between GET and POST?	GET requests a resource and should be safe and idempotent — no side effects, cacheable, bookmarkable. POST submits data for processing and may have side effects (create/update). GET parameters go in the URL query string (visible, limited size); POST data goes in the body (not visible in URL, no size limit). Browsers warn before resubmitting POST but not GET.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/a7e8f9b0c1d2	http-protocol	medium	http,cookies,state	What are HTTP cookies used for?	Storing scoped name/value data on the client that the browser automatically sends back with subsequent requests to the same domain. Used for sessions, preferences, and tracking. Set via Set-Cookie header in responses, sent via Cookie header in requests. Cookies have size limits (~4KB) and should not store sensitive data in plaintext.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/b8f9a0c1d2e3	http-protocol	medium	http,cookies,attributes	Name four important cookie attributes.	Secure (sent only over HTTPS — prevents interception), HttpOnly (inaccessible to JavaScript — mitigates XSS), SameSite (restricts cross-site sending — mitigates CSRF, values: Strict/Lax/None), and Expires/Max-Age (lifetime — session cookies expire when browser closes, persistent cookies at the set time). A production cookie should have all four configured.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/c9a0b1d2e3f4	http-protocol	hard	http,caching,headers	What are the key HTTP headers for caching?	Cache-Control (directives: max-age, no-cache, no-store, public/private), ETag (content hash for validation), Last-Modified (timestamp). Conditional requests use If-None-Match (ETag) and If-Modified-Since (timestamp) — server responds 304 Not Modified if content unchanged, saving bandwidth. \nGotcha: no-cache still caches but always revalidates; no-store truly prevents caching.	zines/http.learn.your.browser.s.language.cleaned.notes
http-protocol/d0b1c2e3f4a5	http-protocol	medium	http,redirect,location	What does the Location header in an HTTP response indicate?	It specifies the URL to redirect the client to. Used with 3xx status codes (301, 302, 307, 308). The browser automatically follows the redirect. \nGotcha: redirect chains (A->B->C->D) add latency — each hop is a full round trip. Too many redirects also cause "redirect loop" errors. Always set Location to the final canonical URL when possible.	zines/http.learn.your.browser.s.language.cleaned.notes
