---
tags:
- devops
- l1
- flashcard-deck
- postmortem-slo
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Postmortems & SLOs](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
devops/001368aa8db6	devops	easy	automation, ci-cd, devops	What is a git commit and what information does it store?	* In Git, a commit is a snapshot of your repo at a specific point in time.\n* The git commit command will save all staged changes, along with a brief description from the user, in a “commit” to the local repository.	projects/knowledge/interview/devops/010-what-is-a-commit.txt
devops/012c4e38a38d	devops	medium	devops, version-control	What are some practical implementations or practices of GitOp?	* Store Infra files in a version control repository (like Git)\n* Apply review/approval process for changes\n\nExample: ArgoCD and Flux watch Git repos and auto-sync cluster state. Terraform configs and Helm values stored in Git — every change goes through code review.	projects/knowledge/interview/devops/038-what-are-some-practical-implementations-or-practic.txt
devops/043edf42c7ef	devops	hard	automation, ci-cd, culture, devops	How does a web server work?	\n    \nWe can understand web servers using two view points, which is:\n    \n    (i) Hardware (ii) Software\n\n(i)   A web server is nothing but a remote computer which stores website's component files(HTML,CSS and Javascript files) and web server's software.A web server connects to\n      the Internet and supports physical data interchange with other devices connected to the web.\n	projects/knowledge/interview/devops/024-how-does-a-web-server-work.txt
devops/0d387569db58	devops	easy	ci-cd, devops, version-control	What is a merge in git and how does it combine branches?	* Merging is Git's way of putting a forked history back together again. The git merge command lets you take the independent lines of development created by git branch and integrate them into a single branch.	projects/knowledge/interview/devops/011-what-is-a-merge.txt
devops/1116bbe265d7	devops	hard	devops, incident-response, operations, reliability	When should you NOT fix a production issue immediately?	"When the fix has a larger blast radius than the problem, or when the cause is unclear.\n\nDon't fix when:\n\n1. During partial outage with unclear cause\n   - 10% of users affected\n   - Root cause unknown\n   - ""Fix"" might affect other 90%\n   - Worse: mask the real problem\n\n2. When fix has larger blast radius\n   - Problem: one microservice degraded"\n\nRemember: cure must not be worse than disease. 10% affected + risky fix hitting the other 90% = wait, gather evidence, coordinate.	projects/knowledge/interview/devops/104-when-not-to-fix.txt
devops/199cafce1175	devops	medium	architecture, devops	Explain stateless vs. stateful	Stateless applications don't store any data in the host which makes it ideal for horizontal scaling and microservices.\nStateful applications depend on the storage to save state and data, typically databases are stateful applications.\n\nExample: REST API = stateless. PostgreSQL = stateful. K8s uses Deployments for stateless, StatefulSets for stateful workloads.	projects/knowledge/interview/devops/022-explain-stateless-vs-stateful.txt
devops/1b0beac30e26	devops	medium	ci-cd, devops, jenkins, monitoring	How to add a new worker node in Jenkins ?	Log into the Jenkins master and navigate to Manage Jenkins > Manage Nodes > New Node. Enter a name for the new node and select Permanent Agent. Configure SSH and click on Launch.\n\nGotcha: ensure agent has Java and network access to Jenkins master. Test with curl http://jenkins:8080 before configuring.	projects/knowledge/interview/devops/058-how-to-add-a-new-worker-node-in-jenkins.txt
devops/2b98db61cea3	devops	easy	architecture, devops	What is caching? How does it work? Why is it important?	Caching is fast access to frequently used resources which are computationally expensive or IO intensive and do not change often. There can be several layers of cache that can start from CPU caches to distributed cache systems. Common ones are in memory caching and distributed caching. Caches are typically data structures that contains some data, such as a hashtable or dictionary.\n\nRemember: cache layers — CPU L1/L2 (ns), RAM/Memcached (us), Redis (ms), CDN (ms), Disk (ms). Each trades freshness for speed.	projects/knowledge/interview/devops/021-what-is-caching-how-does-it-work-why-is-it-importa.txt
devops/2bbc8112c51b	devops	easy	blameless, devops, incident-response	What is the core value often put forward when talking about postmortem?	Blamelessness. \nPostmortems need to be blameless and this value should be remided at the beginning of every postmortem. This is the best way to ensure that people are playing the game to find the root cause and not trying to hide their possible faults.	projects/knowledge/interview/devops/049-what-is-the-core-value-often-put-forward-when-talk.txt
devops/2f9bb3e3cdaa	devops	easy	automation, devops, version-control	What is a merge conflict?	* A merge conflict is an event that occurs when Git is unable to automatically resolve differences in code between two commits. When all the changes in the code occur on different lines or in different files, Git will successfully merge commits without your help.\n\nGotcha: conflicts happen when the SAME lines change in two branches. Git marks them with <<<<<<< / ======= / >>>>>>> markers.	projects/knowledge/interview/devops/012-what-is-a-merge-conflict.txt
