You created a firewall rule to allow port 443 but traffic is still blocked. What do you check?	1) Verify the rule targets the correct network and instances (check target tags or target service accounts). 2) Confirm the source range is correct (0.0.0.0/0 for public). 3) Check rule priority — a higher-priority deny rule may be winning. 4) Verify the instance's network tag matches the firewall rule's target tag.	gcp-troubleshooting easy gcp firewall networking
What is the difference between GCP firewall rules and routes, and how can confusing them cause connectivity issues?	Firewall rules filter traffic (allow/deny by protocol, port, source/target). Routes determine where traffic is forwarded (next hop). A route can send traffic to the correct destination, but a firewall rule can still block it. Always check both: 'gcloud compute routes list' and 'gcloud compute firewall-rules list'. The implied allow-egress and deny-ingress defaults also matter.	gcp-troubleshooting medium gcp firewall routes
Instances in a private subnet cannot reach the internet after setting up Cloud NAT. What do you troubleshoot?	1) Cloud NAT must be configured on the correct Cloud Router in the correct region. 2) The NAT must be mapped to the correct subnets (or set to all subnets). 3) Check that the route table has a default route (0.0.0.0/0) to the default internet gateway. 4) Cloud NAT only covers TCP, UDP, and ICMP. 5) Check NAT gateway logs in Cloud Logging for dropped connections or port exhaustion.	gcp-troubleshooting medium gcp cloud-nat networking
A pod in GKE is stuck in CrashLoopBackOff. What GCP-specific things do you check beyond standard Kubernetes debugging?	1) If the pod uses Workload Identity, verify the KSA-to-GSA binding and that the GSA has correct IAM roles. 2) Check if the node pool has sufficient resources (may need to check cluster autoscaler). 3) If pulling from Artifact Registry/GCR, verify the node service account has roles/artifactregistry.reader. 4) Check GKE-specific logs in Cloud Logging under k8s_container.	gcp-troubleshooting medium gcp gke pod troubleshooting
"A Cloud Storage upload fails with ""403 Access Denied"" even though the user has roles/storage.objectCreator. What could be wrong?"	1) roles/storage.objectCreator allows creating objects but NOT overwriting existing ones — you also need roles/storage.objectViewer or roles/storage.objectAdmin to overwrite. 2) A bucket-level IAM policy or ACL may deny the action. 3) VPC Service Controls may block access from outside the perimeter. 4) Uniform bucket-level access may conflict with legacy ACLs.	gcp-troubleshooting easy gcp storage permissions
A Cloud Monitoring alert is not firing even though the condition appears met. What do you investigate?	1) Check the alignment period and aggregation — the metric may be averaged over a window that hides spikes. 2) The alert may have a duration requirement (e.g., condition must be true for 5 minutes). 3) Verify the notification channel is correctly configured and verified. 4) Check if the alert policy is enabled. 5) Use Metrics Explorer to visualize the raw metric and compare it to the alert threshold.	gcp-troubleshooting medium gcp monitoring alerting
Messages published to a Pub/Sub topic are not being received by the subscriber. What do you check?	1) Verify the subscription exists and is attached to the correct topic. 2) Check the subscription type (pull vs push) — pull requires the subscriber to actively call pull. 3) For push subscriptions, verify the endpoint URL is reachable and returns 2xx. 4) Check the ackDeadline — messages not acknowledged are redelivered. 5) Look at the subscription's 'oldest_unacked_message_age' metric to see if messages are accumulating.	gcp-troubleshooting medium gcp pubsub troubleshooting
A Pub/Sub subscriber is receiving duplicate messages and messages out of order. What do you do?	1) Pub/Sub guarantees at-least-once delivery — duplicates are expected. Design the consumer to be idempotent. 2) For ordering, you must set an ordering key on publish AND enable message ordering on the subscription. 3) Even with ordering keys, different keys have no ordering guarantee between them. 4) Ensure the subscriber acks promptly — slow acks cause redelivery. 5) Consider exactly-once delivery (available for pull subscriptions with ack-with-id).	gcp-troubleshooting hard gcp pubsub ordering duplicates
A GCE instance starts but the application does not come up. How do you debug?	1) Check the serial port output: 'gcloud compute instances get-serial-port-output'. 2) Review the startup script logs at /var/log/syslog or /var/log/messages. 3) Use the Cloud Console's serial console for interactive debugging. 4) Check the metadata server for the startup script: 'curl -H Metadata-Flavor:Google metadata.google.internal/computeMetadata/v1/instance/attributes/startup-script'. 5) Verify the startup script exit code in Cloud Logging.	gcp-troubleshooting easy gcp instance startup troubleshooting
API calls from within a VPC Service Controls perimeter succeed, but the same calls from a different project fail with PERMISSION_DENIED. What do you troubleshoot?	1) The calling project must be inside the same service perimeter or connected via a service perimeter bridge. 2) Check access levels — an access level based on IP, identity, or device trust may be needed for the external project. 3) Check ingress/egress rules on the perimeter for the specific API and identity. 4) Review VPC-SC audit logs (resource.type='audited_resource') for violations that show the exact rule that blocked the call. 5) Use the VPC Service Controls troubleshooter in the console.	gcp-troubleshooting hard gcp vpc-service-controls troubleshooting
