id	category	tags	topic_text	trivia_fact	source
virtualization/t001	virtualization	ibm,history,1960s	IBM Pioneered Virtualization	IBM introduced virtualization in the 1960s with CP/CMS (Control Program/Cambridge Monitor System) on the System/360 Model 67. The idea was to give each user their own virtual machine so they could run different operating systems simultaneously on shared hardware.	ibm-archives
virtualization/t002	virtualization	vmware,founding,history	VMware's Founding	VMware was founded in 1998 by Diane Greene, Mendel Rosenblum, Scott Devine, Edward Bugnion, and Edouard Bugnion. Rosenblum's Stanford research on virtual machine monitors became VMware Workstation (1999), the first commercially successful x86 virtualization product.	vmware-history
virtualization/t003	virtualization	hypervisor,naming,etymology	Hypervisor Etymology	The term "hypervisor" comes from "supervisor" — the 1960s term for an operating system kernel. A hypervisor is "above the supervisor," managing multiple supervisor-level operating systems. IBM originally called it the "Virtual Machine Monitor" (VMM); the term hypervisor emerged in the 1970s.	ibm-archives
virtualization/t004	virtualization	xen,cambridge,research	Xen from Cambridge	The Xen hypervisor was created at the University of Cambridge Computer Laboratory by Ian Pratt and Keir Fraser, published in 2003. Amazon Web Services chose Xen as the foundation for EC2 when it launched in 2006, making Xen arguably the hypervisor that launched the cloud era.	xen-sosp-2003
virtualization/t005	virtualization	kvm,linux,kernel	KVM Turns Linux Into a Hypervisor	KVM (Kernel-based Virtual Machine), merged into Linux in 2007, turns the Linux kernel itself into a hypervisor by adding a loadable kernel module. This elegant approach reuses Linux's existing scheduler, memory management, and device drivers rather than reimplementing them in a separate hypervisor.	kvm.org
virtualization/t006	virtualization	vm,naming,1960s	Virtual Machine Term	The term "virtual machine" was coined at IBM in the late 1960s. The original meaning — a software-created replica of a physical machine — remains remarkably stable. The term was later borrowed for language-level VMs (Java Virtual Machine, 1995), creating occasional confusion between system VMs and process VMs.	ibm-archives
virtualization/t007	virtualization	containers,vms,debate	Containers vs VMs Debate	The containers vs VMs debate erupted around 2013-2014 when Docker popularized Linux containers. The key distinction: VMs virtualize hardware (each VM has its own kernel), while containers virtualize the OS (sharing the host kernel). In practice, most production environments use both — containers running inside VMs.	docker-vs-vm-discourse
virtualization/t008	virtualization	virtualbox,acquisitions,oracle	VirtualBox's Journey	VirtualBox was created by Innotek GmbH (Germany) in 2007, acquired by Sun Microsystems in 2008, then inherited by Oracle when Oracle acquired Sun in 2010. Despite Oracle's reputation for aggressive licensing, VirtualBox remains free and open source under GPLv2.	virtualbox.org
virtualization/t009	virtualization	paravirtualization,concept,performance	Paravirtualization	Paravirtualization, pioneered by Xen, modifies the guest OS to communicate directly with the hypervisor instead of emulating hardware. This dramatically improves performance but requires OS changes. Hardware-assisted virtualization (Intel VT-x, AMD-V) eventually made full virtualization fast enough to reduce paravirtualization's advantage.	xen-sosp-2003
virtualization/t010	virtualization	popek-goldberg,theory,requirements	Popek-Goldberg Theorem	Gerald Popek and Robert Goldberg published formal requirements for virtualizable architectures in 1974. The x86 architecture violated these requirements for decades (certain privileged instructions didn't trap properly), which is why x86 virtualization required binary translation tricks until Intel VT-x arrived in 2005.	popek-goldberg-1974
