id	category	tags	topic_text	trivia_fact	source
elasticsearch/t001	elasticsearch	origin,recipe,shay-banon	Built for Recipe Search	Shay Banon created the predecessor to Elasticsearch — called Compass — in 2004 as a recipe search engine for his wife, who was studying to be a chef. When he rewrote it from scratch in 2010, he named it Elasticsearch and open-sourced it immediately.	elastic.co/about
elasticsearch/t002	elasticsearch	lucene,foundation,java	Built on Apache Lucene	Elasticsearch is built on Apache Lucene, the Java search library created by Doug Cutting in 1999. Cutting later co-created Hadoop. Lucene provides the inverted index and text analysis engine; Elasticsearch adds distributed coordination, REST APIs, and JSON document storage on top.	lucene.apache.org
elasticsearch/t003	elasticsearch	naming,elastic,scaling	Why "Elastic"	The "Elastic" in Elasticsearch refers to its ability to scale horizontally by adding nodes — the cluster elastically grows and shrinks. Shay Banon chose the name to emphasize this distributed-first architecture, distinguishing it from single-node search solutions.	elastic.co
elasticsearch/t004	elasticsearch	elk-stack,naming,branding	ELK Stack Naming	The ELK stack (Elasticsearch, Logstash, Kibana) became the dominant open-source log analytics platform. The acronym emerged organically from the community — Elastic did not originally brand it. Elastic later rebranded it as the "Elastic Stack" when they added Beats (making it technically "BELK").	elastic.co/elk-stack
elasticsearch/t005	elasticsearch	ipo,2018,public	Elastic NV IPO	Elastic NV went public on the NYSE in October 2018 (ticker: ESTC), opening at $70 per share — 94% above its IPO price of $36. The company is incorporated in the Netherlands (hence "NV") despite being operationally headquartered in San Francisco.	NYSE
elasticsearch/t006	elasticsearch	license,sspl,controversy	License Controversy	In January 2021, Elastic changed Elasticsearch's license from Apache 2.0 to a dual SSPL/Elastic License, specifically to prevent AWS from offering it as a managed service without contributing back. This was one of the most contentious open-source license changes in history.	elastic.co/blog
elasticsearch/t007	elasticsearch	opensearch,amazon,fork	Amazon's OpenSearch Fork	When Elastic changed its license, Amazon forked the last Apache 2.0 version of Elasticsearch and Kibana, creating OpenSearch and OpenSearch Dashboards in April 2021. The fork sparked debates about who truly "owns" open-source projects and the sustainability of permissive licensing.	opensearch.org
elasticsearch/t008	elasticsearch	inverted-index,data-structure,search	Inverted Index Core	Elasticsearch's power comes from the inverted index: instead of mapping documents to words, it maps every word to the documents containing it. This data structure, also used by web search engines, makes full-text search nearly instantaneous regardless of corpus size.	Information Retrieval textbooks
elasticsearch/t009	elasticsearch	near-real-time,refresh,latency	Near-Real-Time Search	Elasticsearch is "near-real-time" rather than real-time: by default, new documents become searchable after a 1-second refresh interval. This design trades tiny latency for dramatically better indexing throughput. The refresh interval is configurable down to milliseconds for time-critical use cases.	elastic.co/docs
elasticsearch/t010	elasticsearch	schemaless,mapping,dynamic	Dynamic Mapping Flexibility	Elasticsearch can automatically detect and create field mappings when it encounters new JSON fields — called dynamic mapping. While convenient, this "schemaless" behavior is a common source of mapping explosion bugs where careless indexing creates thousands of unwanted fields.	elastic.co/docs
