---
tags:
- devops
- l1
- flashcard-deck
- prometheus-stack
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Prometheus Deep Dive](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
prometheus-stack/0fbc7addfab9	prometheus-stack	easy	prometheusstack, grafana, promql, metrics	What are templating variables in Grafana, and how are they used?	Templating variables in Grafana allow users to create dynamic and reusable dashboards. These variables can be used in metric queries, panel titles, and annotations. They enable users to switch between different values dynamically, making dashboards more interactive and adaptable. Templating variables can be defined based on query results or custom lists and are particularly useful for exploring and comparing different aspects of metrics data.	projects/knowledge/interview/prometheusstack/046-what-are-templating-variables-in-grafana-and-how-a.txt
prometheus-stack/167e6a0bf471	prometheus-stack	hard	prometheusstack, grafana, alertmanager	How does Tempo store trace data, and what advantages does this approach offer?	Tempo stores trace data in object storage, offering advantages such as:\n* Scalability: Object storage can handle large volumes of trace data, making it suitable for distributed and highly scalable environments.\n* Cost Efficiency: Cloud-based object storage solutions provide a cost-effective way to store and manage trace data.\n* Durability: Object storage ensures the durability and reliability of trace data over time.\n* Flexibility: By using a cloud-based storage backend, Tempo can leverage the features and scalability of popular object storage services.	projects/knowledge/interview/prometheusstack/061-how-does-tempo-store-trace-data-and-what-advantage.txt
prometheus-stack/18f81deeee11	prometheus-stack	medium	prometheusstack, promql, remote-write, metrics	Provide examples of PromQL queries used in Thanos Querier.	Examples of PromQL queries used in Thanos Querier may include:\n* Aggregating metrics from multiple Prometheus instances: sum(rate(http_requests_total{job="web"}[1h])) by (instance)\n* Filtering metrics based on labels: `http_requests_total{status="200"}`\n* Calculating quantiles for latency metrics: `histogram_quantile(0.95, rate(http_request_duration_seconds_bucket{job="api"}[5m]))`\n\nRemember: "Prometheus PULLS, apps EXPOSE." The pull model means Prometheus controls the scrape schedule and can detect when targets are down (scrape failures).	projects/knowledge/interview/prometheusstack/039-provide-examples-of-promql-queries-used-in-thanos-.txt
prometheus-stack/1cac9a46014d	prometheus-stack	hard	prometheusstack, grafana, promql	How does Tempo store and query trace data?	Tempo stores trace data in object storage, typically utilizing cloud-based storage solutions. Trace data is stored in an efficient, compacted format. The Query Frontend and Query Backend components provide an API for querying trace data. Users can execute queries to retrieve specific traces, spans, or aggregate data across various dimensions, allowing for powerful and flexible analysis of distributed systems.	projects/knowledge/interview/prometheusstack/058-how-does-tempo-store-and-query-trace-data.txt
prometheus-stack/213d0f2cf45b	prometheus-stack	easy	prometheusstack, promql, remote-write, metrics	What is the role of the Querier in a Thanos deployment?	The Querier in a Thanos deployment serves as a centralized component responsible for aggregating and deduplicating query results from multiple Thanos Stores. It enables users to execute queries that span across different Prometheus instances, providing a global view of metrics. The Querier plays a crucial role in creating a unified and scalable query layer in a distributed monitoring environment.	projects/knowledge/interview/prometheusstack/034-what-is-the-role-of-the-querier-in-a-thanos-deploy.txt
prometheus-stack/25b6db32eea0	prometheus-stack	hard	prometheusstack, alertmanager, grafana	How is alerting configured in Grafana, and what notification channels can be used?	Alerting in Grafana is configured by defining alert rules on individual panels. Notification channels, such as email, Slack, or others, are set up to receive alerts. The process involves:\n* Setting alert conditions in panel settings.\n* Configuring notification channels in Grafana.\n* Associating notification channels with specific alert rules.\n* Defining thresholds and criteria for triggering alerts.\n* Grafana then sends notifications to the configured channels when alert conditions are met.	projects/knowledge/interview/prometheusstack/054-how-is-alerting-configured-in-grafana-and-what-not.txt
prometheus-stack/27c36c173a2a	prometheus-stack	hard	prometheusstack, promql, metrics	Explain the difference between counters and gauges in Prometheus.	* Counter: Monotonically increases and resets to zero when the process restarts. It's used for cumulative metrics like the total number of requests.\n* Gauge: Represents a value that can go up or down and is suitable for metrics that can fluctuate, like current CPU usage.\n\nGotcha: High-cardinality labels (like user_id) explode the time series count and can OOM Prometheus. Rule of thumb: keep label combinations under 100K series.	projects/knowledge/interview/prometheusstack/011-explain-the-difference-between-counters-and-gauges.txt
prometheus-stack/28745c1d574d	prometheus-stack	medium	prometheusstack, promql, service-discovery, federation	Explain the role of Federation in achieving reliability in Prometheus.	Federation in Prometheus allows multiple Prometheus servers to scrape and aggregate metrics from each other. This enables a hierarchical and scalable monitoring system, contributing to reliability by distributing the monitoring load and creating a unified view of metrics across multiple instances.\n\nRemember: "rate() for counters, avg_over_time() for gauges." Using rate on a gauge or raw value of a counter is a common mistake.	projects/knowledge/interview/prometheusstack/015-explain-the-role-of-federation-in-achieving-reliab.txt
prometheus-stack/28f0cd82da72	prometheus-stack	medium	prometheusstack, promql, federation, remote-write	Describe the process of query federation in Thanos and how it differs from Prometheus Federation.	Query federation in Thanos involves the Thanos Querier aggregating and deduplicating data from multiple Thanos Stores, allowing users to execute queries that span across different Prometheus instances. While Prometheus Federation also federates queries, Thanos extends this capability globally, providing a unified and scalable approach for querying metrics across multiple clusters or regions.	projects/knowledge/interview/prometheusstack/032-describe-the-process-of-query-federation-in-thanos.txt
prometheus-stack/2c007349819f	prometheus-stack	hard	prometheusstack, alertmanager, grafana, promql	Explain the purpose of different types of panels available in Grafana.	Different types of panels in Grafana serve various visualization purposes:\n* Graph Panel: Displays time-series data as line or bar graphs.\n* Singlestat Panel: Shows a single aggregated value, useful for displaying summaries.\n* Table Panel: Presents data in tabular form.\n* Heatmap Panel: Visualizes data using a color gradient, suitable for matrix-style data.\n* Alert List Panel: Displays active alerts and their status.\n* Gauge Panel: Represents data as a gauge, useful for displaying percentages or ratios.\n* Pie Chart Panel: Shows data distribution in a circular chart.	projects/knowledge/interview/prometheusstack/051-explain-the-purpose-of-different-types-of-panels-a.txt
