---
tags:
- devops
- l2
- flashcard-deck
- aws-advanced
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L2: Practitioner](../../../../library/portal/levels.md) | **Topics:** [AWS Advanced](../../../../library/portal/topics.md) | **Domain:** Cloud & AWS
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-adv/983074a65cde	aws-adv	medium	aws, rds, ha, failover	How does RDS Multi-AZ failover work?	RDS Multi-AZ maintains a synchronous standby replica in a different AZ.\n\nFailover triggers: AZ outage, instance failure, OS patching, manual reboot with failover.\n\nProcess:\n1. DNS endpoint (CNAME) flips to standby (60-120 seconds)\n2. Standby promoted to primary\n3. Old primary becomes new standby when recovered\n\nConnection handling:\n- Existing connections are dropped — apps must reconnect\n- Use DNS caching TTL of 5s or less\n- Connection poolers should validate connections\n\nNot for read scaling — standby is not readable (use Read Replicas for that). Aurora Multi-AZ is faster (typically <30s) because it uses shared storage. The endpoint doesn't change — applications just need retry logic.	interview-qa-gap-analysis
aws-adv/66b69ec39f72	aws-adv	medium	aws, s3, lifecycle, storage-classes	Explain S3 lifecycle policies and transition timing	Lifecycle policies automate transitioning objects between storage classes or deleting them.\n\nTransition rules (minimum days from creation):\nS3 Standard -> S3 IA: 30 days minimum\nS3 Standard -> S3 Glacier IR: 90 days minimum\nS3 IA -> Glacier: 30 days after IA transition\nAny -> Glacier Deep Archive: 90 days minimum\n\nKey rules:\n- Minimum object size: 128KB for IA transitions (smaller objects stay in Standard)\n- Can't transition backwards (Glacier -> Standard requires restore)\n- Versioning: can target current/noncurrent versions separately\n- Expiration: delete objects after N days\n\nExample policy: Transition to IA at 30 days, Glacier at 90 days, delete at 365 days. Cost savings of 40-80% for infrequently accessed data.	interview-qa-gap-analysis
aws-adv/98e00bb4b4fd	aws-adv	medium	aws, cloudformation, iac, functions	What are CloudFormation intrinsic functions?	Built-in functions for dynamic value resolution in templates:\n\n!Ref LogicalName — returns resource ID or parameter value\n!GetAtt Resource.Attribute — get resource attribute (e.g., ARN, DNS name)\n!Sub 'Hello ${AWS::AccountId}' — string substitution\n!Join ['-', [a, b, c]] — join with delimiter: 'a-b-c'\n!Select [1, [a, b, c]] — pick index: 'b'\n!Split [',', 'a,b,c'] — split string into list\n!If [condition, true_val, false_val] — conditional\n!ImportValue ExportName — cross-stack references\n\nCommon pattern:\nBucketArn: !GetAtt MyBucket.Arn\nBucketUrl: !Sub 'https://${MyBucket}.s3.amazonaws.com'\n\nShort form (!) is YAML-specific. JSON uses { 'Fn::Ref': ... }. !Ref is the most commonly used function.	interview-qa-gap-analysis
aws-adv/f01641cdfb86	aws-adv	medium	aws, lambda, concurrency, serverless	Explain Lambda concurrency: reserved, provisioned, and burst	Lambda concurrency = number of simultaneous function executions.\n\nTypes:\n- Unreserved: shared pool (default 1000 per account per region)\n- Reserved: guaranteed concurrency for a function (subtracted from account pool)\n- Provisioned: pre-initialized instances (no cold starts, costs more)\n\nBurst behavior:\n- Initial burst: 500-3000 (region-dependent)\n- After burst: +500 concurrent executions per minute\n\nThrottling: returns 429 (sync) or retries (async, 2 attempts).\n\nCold start factors: runtime (Java worst, Python/Node best), VPC (adds ENI setup), package size. Provisioned concurrency eliminates cold starts but costs ~$0.015/GB-hour.\n\nBest practices: right-size reserved concurrency, use provisioned for latency-sensitive paths, set account-level concurrency limits to prevent runaway costs.	interview-qa-gap-analysis
aws-adv/07f55bb22517	aws-adv	hard	aws, dynamodb, indexes, nosql	What is the difference between DynamoDB GSI and LSI?	GSI (Global Secondary Index):\n- Different partition key AND/OR sort key from base table\n- Separate provisioned throughput (own RCU/WCU)\n- Eventually consistent reads only\n- Can be added/removed anytime\n- Limit: 20 per table\n\nLSI (Local Secondary Index):\n- Same partition key, different sort key\n- Shares base table throughput\n- Supports strongly consistent reads\n- Must be created at table creation time\n- Limit: 5 per table\n- 10GB partition limit (per partition key value)\n\nChoose GSI when: querying across partition keys, need flexible access patterns.\nChoose LSI when: same partition key with different sort orders, need strong consistency.\n\nGSI is more flexible and commonly used. LSI is a constraint — prefer GSI unless you specifically need strong consistency on the alternate sort key.	interview-qa-gap-analysis
aws-adv/7f75988be205	aws-adv	medium	aws, elb, alb, nlb, networking	ALB vs NLB: when to use which?	ALB (Application Load Balancer) — Layer 7 (HTTP/HTTPS):\n- Path/host/header-based routing\n- WebSocket support\n- Lambda targets\n- Authentication integration (OIDC, Cognito)\n- WAF integration\n- Slower (HTTP parsing overhead)\n- ~$0.023/hour + LCU charges\n\nNLB (Network Load Balancer) — Layer 4 (TCP/UDP/TLS):\n- Ultra-low latency (~100us vs ~400us for ALB)\n- Static IP / Elastic IP support\n- Preserves source IP by default\n- Millions of requests per second\n- TCP passthrough (no HTTP parsing)\n- PrivateLink support\n- ~$0.023/hour + NLCU charges\n\nUse ALB for: HTTP APIs, microservices, path-based routing, Lambda backends.\nUse NLB for: extreme performance, TCP/UDP protocols, static IPs, gaming, IoT, PrivateLink endpoints.	interview-qa-gap-analysis
aws-adv/e625498cb4a3	aws-adv	medium	aws, organizations, scp, governance	How do AWS Organizations and Service Control Policies work?	Organizations manages multiple AWS accounts in a hierarchy of OUs (Organizational Units).\n\nService Control Policies (SCPs):\n- Permission guardrails applied to OUs or accounts\n- Restrict what services/actions are ALLOWED (deny list or allow list)\n- Don't grant permissions — they filter existing IAM permissions\n- Don't affect the management account\n\nExample SCP (prevent leaving org):\n{\n  \"Effect\": \"Deny\",\n  \"Action\": \"organizations:LeaveOrganization\",\n  \"Resource\": \"*\"\n}\n\nKey behaviors:\n- SCPs are inherited down the OU tree\n- Effective permissions = IAM policies INTERSECTED with SCP chain\n- Full access SCP attached by default — removing it blocks everything\n- Cannot restrict root user in management account\n\nPattern: deny-list approach (allow all, deny specific risky actions) is easier to manage than allow-list.	interview-qa-gap-analysis
aws-adv/8aca40557abb	aws-adv	medium	aws, vpc, networking, transit-gateway	Explain VPC peering vs Transit Gateway	VPC Peering:\n- 1:1 connection between two VPCs\n- Non-transitive (A-B and B-C doesn't mean A-C)\n- No bandwidth bottleneck (uses AWS backbone)\n- No cost for data transfer in same AZ\n- Cross-region and cross-account supported\n- Limit: 125 peering connections per VPC\n- No overlapping CIDRs allowed\n\nTransit Gateway:\n- Hub-and-spoke model for connecting multiple VPCs\n- Transitive routing (A-B-C works through TGW)\n- Supports VPN and Direct Connect attachments\n- Route tables for network segmentation\n- Bandwidth: up to 50 Gbps per attachment\n- ~$0.05/hour + $0.02/GB data processing\n\nUse peering for: few VPCs, simple connectivity, cost optimization.\nUse TGW for: many VPCs (>10), centralized routing, hybrid connectivity, network segmentation at scale.	interview-qa-gap-analysis
aws-adv/a1a707cb7d41	aws-adv	medium	aws, config, cloudtrail, compliance	How does AWS Config differ from CloudTrail?	CloudTrail — WHO did WHAT and WHEN:\n- Records API calls (management + data events)\n- Shows who called which API, from where, when\n- Used for security investigation and audit trails\n- Delivers to S3, CloudWatch Logs, EventBridge\n\nAWS Config — WHAT is the current/historical STATE:\n- Tracks resource configurations over time\n- Shows how a resource was configured at any point\n- Evaluates compliance rules (Config Rules)\n- Can auto-remediate with SSM Automation\n\nExample: 'Who deleted the security group?' = CloudTrail\n'What did the security group look like before deletion?' = Config\n'Are all security groups compliant with our rules?' = Config Rules\n\nUse together: CloudTrail for the action trail, Config for the configuration timeline and compliance posture.	interview-qa-gap-analysis
aws-adv/4bfc6623dae9	aws-adv	medium	aws, s3, access-points, security	What are S3 access points and when should you use them?	S3 Access Points are named network endpoints with distinct permissions policies, simplifying access management for shared buckets.\n\nWithout access points: one complex bucket policy managing all access patterns.\nWith access points: each team/application gets its own access point with its own policy.\n\n# Create:\naws s3control create-access-point \\\n  --name analytics-team \\\n  --bucket shared-data \\\n  --vpc-configuration VpcId=vpc-123\n\nFeatures:\n- Each access point has its own DNS name\n- Can restrict to specific VPC (no internet access)\n- Own IAM policy (simpler than bucket policy)\n- Block public access settings per access point\n- S3 Object Lambda access points for data transformation\n\nUse when: multiple teams share a bucket, complex access patterns, need VPC-scoped access, per-application permissions. Limit: 10,000 access points per account per region.	interview-qa-gap-analysis
