---
tags:
- devops
- l0
- flashcard-deck
- mental-models
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L0: Entry](../../../../library/portal/levels.md) | **Topics:** [Mental Models (Core)](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
mm-core/a1linux001	linux	easy	linux,kernel,userspace	What is the relationship between kernel, userspace, and distro?	The kernel is the actual OS — it manages hardware, memory, processes, and syscalls in privileged mode. Userspace is everything running on top of the kernel via syscalls (shells, daemons, apps). A distro is a packaging decision: kernel + userspace tools + package manager + default configs. When people say "Linux" they usually mean all three, which causes confusion.	training/library/topics/mental-models-core/linux-kernel-userspace-distro.md
mm-core/b2proc002	linux	easy	linux,process,program,service	What is the difference between a program, a process, and a service?	A program is a file on disk (an executable). A process is a running instance of a program — it has a PID, memory, file descriptors, and runtime state. A service is a process managed by an init system (e.g., a systemd unit). One program can have zero or many processes. People say "restart the program" when they mean "restart the service's process."	training/library/topics/mental-models-core/process-program-service.md
mm-core/c3inode003	linux	medium	linux,filesystem,inode,symlink	How do file, inode, pathname, and symlink relate?	An inode IS the file — it holds metadata and data block pointers but has no name. A pathname is a name pointing to an inode via a directory entry (hard link). One inode can have multiple pathnames. A symlink is a separate inode whose content is a pathname string. Deleting a pathname decrements the link count; data is freed when count reaches 0.	training/library/topics/mental-models-core/file-inode-pathname-symlink.md
mm-core/d4perm004	linux	medium	linux,permissions,acl,capabilities	What are the four permission systems in Linux?	Mode bits (rwx): per-inode three-level access control (owner/group/other). Ownership (uid/gid): who the file belongs to. ACLs: fine-grained per-user/group permissions beyond mode bits. Capabilities: fine-grained decomposition of root's powers (process-level, not file-level). setuid/setgid are mode bits that change the effective uid/gid of the running process.	training/library/topics/mental-models-core/permissions-modes-ownership-acls-capabilities.md
mm-core/e5sysd005	linux	medium	linux,systemd,unit,service	What is the difference between start and enable in systemd?	start/stop control runtime state — the unit runs now or stops now. enable/disable control boot-time behavior by creating/removing symlinks into a target's wants directory. enable does NOT start the service. A common pattern is 'systemctl enable --now' to do both. Similarly, wants is a weak dependency (continue if it fails) while requires is hard (fail if it fails).	training/library/topics/mental-models-core/systemd-units.md
mm-core/f6dns006	networking	medium	networking,dns,resolver	What are the three roles in DNS resolution?	Stub resolver: on your machine, sends one query, gets one answer (configured via /etc/resolv.conf). Recursive resolver: walks the DNS tree on your behalf (e.g., 8.8.8.8). Authoritative server: owns the zone file, returns the actual records. Resolution path: stub → recursive → root → TLD → authoritative. Most confusion comes from collapsing all three into "DNS server."	training/library/topics/mental-models-core/dns-architecture.md
mm-core/g7stor007	linux	medium	linux,storage,lvm,filesystem	What are the five layers of the Linux storage stack?	Disk (block device, /dev/sda) → Partition (GPT/MBR subdivisions, /dev/sda1) → LVM (abstracts physical partitions into resizable logical volumes: PV → VG → LV) → Filesystem (organizes blocks into files: ext4, xfs, btrfs) → Mount (attaches filesystem to a directory). Each layer except disk and filesystem is optional. People skip layers mentally, going from "disk" straight to "format it."	training/library/topics/mental-models-core/storage-stack.md
mm-core/h8raid008	linux	easy	linux,raid,backup,snapshot	Why is RAID not a backup?	RAID provides real-time redundancy across disks — survives disk failure but not data corruption, accidental deletion, or ransomware (changes replicate instantly). A backup is a separate copy at a point in time — survives disaster, corruption, and deletion. A snapshot is a frozen view sharing storage with the original — fast to create but usually on the same device. All three protect against different failure modes.	training/library/topics/mental-models-core/raid-backup-snapshot.md
mm-core/i9gitobj009	git	easy	git,commit,branch,tag,head	What is a Git branch, really?	A branch is a mutable pointer to a commit — a 41-byte file in .git/refs/heads/ containing a SHA. It is NOT a folder of files. Creating a branch is O(1). A commit is an immutable snapshot with parent pointers forming a DAG. A tag is an immutable pointer to a commit. HEAD is a pointer to the current branch (or directly to a commit when detached).	training/library/topics/mental-models-core/git-commit-branch-tag-head.md
mm-core/j0rebase010	git	medium	git,rebase,merge	When should you use rebase vs merge?	Merge creates a new commit with two parents, preserving full history. Rebase replays your commits on a new base, rewriting SHAs for linear history. Golden rule: never rebase commits that others have based work on (shared history). Use merge for shared branches and pull requests. Use rebase for cleaning up local work before sharing. Both integrate changes; they differ in history shape.	training/library/topics/mental-models-core/git-rebase-vs-merge.md
