id	category	tags	topic_text	trivia_fact	source
linux-processes/t001	linux-processes	zombie,naming,process-state	Why Zombie Processes	Zombie processes are called "zombies" because they are dead but haven't been reaped. A zombie has finished executing but its entry remains in the process table so the parent can retrieve its exit status via wait(). Like horror zombies, they consume a resource (a PID) despite being "dead."	unix-history
linux-processes/t002	linux-processes	orphan,adoption,init	Orphan Process Adoption	When a parent process dies before its children, the children become "orphans." The kernel re-parents them to PID 1 (init/systemd), which automatically calls wait() to clean them up. This adoption mechanism prevents orphans from becoming permanent zombies.	kernel-docs
linux-processes/t003	linux-processes	fork,multics,design	Fork from Multics	The fork() system call was adapted from Multics, but with a twist. In Multics, fork created a copy of the process. In Unix, Thompson made fork() create an exact duplicate that shares the same code and data — the parent and child are distinguished only by fork's return value (0 in child, PID in parent).	unix-history
linux-processes/t004	linux-processes	signals,numbering,history	Signal Numbering History	Signal numbers vary across Unix variants because they were assigned ad hoc as new signals were added. SIGKILL is 9 and SIGTERM is 15 on Linux, but different on some BSDs. Only SIGKILL (uncatchable kill) and SIGSTOP (uncatchable stop) are guaranteed to be present on all POSIX systems.	posix-spec
linux-processes/t005	linux-processes	nice,values,origin	Nice Values Origin	The "nice" value concept (priority from -20 to 19) was named because raising it makes a process "nicer" to other processes by yielding CPU time. Only root can set negative nice values (being "unnice"). The name is one of Unix's most charming anthropomorphisms.	unix-history
linux-processes/t006	linux-processes	pid-wraparound,recycling,limit	PID Wraparound	Linux PIDs are 32-bit but default to a maximum of 32768 (/proc/sys/kernel/pid_max). When PIDs wrap around, the kernel skips any still-in-use PIDs. On busy systems, PID reuse can cause race conditions — a kill() might hit the wrong process if the target PID was recycled between check and signal.	kernel-docs
linux-processes/t007	linux-processes	kill-9,sigkill,uncatchable	Why kill -9 Is Sure Kill	SIGKILL (signal 9) cannot be caught, blocked, or ignored — the kernel terminates the process directly without giving it a chance to clean up. This was a deliberate design: there must always be a way to stop a runaway process. Only two signals are uncatchable: SIGKILL (9) and SIGSTOP (19).	posix-spec
linux-processes/t008	linux-processes	sigterm,graceful,design	SIGTERM vs SIGKILL Design	SIGTERM (15) was designed as a "please exit" request that processes can catch and handle gracefully (save state, close connections, remove temp files). SIGKILL (9) is the "no negotiation" alternative. The convention is: try SIGTERM first, wait, then SIGKILL. Docker gives containers 10 seconds between them.	posix-spec
linux-processes/t009	linux-processes	cron,chronos,scheduling	Cron from Chronos	The cron daemon is named after Kronos/Chronos (Greek god of time). The original cron by Ken Thompson (1979) woke up every minute and checked a single crontab file. Modern cron implementations support per-user crontabs, but the fundamental wake-check-execute loop remains unchanged.	unix-v7-manual
linux-processes/t010	linux-processes	nohup,hangup,terminal	Nohup and SIGHUP	SIGHUP (signal 1) was originally sent when a modem "hung up" — literally disconnecting the phone line. The `nohup` command makes processes immune to SIGHUP so they survive terminal disconnection. The signal was repurposed: many daemons now interpret SIGHUP as "reload your configuration."	unix-history
linux-processes/t011	linux-processes	process-states,d-state,uninterruptible	D State Is Dangerous	The D (uninterruptible sleep) process state was designed for short waits on disk I/O. Processes in D state cannot be killed — not even with SIGKILL. If an NFS server becomes unreachable, processes can get stuck in D state permanently, requiring a reboot. This is a common cause of "unkillable processes."	kernel-docs
linux-processes/t012	linux-processes	copy-on-write,fork,optimization	Copy-on-Write Trick	Modern fork() doesn't actually copy the parent's memory — it uses copy-on-write (COW). Parent and child share the same physical pages until one writes, triggering a copy of only that page. This makes fork() nearly instantaneous even for processes using gigabytes of memory. Redis exploits this for background saves.	kernel-docs
linux-processes/t013	linux-processes	process-groups,sessions,terminals	Process Groups and Job Control	Process groups were added in BSD Unix to enable job control (Ctrl+Z, bg, fg). Every process belongs to a process group, and groups belong to sessions. When you press Ctrl+C, SIGINT is sent to the entire foreground process group — not just one process. This is why Ctrl+C kills a pipeline.	bsd-history
linux-processes/t014	linux-processes	clone,threads,linux	Linux Threads Are Processes	In Linux, threads are implemented as processes that share memory — the clone() system call creates them with shared address space. There is no fundamental distinction between threads and processes in the kernel scheduler. The NPTL (Native POSIX Thread Library) was introduced in 2003 to make this efficient.	kernel-docs
linux-processes/t015	linux-processes	execve,only-one,syscall	Only One Exec Syscall	Linux has only one true exec system call: execve(). The familiar exec family (execl, execlp, execle, execv, execvp) are all C library wrappers that rearrange their arguments and call execve(). The "e" in execve stands for "environment" (passing environment variables).	man-pages
