---
tags:
- devops
- l3
- flashcard-deck
- linux-recovery
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L3: Advanced](../../../../library/portal/levels.md) | **Topics:** [Linux Recovery](../../../../library/portal/topics.md) | **Domain:** Linux & Systems
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
linux-recov/9002ba6440b8	linux-recov	hard	linux, recovery, chmod, permissions	chmod -x /bin/chmod was accidentally run. How do you fix it?	Several approaches since chmod itself is now non-executable:\n\n1. Use a language interpreter:\n   perl -e 'chmod 0755, \"/bin/chmod\"'\n   python3 -c 'import os; os.chmod(\"/bin/chmod\", 0o755)'\n\n2. Use /lib/ld-linux to run the binary directly:\n   /lib64/ld-linux-x86-64.so.2 /bin/chmod +x /bin/chmod\n\n3. Copy from another system or package:\n   cp /bin/ls /tmp/fix && cat /bin/chmod > /tmp/fix && /tmp/fix +x /bin/chmod\n\n4. Install from package manager: apt install --reinstall coreutils\n\nThe perl approach is the most portable and commonly cited in interviews.	interview-qa-gap-analysis
linux-recov/5c0612610e07	linux-recov	hard	linux, recovery, proc, file-descriptors	How do you recover a deleted file still held open by a process?	If a process still has the file open, the data exists in /proc.\n\n1. Find the process:\n   lsof | grep deleted_file\n   # or: lsof +L1 (list all deleted-but-open files)\n\n2. Find the file descriptor:\n   ls -la /proc/<PID>/fd/\n   # Look for the symlink pointing to '(deleted)'\n\n3. Recover the content:\n   cp /proc/<PID>/fd/<FD_NUM> /path/to/recovered_file\n\nThis works because Linux doesn't actually free disk blocks until all file descriptors are closed. The inode remains valid as long as any process holds a reference. For databases, use the process's own recovery mechanisms instead of raw fd copying.	interview-qa-gap-analysis
linux-recov/b3a0c6eb5611	linux-recov	hard	linux, recovery, fork-bomb, process	What does the fork bomb :(){ :|:& };: do and how do you stop it?	:(){ :|:& };: defines a function ':' that calls itself twice, piped, in the background — exponentially spawning processes.\n\nBreakdown:\n:()     — define function named ':'\n{ :|:& } — body: call ':' piped to ':' in background\n;:      — end definition and invoke\n\nMitigation:\n1. Prevention: ulimit -u 100 (limit max processes per user)\n   Add to /etc/security/limits.conf:\n   * hard nproc 500\n\n2. Recovery (if you can get a shell):\n   killall -9 -u <username>\n   Or from another terminal/SSH session.\n\n3. If system is unresponsive:\n   Use SysRq keys: Alt+SysRq+F (OOM killer)\n   Or Alt+SysRq+REISUB for safe reboot.\n\nPAM limits and cgroups are the proper defenses.	interview-qa-gap-analysis
linux-recov/ad49ccf0d105	linux-recov	medium	linux, security, entropy, random	What is the difference between /dev/random and /dev/urandom?	/dev/random blocks when the entropy pool is exhausted; /dev/urandom never blocks.\n\nHistorically:\n- /dev/random: 'true' randomness, blocks when entropy low — used for long-lived crypto keys\n- /dev/urandom: pseudo-random, never blocks — used for everything else\n\nModern reality (Linux 5.6+): Both use the same CSPRNG. /dev/random only blocks until the pool is initially seeded (at boot). After that, urandom and random are equivalent.\n\nRecommendation: Use /dev/urandom for virtually everything. The only exception is generating long-lived keys on a freshly booted system with no entropy (rare). Use getrandom() syscall in code — it blocks only until initial seeding, then never blocks.	interview-qa-gap-analysis
linux-recov/23b05bbccf70	linux-recov	medium	linux, security, acl, permissions	Explain Access Control Lists (ACLs) with getfacl and setfacl	ACLs extend traditional Unix permissions (owner/group/other) with fine-grained per-user and per-group rules.\n\n# View ACLs:\ngetfacl /path/to/file\n\n# Grant user read access:\nsetfacl -m u:alice:r /path/to/file\n\n# Grant group write access:\nsetfacl -m g:devs:rw /path/to/file\n\n# Set default ACL for new files in directory:\nsetfacl -d -m u:alice:rw /path/to/dir/\n\n# Remove specific ACL:\nsetfacl -x u:alice /path/to/file\n\n# Remove all ACLs:\nsetfacl -b /path/to/file\n\nThe + in ls -l output (drwxr-xr-x+) indicates ACLs present. Filesystem must be mounted with acl option. Effective permissions = ACL mask AND granted permissions.	interview-qa-gap-analysis
linux-recov/13b8e731a8d7	linux-recov	hard	linux, lvm, snapshots, backup	How do LVM snapshots work and when would you use them?	LVM snapshots create a point-in-time copy of a logical volume using copy-on-write.\n\n# Create snapshot (allocate space for changes):\nlvcreate -s -n snap_data -L 5G /dev/vg0/data\n\n# Mount and access snapshot:\nmount /dev/vg0/snap_data /mnt/snap\n\n# Restore from snapshot:\nlvconvert --merge /dev/vg0/snap_data\n# Requires unmount + reactivation or reboot\n\n# Remove snapshot:\nlvremove /dev/vg0/snap_data\n\nCOW means only changed blocks consume snapshot space. Size the snapshot for expected change volume — if it fills up, it becomes invalid. Use cases: consistent backups of active databases, safe upgrade rollback, testing changes. For thin snapshots, use thin provisioning for more efficient multi-snapshot scenarios.	interview-qa-gap-analysis
linux-recov/0a6a5388b82b	linux-recov	medium	linux, security, apparmor, mac	Explain AppArmor profiles and enforcement modes	AppArmor is a Mandatory Access Control (MAC) system using path-based profiles to restrict program capabilities.\n\nModes:\n- enforce: violations blocked and logged\n- complain: violations logged but allowed (for testing)\n- unconfined: no restrictions\n\n# Check status:\naa-status\n\n# Put profile in complain mode:\naa-complain /etc/apparmor.d/usr.bin.firefox\n\n# Put profile in enforce mode:\naa-enforce /etc/apparmor.d/usr.bin.firefox\n\n# Generate profile interactively:\naa-genprof /path/to/binary\n\nProfile syntax:\n/usr/bin/app {\n  /etc/app.conf r,\n  /var/log/app.log w,\n  /tmp/ rw,\n  network inet stream,\n  deny /etc/shadow r,\n}\n\nAppArmor is simpler than SELinux (path-based vs label-based). Used by default in Ubuntu, SUSE. Kubernetes supports AppArmor annotations for pod security.	interview-qa-gap-analysis
linux-recov/6842fcba1321	linux-recov	medium	linux, recovery, sysrq, kernel	How do you use SysRq keys for emergency recovery?	Magic SysRq keys send commands directly to the kernel, bypassing userspace — useful when the system is unresponsive.\n\nEnable: echo 1 > /proc/sys/kernel/sysrq\n\nCommon keys (Alt + SysRq + key):\n  R — Raw keyboard mode (take back keyboard from X)\n  E — tErminate all processes (SIGTERM)\n  I — kIll all processes (SIGKILL)\n  S — Sync all filesystems\n  U — Unmount and remount read-only\n  B — reBoot immediately\n\nSafe reboot sequence: REISUB (mnemonic: Raising Elephants Is So Utterly Boring)\nWait a few seconds between each key.\n\nUseful for: fork bomb recovery (Alt+SysRq+F triggers OOM killer), hung system safe reboot, filesystem sync before hard power-off.	interview-qa-gap-analysis
linux-recov/20ab5bf083a4	linux-recov	medium	linux, recovery, disk, filesystem	How do you diagnose and recover from a full filesystem?	When / or another critical filesystem fills up:\n\n1. Identify the culprit:\n   df -h             # which filesystem is full\n   du -sh /* | sort -rh | head -10  # largest dirs\n   find / -xdev -size +100M -type f  # large files\n   lsof +L1          # deleted-but-open files holding space\n\n2. Quick relief:\n   - Truncate large logs: > /var/log/bigfile.log\n   - Clean package cache: apt clean / yum clean all\n   - Remove old kernels: apt autoremove\n   - Clear /tmp: find /tmp -mtime +7 -delete\n\n3. If /tmp is full and you can't create temp files:\n   Use /dev/shm (tmpfs in RAM) as temporary workspace\n\n4. For deleted-but-open files consuming space:\n   Restart the process holding the fd, or truncate via /proc/<PID>/fd/<N>\n\nPrevention: set up monitoring alerts at 80% capacity, use logrotate, separate /var and /tmp.	interview-qa-gap-analysis
linux-recov/5c75d38bd0cd	linux-recov	hard	linux, recovery, grub, boot	How do you recover GRUB when the system won't boot?	Common GRUB recovery scenarios:\n\n1. From GRUB rescue prompt:\n   ls                          # list partitions\n   set root=(hd0,gpt2)        # set root partition\n   set prefix=(hd0,gpt2)/boot/grub\n   insmod normal\n   normal                      # boot normally\n\n2. From a live USB:\n   mount /dev/sda2 /mnt\n   mount /dev/sda1 /mnt/boot/efi  # if UEFI\n   mount --bind /dev /mnt/dev\n   mount --bind /proc /mnt/proc\n   mount --bind /sys /mnt/sys\n   chroot /mnt\n   grub-install /dev/sda       # reinstall GRUB\n   update-grub                 # regenerate config\n\n3. Reinstall from running system:\n   sudo grub-install /dev/sda\n   sudo update-grub\n\nFor UEFI: ensure EFI partition is mounted, use grub-install --target=x86_64-efi. Check /etc/default/grub for configuration.	interview-qa-gap-analysis
