---
tags:
- devops
- l1
- flashcard-deck
- terraform-deep-dive
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Terraform Deep Dive](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
terraform-modules/0051643c15ad	terraform-modules	medium	terraform, input-output, composition	Aside from .tfvars files or CLI arguments, how can you inject dependencies from other modules?	The built-in terraform way would be to use `remote-state` to lookup the outputs from other modules.\n It is also common in the community to use a tool called `terragrunt` to explicitly inject variables between modules.\n\nRemember: "Module = reusable Terraform package." It has inputs (variables), outputs, and resources.	projects/knowledge/interview/terraform/069-aside-from-tfvars-files-or-cli-arguments-how-can-y.txt
terraform-modules/14210042b804	terraform-modules	medium	terraform, source, versioning, registry	How do you use a Terraform module in your configuration?	"The general syntax is:\n\n```hcl\nmodule ""<MODULE_NAME>"" {\n  source  = ""<MODULE_SOURCE>""\n  version = "">= 1.2.0, < 2.0.0""\n\n  # module inputs\n}\n```\n\nThe critical part is the source which you use to tell Terraform where the module can be found. When the module comes from the registry, you can pin the `version`; for local paths omit that attribute."	projects/knowledge/interview/terraform/144-how-to-use-a-module.txt
terraform-modules/17acd997ede6	terraform-modules	hard	terraform, source, versioning, composition	Discuss the use of Terraform modules for code reusability and composability.	"Terraform modules are reusable and composable components that encapsulate infrastructure configurations. They allow users to define and version a set of resources, making it easy to share, reuse, and maintain infrastructure code. Modules can represent higher-level abstractions or specific functionalities, enhancing code organization. For example, a ""VPC module"" could encapsulate networking configurations. Modules can be composed to create complex infrastructure by referencing them in other Terraform configurations, promoting modularity, maintainability, and consistency across projects."	projects/knowledge/interview/terraform/223-discuss-the-use-of-terraform-modules-for-code-reus.txt
terraform-modules/2e1494732fa4	terraform-modules	hard	terraform, composition, best-practices, source	You noticed there are relative paths in some of your modules and you would like to change that. What can you do and why is that a problem in the first place?	Relative paths usually work fine in your own environment as you are familiar with the layout and paths used, but when sharing a module and making it reusable, you may bump into issues as it runs on different environments where the relative paths may no longer be relevant.\n\nA better approach would be to use `path reference` like one of the following:\n\n- `path.module`: the path of the module where the expression is used\n- `path.cwd`: the path of the current working directory\n- `path.root`: the path of the root module	projects/knowledge/interview/terraform/143-you-noticed-there-are-relative-paths-in-some-of-yo.txt
terraform-modules/4496657c5ca4	terraform-modules	medium	terraform, composition, source	You are trying to use templatefile as part of a module and you use a relative path to load a file but sometimes it fails, especially when others try to reuse the module. How can you deal with that?	Switch relative paths with what is known as path references. These are fixes: paths like module root path, module expression file path, etc.\n\nRemember: "Module sources: local (./), registry, GitHub, S3, GCS." Pin versions for registry modules.	projects/knowledge/interview/terraform/126-you-are-trying-to-use-templatefile-as-part-of-a-mo.txt
terraform-modules/46b5752ee6bd	terraform-modules	medium	terraform, source, composition	How to use a module with for_each to create networks per availability zone?	"```hcl\nmodule ""subnet"" {\n  source   = ""../modules/subnet""\n  for_each = toset(var.azs)\n\n  name = ""subnet-${each.key}""\n  az   = each.value\n}\n```\n\n`for_each` keeps addresses stable and lets you add or remove AZs without re-creating the entire module."	projects/knowledge/interview/terraform/150-how-to-use-a-module-with-foreach-to-create-network.txt
terraform-modules/48f08a5e03f0	terraform-modules	medium	terraform, source, versioning	What should be done every time you modify the source parameter of a module?	Run `terraform init -upgrade` (or `terraform get -update` on older versions) so Terraform downloads the new version of the module and updates the `.terraform/modules` directory.\n\nRemember: "Module outputs expose inner values to the caller." Access with module.NAME.OUTPUT.	projects/knowledge/interview/terraform/146-what-should-be-done-every-time-you-modify-the-sour.txt
terraform-modules/4c8f12a5bb73	terraform-modules	easy	terraform, source, composition	What is the difference between Terraform modules and resources?	In Terraform, resources represent individual infrastructure components (e.g., virtual machines, networks), while modules are a way to encapsulate and reuse groups of resources. Modules allow you to organize and abstract portions of your Terraform configuration for better maintainability and reusability. Resources are the building blocks, and modules are the higher-level constructs that promote modularization and shareability of infrastructure code.	projects/knowledge/interview/terraform/206-what-is-the-difference-between-terraform-modules-a.txt
terraform-modules/508f6445e181	terraform-modules	medium	terraform, source, versioning, composition	"Discuss the importance of ""Terraform Modules"" in promoting code reuse and maintainability."	Terraform Modules are crucial for:\n* Code Reusability: Encapsulating and reusing configurations for different components.\n* Maintainability: Simplifying maintenance by isolating functionality within modules.\n* Abstraction: Providing an abstraction layer for hiding implementation details.\n* Consistency: Ensuring consistency in resource configurations across environments.\n* Collaboration: Facilitating collaboration by sharing and versioning modular code.	projects/knowledge/interview/terraform/264-discuss-the-importance-of-terraform-modules-in-pro.txt
terraform-modules/5ba9a511779b	terraform-modules	medium	terraform, source, versioning, registry	How do you consume a versioned module from a VCS or the Terraform Registry?	"```hcl\nmodule ""vpc"" {\n source = ""git::https://github.com/org/infra-modules.git//vpc?ref=v1.2.3""\n cidr = ""10.0.0.0/16""\n azs = [""us-east-1a"", ""us-east-1b""]\n}\n```\n\n- For registry modules, use `version` constraints (for example `version = "">= 1.2.0, < 2.0.0""`). \n- Always pin module versions to keep plans reproducible and review upstream releases before upgrading. \n- Prefer tags or immutable SHAs for VCS sources to guarantee repeatable builds."	projects/knowledge/interview/terraform/135-how-do-you-consume-a-versioned-module-from-a-vcs-o.txt
terraform-modules/6155bda7d6f6	terraform-modules	easy	terraform, source, versioning, composition	What is a recommended layout for a reusable module?	```text\nmodules/vpc/\n main.tf\n variables.tf\n outputs.tf\n versions.tf\n README.md\n examples/\n basic/\n main.tf\n```\n\n- `main.tf` defines resources, data sources, and locals. \n- `variables.tf` contains typed inputs with descriptions and validations. \n- `outputs.tf` exposes the minimal set of outputs downstream stacks need. \n- `versions.tf` pins compatible Terraform and provider versions. \n- `examples/` hosts runnable samples for documentation and testing, usually referenced by CI.	projects/knowledge/interview/terraform/134-what-is-a-recommended-layout-for-a-reusable-module.txt
terraform-modules/688a51666a62	terraform-modules	medium	terraform, source, versioning, input-output	How do modules handle inputs, outputs, locals and validation effectively?	- Define typed variables with defaults and `validation` blocks to guard against invalid CIDRs, AZ counts, or empty strings. \n- Use `locals` to transform data or derive names, and combine with `for_each`/`count` for deterministic resource creation. \n- Document outputs in `outputs.tf`, mark sensitive ones, and keep outputs minimal to reduce coupling. \n- Surface module metadata (like version or tags) through outputs for downstream modules or automation.	projects/knowledge/interview/terraform/136-how-do-modules-handle-inputs-outputs-locals-and-va.txt
terraform-modules/77fcda4e39e6	terraform-modules	hard	terraform, versioning, composition, input-output	Which module anti-patterns should you avoid?	"- Embedding provider blocks inside the module which makes reuse across accounts harder. \n- Accepting overly generic `map(any)` inputs that hide required structure instead of typed objects. \n- Outputting secrets or credentials without `sensitive = true` or secret stores. \n- Creating ""god"" root modules that mix networking, compute, and application concerns instead of composing smaller modules. \n- Copying and pasting modules without versioning, documentation, or automated tests."	projects/knowledge/interview/terraform/137-which-module-anti-patterns-should-you-avoid.txt
