id	category	tags	topic_text	trivia_fact	source
devops/t001	devops	devops,origin,history	DevOps Origin	The term "DevOps" was coined by Patrick Debois, a Belgian IT consultant, when he organized the first DevOpsDays conference in Ghent, Belgium in October 2009. He was inspired by the "10+ Deploys Per Day" talk from Velocity 2009.	devopsdays.org
devops/t002	devops	flickr,deploys,velocity	10 Deploys Per Day	The talk that ignited the DevOps movement was "10+ Deploys Per Day: Dev and Ops Cooperation at Flickr" by John Allspaw and Paul Hammond at Velocity 2009. It demonstrated that dev and ops could collaborate instead of fight.	velocityconf-2009
devops/t003	devops	wall-of-confusion,culture	Wall of Confusion	The "Wall of Confusion" describes the traditional barrier between development and operations teams. Dev throws code over the wall to ops; ops throws incidents back. DevOps aims to demolish this wall through shared responsibility.	devops-culture
devops/t004	devops	phoenix-project,novel,gene-kim	The Phoenix Project	"The Phoenix Project" (2013) by Gene Kim, Kevin Behr, and George Spafford is a novel about a fictional IT manager that teaches DevOps principles. It was modeled after Eliyahu Goldratt's "The Goal" and became the unofficial DevOps bible.	itrevolution.com
devops/t005	devops	three-ways,principles,gene-kim	The Three Ways	Gene Kim's "Three Ways" are the principles underlying DevOps: the First Way (flow — left to right), the Second Way (feedback — right to left), and the Third Way (continual experimentation and learning).	itrevolution.com
devops/t006	devops	dora,metrics,research	DORA Metrics Origin	The DORA (DevOps Research and Assessment) metrics came from Dr. Nicole Forsgren, Jez Humble, and Gene Kim's multi-year "State of DevOps" research starting in 2014. The four key metrics are deployment frequency, lead time, change failure rate, and MTTR.	dora.dev
devops/t007	devops	calms,framework,jez-humble	CALMS Framework	The CALMS framework — Culture, Automation, Lean, Measurement, Sharing — was developed by Jez Humble and John Willis as a way to assess whether an organization is ready to adopt DevOps. It emphasizes that DevOps is about culture first, tools second.	jez-humble
devops/t008	devops	sre,google,ben-treynor	SRE Definition	Site Reliability Engineering (SRE) was defined by Ben Treynor Sloss at Google as "what happens when you ask a software engineer to design an operations team." Google's SRE team was founded around 2003, predating the DevOps movement.	sre.google
devops/t009	devops	error-budget,google,sre	Error Budgets	Google invented the "error budget" concept: if your SLO is 99.9% uptime, you have a 0.1% error budget. When the budget is exhausted, feature releases stop and the team focuses on reliability. This aligns dev velocity with ops stability.	sre.google
devops/t010	devops	you-build-it,amazon,werner-vogels	You Build It You Run It	Werner Vogels, Amazon CTO, coined "You build it, you run it" around 2006, describing Amazon's model where development teams own their services in production. This was a radical departure from the traditional handoff to an operations team.	acm-queue
devops/t011	devops	chatops,github,hubot	ChatOps Origin	ChatOps was coined by GitHub in 2013, describing their practice of putting tools in the center of conversations using their Hubot chatbot. Developers could deploy, monitor, and manage infrastructure directly from chat rooms.	github-engineering
devops/t012	devops	blameless-postmortem,etsy,culture	Blameless Postmortems	Etsy pioneered blameless postmortems in the early 2010s under John Allspaw's leadership. The key insight: punishing people for mistakes makes them hide errors, but a blameless culture makes the organization learn faster.	etsy-engineering
devops/t013	devops	infrastructure-as-code,history	Infrastructure as Code	The term "Infrastructure as Code" was popularized by Andrew Clay Shafer and others around 2009. The core idea — managing infrastructure through machine-readable definition files rather than manual processes — drew from configuration management tools like CFEngine (1993).	oreilly
devops/t014	devops	continuous-delivery,jez-humble	Continuous Delivery Book	Jez Humble and David Farley published "Continuous Delivery" in 2010, establishing the foundational practices for getting software from commit to production safely and quickly. The book won the Jolt Award and became a DevOps classic.	continuousdelivery.com
devops/t015	devops	kaizen,lean,toyota	DevOps and Lean	DevOps heavily borrows from Lean manufacturing and the Toyota Production System. Concepts like value streams, waste elimination, kanban boards, and kaizen (continuous improvement) were adapted from factory floors to software delivery.	toyota-production-system
devops/t016	devops	shift-left,testing,security	Shift Left Origin	"Shift left" means moving testing and security earlier in the development lifecycle. The term comes from the idea of sliding activities leftward on a project timeline. Larry Smith coined it in 2001 in his article "Shift-Left Testing."	dr-dobbs
devops/t017	devops	pets-vs-cattle,cloud,servers	Pets vs Cattle	The "pets vs cattle" metaphor for servers was popularized by Bill Baker of Microsoft around 2012. Pets are servers you name and nurse back to health; cattle are numbered and replaced when sick. Cloud-native infrastructure treats servers as cattle.	bill-baker-microsoft
devops/t018	devops	devops-handbook,gene-kim	The DevOps Handbook	"The DevOps Handbook" (2016) by Gene Kim, Jez Humble, Patrick Debois, and John Willis provided the practical companion to "The Phoenix Project." It documented real-world DevOps transformations at companies like Etsy, Netflix, and Target.	itrevolution.com
devops/t019	devops	westrum,culture,typology	Westrum Culture Model	Ron Westrum's organizational culture typology (pathological, bureaucratic, generative) became central to DevOps thinking after DORA research showed that generative cultures — where information flows freely and messengers are welcomed — predict high software delivery performance.	dora.dev
devops/t020	devops	accelerate,book,research	Accelerate Book	"Accelerate" (2018) by Nicole Forsgren, Jez Humble, and Gene Kim distilled six years of State of DevOps research into a rigorous scientific study. It proved statistically that DevOps practices drive both organizational performance and employee well-being.	itrevolution.com
