---
tags:
- security
- l1
- flashcard-deck
- audit-logging
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Audit Logging](../../../../library/portal/topics.md) | **Domain:** Security
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
audit-logging/a1b2c3d4e5f6	audit-logging	easy	audit-logging, linux, basics	What is the purpose of auditd on Linux?	auditd is the Linux audit daemon that captures kernel-level events — syscalls, file access, authentication, and command execution — and writes them to /var/log/audit/audit.log for security monitoring and compliance.	training/library/topics/audit-logging/primer.md
audit-logging/b2c3d4e5f6a7	audit-logging	easy	audit-logging, commands	What command do you use to search Linux audit logs?	ausearch. For example: ausearch -k identity searches by key tag, ausearch -f /etc/shadow searches by file path, and ausearch -i interprets UIDs and syscall numbers into human-readable form.\n\nRemember: audit log = 'who did what, when, and from where.' The four W's: Who, What, When, Where.\n\nExample: '2026-03-21T14:30:00Z user=admin action=delete resource=pod/nginx namespace=production source_ip=10.0.0.5'\n\nFun fact: audit logs are a legal requirement in SOC 2, HIPAA, PCI-DSS, and GDPR. Without them, you fail compliance audits.	training/library/topics/audit-logging/primer.md
audit-logging/c3d4e5f6a7b8	audit-logging	easy	audit-logging, commands	What command generates summary reports from Linux audit logs?	aureport. Examples: aureport --auth for authentication events, aureport --failed for failed events, aureport --login for login report, and aureport --summary for an overall summary.\n\nRemember: audit log = 'who did what, when, and from where.' The four W's: Who, What, When, Where.\n\nExample: '2026-03-21T14:30:00Z user=admin action=delete resource=pod/nginx namespace=production source_ip=10.0.0.5'\n\nFun fact: audit logs are a legal requirement in SOC 2, HIPAA, PCI-DSS, and GDPR. Without them, you fail compliance audits.	training/library/topics/audit-logging/primer.md
audit-logging/d4e5f6a7b8c9	audit-logging	medium	audit-logging, rules	How do you add a file watch audit rule, and what do the -p flags mean?	Use auditctl -w /path -p wa -k tag_name. The -p flags are: r (read), w (write), x (execute), a (attribute change). The -k flag sets a searchable key tag.	training/library/topics/audit-logging/primer.md
audit-logging/e5f6a7b8c9d0	audit-logging	medium	audit-logging, config	What happens when disk_full_action is set to HALT in auditd.conf?	The system halts (stops) rather than continuing to operate without audit coverage. This is a compliance requirement in some frameworks — it is better to stop than to run unaudited.	training/library/topics/audit-logging/primer.md
audit-logging/f6a7b8c9d0e1	audit-logging	medium	audit-logging, kubernetes	What are the four audit logging levels in Kubernetes, from least to most verbose?	None (nothing logged), Metadata (request metadata only — user, timestamp, resource, verb), Request (metadata + request body), and RequestResponse (metadata + request body + response body).\n\nRemember: audit log = 'who did what, when, and from where.' The four W's: Who, What, When, Where.\n\nExample: '2026-03-21T14:30:00Z user=admin action=delete resource=pod/nginx namespace=production source_ip=10.0.0.5'\n\nFun fact: audit logs are a legal requirement in SOC 2, HIPAA, PCI-DSS, and GDPR. Without them, you fail compliance audits.	training/library/topics/audit-logging/primer.md
audit-logging/a7b8c9d0e1f2	audit-logging	medium	audit-logging, rules, persistence	What is the difference between auditctl and /etc/audit/audit.rules?	auditctl adds rules at runtime (lost on reboot). /etc/audit/audit.rules contains persistent rules loaded at boot. Use auditctl for testing, then add working rules to audit.rules for persistence.\n\nRemember: comparison questions are best answered with a structured format: name the key dimensions (use case, performance, complexity, cost) and compare each.	training/library/topics/audit-logging/primer.md
audit-logging/b8c9d0e1f2a3	audit-logging	hard	audit-logging, kubernetes, policy	How would you configure Kubernetes audit logging to capture all secret access and pod exec commands?	"In the audit policy YAML, add a rule with level: Metadata for resources: [""secrets""] and level: RequestResponse for resources: [""pods/exec"", ""pods/attach""]. Pass the policy file via --audit-policy-file to the API server."	training/library/topics/audit-logging/primer.md
audit-logging/c9d0e1f2a3b4	audit-logging	hard	audit-logging, centralization	Why must audit logs be shipped off-host, and what are common methods?	An attacker with host access can delete local logs to cover their tracks. Ship logs off-host via audisp-remote (real-time), or file-based collection with Filebeat/Fluentd to a central SIEM. Central logs are tamper-evident.\n\nRemember: audit log = 'who did what, when, and from where.' The four W's: Who, What, When, Where.\n\nExample: '2026-03-21T14:30:00Z user=admin action=delete resource=pod/nginx namespace=production source_ip=10.0.0.5'	training/library/topics/audit-logging/primer.md
audit-logging/d0e1f2a3b4c5	audit-logging	hard	audit-logging, compliance	How do audit logging requirements differ between PCI DSS, HIPAA, and SOC 2?	PCI DSS requires logging all access to cardholder data and privileged actions. HIPAA requires logging all access to protected health information and user sessions. SOC 2 requires logging system changes, access events, and security incidents. All require centralized, tamper-evident retention.\n\nRemember: SOC 2 = Service Organization Control. Trust Service Criteria: Security, Availability, Processing Integrity, Confidentiality, Privacy. Mnemonic: 'SAPCP.'	training/library/topics/audit-logging/primer.md
