---
tags:
- security
- l1
- flashcard-deck
- open-policy-agent
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Open Policy Agent](../../../../library/portal/topics.md) | **Domain:** Security
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
open-policy-agent/c5cb552ac16c	open-policy-agent	easy	opa, rego, fundamentals	What is Open Policy Agent (OPA)?	OPA is a general-purpose, open-source policy engine that decouples policy from application code. Applications query OPA over HTTP, passing structured JSON input; OPA evaluates the query against loaded Rego policies and returns a decision.\n\nRemember: OPA = general-purpose policy engine. Decouples policy from code.\n\nFun fact: CNCF graduated. Uses Rego ("ray-go") language.	training/library/topics/open-policy-agent/primer.md
open-policy-agent/ecdfed21a173	open-policy-agent	easy	opa, rego, fundamentals	What language is used to write OPA policies?	Rego — a declarative query language purpose-built for policy. Rego is not imperative; you define what is true and OPA derives all consequences. Policy rules are evaluated simultaneously, not sequentially.\n\nRemember: OPA = general-purpose policy engine. Decouples policy from code.\n\nFun fact: CNCF graduated. Uses Rego ("ray-go") language.	training/library/topics/open-policy-agent/primer.md
open-policy-agent/1b0145f43811	open-policy-agent	easy	opa, rego, fundamentals	What are the two JSON documents available inside a Rego policy at evaluation time?	`input` — the structured query document sent by the calling application; `data` — background data loaded into OPA (allow-lists, user directories, configuration). Policy rules can reference both.\n\nRemember: Rego = declarative policy language. Rules return true/false or sets/objects.\n\nExample: `deny[msg] { input.kind=="Pod"; not input.spec.securityContext.runAsNonRoot; msg:="No root" }`	training/library/topics/open-policy-agent/primer.md
open-policy-agent/5ff0176277db	open-policy-agent	easy	opa, deployment	What are the three deployment patterns for OPA?	Sidecar (runs alongside each service in the same pod — low latency, localhost calls), centralized service (shared OPA cluster — easier to manage, network hop required), and library/embedded (OPA SDK or WASM compiled in-process — no network dependency).\n\nRemember: OPA = general-purpose policy engine. Decouples policy from code.\n\nFun fact: CNCF graduated. Uses Rego ("ray-go") language.	training/library/topics/open-policy-agent/primer.md
open-policy-agent/17d24b2d3be2	open-policy-agent	easy	opa, rego, rules	In Rego, what happens when multiple rule bodies share the same rule name (e.g., multiple `allow` blocks)?	They are implicitly OR'd — if any single rule body evaluates to true, the overall rule is true. All conditions inside a single body are AND'd.\n\nRemember: Rego = declarative policy language. Rules return true/false or sets/objects.\n\nExample: `deny[msg] { input.kind=="Pod"; not input.spec.securityContext.runAsNonRoot; msg:="No root" }`	training/library/topics/open-policy-agent/primer.md
open-policy-agent/f514f46c047e	open-policy-agent	easy	opa, testing	What naming convention does OPA use to identify test rules?	Test rules must have names starting with `test_`. OPA's built-in test runner (`opa test`) discovers and runs all rules matching this prefix, reporting pass/fail per rule.\n\nRemember: OPA = general-purpose policy engine. Decouples policy from code.\n\nFun fact: CNCF graduated. Uses Rego ("ray-go") language.	training/library/topics/open-policy-agent/primer.md
open-policy-agent/9f3180e3d4b6	open-policy-agent	easy	opa, cli	What command runs all OPA unit tests in a directory?	`opa test ./policies/` — runs all test rules (prefixed `test_`) found recursively. Add `-v` for verbose output showing individual test names and results.\n\nRemember: OPA = general-purpose policy engine. Decouples policy from code.\n\nFun fact: CNCF graduated. Uses Rego ("ray-go") language.	training/library/topics/open-policy-agent/street_ops.md
open-policy-agent/21d5fa081da4	open-policy-agent	easy	opa, gatekeeper, kubernetes	What are the two Kubernetes CRD types introduced by OPA Gatekeeper?	`ConstraintTemplate` — defines a new constraint kind and embeds the Rego logic; `Constraint` — an instance of a ConstraintTemplate that specifies parameters and the scope of resources to apply it to.\n\nRemember: OPA = general-purpose policy engine. Decouples policy from code.\n\nFun fact: CNCF graduated. Uses Rego ("ray-go") language.	training/library/topics/open-policy-agent/primer.md
open-policy-agent/894343756e9b	open-policy-agent	easy	opa, conftest	What is Conftest and what is it used for?	Conftest is a CLI tool that wraps OPA for testing configuration files (Kubernetes manifests, Terraform plans, Dockerfiles, HCL). Write Rego policies in a `policy/` directory and run `conftest test <file>` to validate configs in CI without an OPA server.\n\nRemember: Conftest = OPA/Rego for config files. Dockerfile, K8s YAML, Terraform. CI checks.	training/library/topics/open-policy-agent/primer.md
open-policy-agent/95870394f7e7	open-policy-agent	medium	opa, rego, rules	What is a partial rule in Rego, and how does it differ from a complete rule?	A partial rule builds a set or object by accumulating elements from all matching rule bodies (e.g., `violations[msg] { ... }`). A complete rule assigns exactly one value — only one body can be true. Mixing them up causes OPA to raise a conflict error.\n\nRemember: Rego = declarative policy language. Rules return true/false or sets/objects.\n\nExample: `deny[msg] { input.kind=="Pod"; not input.spec.securityContext.runAsNonRoot; msg:="No root" }`	training/library/topics/open-policy-agent/primer.md
