id	category	tags	topic_text	trivia_fact	source
cicd/t001	cicd	ci,origin,grady-booch	CI Coined	Continuous Integration was first described by Grady Booch in his 1991 book on object-oriented design. He proposed integrating code frequently to avoid "integration hell" — the painful process of merging weeks of divergent work.	booch-1991
cicd/t002	cicd	ci,martin-fowler,xp	Fowler Popularized CI	Martin Fowler wrote his influential "Continuous Integration" article in 2000 (updated 2006), establishing the key practices: maintain a single source repository, automate the build, make the build self-testing, and commit to mainline frequently.	martinfowler.com
cicd/t003	cicd	jenkins,hudson,sun	Jenkins Origin	Jenkins started life as "Hudson" in 2004, created by Kohsuke Kawaguchi at Sun Microsystems. He built it because he was tired of breaking builds on the Glassfish project and wanted automated testing before commits.	jenkins.io
cicd/t004	cicd	jenkins,hudson,oracle,fork	Hudson Fork Drama	After Oracle acquired Sun in 2010, a dispute over the Hudson trademark led to a community vote in 2011. The community overwhelmingly chose to rename the project to Jenkins and fork away from Oracle. Oracle continued Hudson briefly before abandoning it.	jenkins.io
cicd/t005	cicd	travis-ci,hosted,pioneer	Travis CI Pioneer	Travis CI, launched in 2011, pioneered the hosted CI model with free builds for open-source projects. Its `.travis.yml` configuration file inspired the "CI config as code" pattern adopted by nearly every CI platform that followed.	travis-ci
cicd/t006	cicd	github-actions,cloud-functions	GitHub Actions Design	GitHub Actions, launched in 2019, was inspired by serverless cloud functions and workflow engines. Each "action" is a reusable unit of CI/CD logic, and the YAML workflow syntax was designed to feel natural to developers already using GitHub.	github-engineering
cicd/t007	cicd	pipeline-as-code,revolution	Pipeline as Code	The "pipeline as code" revolution — defining CI/CD pipelines in version-controlled files rather than clicking through UIs — was championed by Jenkins' Jenkinsfile (2016), though Travis CI's `.travis.yml` (2011) had already established the pattern.	jenkins.io
cicd/t008	cicd	blue-green,deployment,naming	Blue-Green Naming	Blue-green deployment was described by Daniel Bryant and others, popularized by Martin Fowler. The name simply refers to having two identical production environments (blue and green). You deploy to the inactive one and switch traffic. The color names are arbitrary.	martinfowler.com
cicd/t009	cicd	canary,release,coal-mine	Canary Release Origin	Canary releases are named after the coal mining practice of bringing canaries into mines to detect toxic gases. The canary (small subset of users) gets the new version first — if something goes wrong, the "canary dies" before the full rollout harms everyone.	mining-history
cicd/t010	cicd	feature-flags,flickr,toggles	Feature Flags Origin	Feature flags were popularized by Flickr's engineering team around 2009 as part of their rapid deployment practice. They called them "feature flippers" — allowing code to be deployed but not activated until ready, decoupling deployment from release.	flickr-engineering
cicd/t011	cicd	cruisecontrol,early-ci,thoughtworks	CruiseControl Legacy	CruiseControl, built by ThoughtWorks in 2001, was one of the first dedicated CI servers. It inspired a generation of CI tools. ThoughtWorks went on to create GoCD, and Martin Fowler (a ThoughtWorks chief scientist) became CI's most prominent advocate.	thoughtworks
cicd/t012	cicd	cd,continuous-deployment,etsy	Continuous Deployment Pioneer	Etsy became famous for continuous deployment around 2011, deploying code to production up to 50 times per day. Their engineering blog and conference talks demonstrated that rapid, frequent deployments actually reduced risk rather than increasing it.	etsy-engineering
cicd/t013	cicd	artifact,terminology,build	Artifact Terminology	In CI/CD, "artifact" borrows from archaeology — it's something produced (built) by the process. Build artifacts (JARs, Docker images, binaries) are stored in artifact repositories like Nexus, Artifactory, or container registries for downstream deployment.	ci-glossary
cicd/t014	cicd	shift-left,testing,early	Testing Shift Left	The CI/CD principle of "shift left" testing means running tests as early as possible in the pipeline. Unit tests run first (fastest feedback), then integration tests, then end-to-end tests. This "test pyramid" concept was popularized by Mike Cohn in 2009.	mike-cohn
cicd/t015	cicd	trunk-based,development,google	Trunk-Based Development	Google's monorepo with trunk-based development (25,000+ engineers committing to a single main branch) proved that CI works at extreme scale. Their internal CI system, TAP (Test Automation Platform), runs billions of test cases per day.	google-engineering
