id	category	tags	topic_text	trivia_fact	source
linux-security/t001	linux-security	chmod,octal,history	Why chmod Uses Octal	chmod uses octal (base-8) because Unix permissions are three groups of three bits: owner (rwx), group (rwx), others (rwx). Three bits naturally map to one octal digit (0-7). The number 755 means 111-101-101 in binary — rwx for owner, r-x for group and others. This encoding was natural for PDP-11 programmers who thought in octal.	unix-history
linux-security/t002	linux-security	suid,design,escalation	SUID Bit Design	The SUID (Set User ID) bit was Dennis Ritchie's invention in Unix V4 (1973). It lets a program run with its owner's permissions — `passwd` runs as root via SUID to write /etc/shadow. SUID is both a security feature (controlled privilege escalation) and a security risk (exploitable programs grant root access).	unix-history
linux-security/t003	linux-security	capabilities,root,replacement	Capabilities Replacing Root	Linux capabilities (added in 2.2, 1999) split root's monolithic power into ~40 individual privileges. A program can have CAP_NET_BIND_SERVICE (bind to ports below 1024) without full root. Docker uses capabilities extensively — containers run as "root" but with most capabilities dropped, making root-in-container much weaker than root-on-host.	kernel-docs
linux-security/t004	linux-security	selinux,nsa,origin	SELinux Origin at NSA	SELinux (Security-Enhanced Linux) was developed by the NSA and released as open source in 2000. This surprised many — the spy agency contributing security code to a public OS. SELinux uses mandatory access controls (MAC): even root can be denied access if the policy doesn't permit it. Red Hat enables it by default.	nsa.gov
linux-security/t005	linux-security	apparmor,ubuntu,alternative	AppArmor as Alternative	AppArmor was created by Immunix (later acquired by Novell/SUSE) as a simpler alternative to SELinux. It uses path-based access control (easier to understand) rather than SELinux's label-based system. Ubuntu chose AppArmor over SELinux because its learning curve is less steep, though it's considered less comprehensive.	ubuntu-wiki
linux-security/t006	linux-security	least-privilege,history,principle	Least Privilege History	The principle of least privilege was formalized by Jerome Saltzer and Michael Schroeder in 1975, but the concept predates computing. Military "need to know" clearances follow the same logic. In Linux, this principle drives everything from file permissions to capabilities to namespaces to seccomp filters.	saltzer-schroeder
linux-security/t007	linux-security	shadow,passwords,evolution	/etc/shadow Evolution	Originally, Unix stored password hashes in /etc/passwd, which was world-readable (programs needed it to map UIDs to usernames). When password cracking became practical, the hashes were moved to /etc/shadow (readable only by root). The 'x' in /etc/passwd's password field is the placeholder marking this migration.	unix-history
linux-security/t008	linux-security	seccomp,sandboxing,chrome	Seccomp Origin	Seccomp (Secure Computing) was added to Linux 2.6.12 (2005) by Andrea Arcangeli. It originally restricted processes to only four syscalls: read, write, exit, and sigreturn. Seccomp-BPF (2012) added programmable filtering using BPF programs. Chrome, Docker, and systemd all use seccomp to sandbox processes.	kernel-docs
linux-security/t009	linux-security	sudo,origin,design	Sudo Design History	sudo was written in 1980 by Bob Coggeshall and Cliff Spencer at SUNY Buffalo. The name means "superuser do." It was designed to give users temporary root access for specific commands without sharing the root password. The /etc/sudoers file uses a custom parser so strict that a syntax error can lock you out (hence visudo).	sudo-manual
linux-security/t010	linux-security	namespaces,isolation,containers	Namespaces for Isolation	Linux namespaces (mount, PID, network, user, UTS, IPC, cgroup, time) isolate process views of system resources. A process in a PID namespace sees itself as PID 1. User namespaces (2013) allow unprivileged users to "become root" inside a namespace — this is how rootless containers work without actual root.	kernel-docs
