Why should secrets never be committed to git?	Git history is permanent — even if you delete the file, the secret remains in previous commits. Attackers scan public repos for leaked keys. Use environment variables, vault systems, or .gitignore to prevent exposure.	security-ir easy security secrets
What should you do immediately after discovering a leaked secret?	1) Rotate/revoke the secret immediately. 2) Audit access logs for unauthorized use. 3) Remove from git history (git filter-repo or BFG). 4) Force-push cleaned history. 5) Notify affected teams. Speed matters — automated scrapers find leaked keys within minutes.	security-ir medium security secrets
What are the risks of granting unrestricted sudo?	Full root access means a compromised account owns the system. Use sudoers to allow only specific commands. Log all sudo usage. Avoid NOPASSWD for privileged commands. Prefer dedicated service accounts over broad sudo.	security-ir easy security sudo
Why is centralized logging important for incident response?	Attackers often tamper with local logs. Centralized logging (syslog, ELK, CloudWatch) preserves evidence, enables correlation across hosts, and provides a timeline. Without it, you may not detect or reconstruct an incident.	security-ir easy security logs
What are common indicators of compromise (IOCs) on a Linux host?	Unexpected processes or open ports, modified system binaries (check with rpm -V or debsums), new cron jobs or user accounts, unusual outbound connections, files with recent mtime in /tmp or /dev/shm, unfamiliar SSH authorized_keys entries.	security-ir medium security ioc
How do you contain a compromised Linux host without destroying evidence?	1) Isolate network (iptables DROP all or unplug). 2) Do NOT reboot — volatile memory holds evidence. 3) Disable compromised accounts. 4) Snapshot disk/memory if in cloud. 5) Block known malicious IPs at the firewall. Preserve before you clean.	security-ir medium incident-response containment
How do you detect if a kernel exploit was used for privilege escalation?	Check dmesg/syslog for kernel oops or segfaults. Look for exploit source code or compiled binaries in /tmp, /dev/shm. Check kernel version against known CVEs. Compare running kernel modules (lsmod) to baseline. Audit unexpected root processes.	security-ir hard security privilege-escalation
After credential exposure, what is the full remediation checklist?	1) Revoke/rotate the exposed credential immediately. 2) Identify scope of access the credential granted. 3) Audit logs for unauthorized use of the credential. 4) Check for lateral movement. 5) Update all systems using the credential. 6) Add detection for the old credential in logs.	security-ir medium security credentials
How do you audit for overly permissive IAM or file permissions?	Files: find / -perm -o+w -type f to find world-writable files. IAM (AWS): use Access Analyzer or review policies for Action: * or Resource: *. Locally: audit sudoers, check group memberships, review /etc/passwd for shell access. Automate with periodic scans.	security-ir medium security least-privilege
How do you establish a forensic timeline from Linux logs?	Merge auth.log, syslog, audit.log, and application logs into a single timeline sorted by timestamp. Correlate user logins with file changes (find -newer), process execution (auditd EXECVE records), and network connections. Tools: log2timeline/plaso, or manual grep + sort.	security-ir hard incident-response forensics
