---
tags:
- devops
- l1
- flashcard-deck
- nginx
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Nginx & Web Servers](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
nginx/084e06a09ed8	nginx	easy	nginx, architecture, workers	How does Nginx achieve high concurrency with minimal resources?	Nginx uses an event-driven, non-blocking architecture. A master process manages multiple worker processes, each running an event loop (epoll/kqueue) that handles thousands of connections. There is no thread-per-connection overhead, allowing 10K+ concurrent connections on modest hardware. Total max connections = worker_processes x worker_connections.\n\nRemember: nginx config: http→server(vhost)→location(path). Directives inherit downward.	training/library/topics/nginx-web-servers/primer.md
nginx/7cc847a83137	nginx	easy	nginx, config, testing	What command should you always run before reloading Nginx?	nginx -t to test the configuration syntax. Always run nginx -t before nginx -s reload. Reload is graceful (no dropped connections); restart drops connections and should be avoided in production.\n\nRemember: nginx = web server + reverse proxy + LB. Event-driven, 10K+ connections.\n\nFun fact: Created 2004 by Igor Sysoev for C10K problem. "engine-x."	training/library/topics/nginx-web-servers/primer.md
nginx/c1bdff2bce15	nginx	easy	nginx, server-blocks, virtual-hosts	How does Nginx select which server block handles a request?	1. Match the listen directive (IP:port). 2. Match server_name against the Host header. 3. If no match, use the default_server block. A catch-all block typically uses server_name _ (match nothing convention) and returns 444 to close unmatched connections.\n\nRemember: nginx config: http→server(vhost)→location(path). Directives inherit downward.	training/library/topics/nginx-web-servers/primer.md
nginx/83d51066f9b5	nginx	medium	nginx, location, matching	What is the Nginx location matching priority order?	From highest to lowest: 1. = (exact match), 2. ^~ (prefix, skips regex check), 3. ~ (case-sensitive regex) and ~* (case-insensitive regex) evaluated in config order, 4. plain prefix (longest match). Nginx first finds the longest prefix, then checks regex locations. First regex match wins. If no regex matches, the longest prefix is used.\n\nRemember: nginx = web server + reverse proxy + LB. Event-driven, 10K+ connections.\n\nFun fact: Created 2004 by Igor Sysoev for C10K problem. "engine-x."	training/library/topics/nginx-web-servers/primer.md
nginx/abb38e49365a	nginx	medium	nginx, proxy-pass, trailing-slash	Why does the trailing slash in proxy_pass matter?	Without trailing slash (proxy_pass http://backend): the location path is appended — /app/page goes to backend as /app/page. With trailing slash (proxy_pass http://backend/): the location path is replaced — /app/page goes to backend as /page. With a path (proxy_pass http://backend/v2/): location is replaced with the path — /app/page becomes /v2/page. This is a top-5 Nginx misconfiguration.\n\nRemember: nginx config: http→server(vhost)→location(path). Directives inherit downward.	training/library/topics/nginx-web-servers/primer.md
nginx/83a2ae97e588	nginx	medium	nginx, upstream, load-balancing	What load balancing methods does Nginx support and how are upstream health checks configured?	Methods: round_robin (default), least_conn, ip_hash (sticky sessions), hash $key (consistent hashing), random. Health checks (OSS): passive only — set max_fails=3 fail_timeout=30s per server. After 3 failures in 30 seconds, the server is marked down for 30 seconds. Use keepalive connections to backends for performance.\n\nRemember: nginx = web server + reverse proxy + LB. Event-driven, 10K+ connections.\n\nFun fact: Created 2004 by Igor Sysoev for C10K problem. "engine-x."	training/library/topics/nginx-web-servers/primer.md
nginx/eb5dc3945fa2	nginx	medium	nginx, ssl, tls	What are the key directives for modern TLS configuration in Nginx?	ssl_protocols TLSv1.2 TLSv1.3, ssl_ciphers with ECDHE suites, ssl_prefer_server_ciphers off, ssl_stapling on (OCSP stapling), ssl_session_cache shared:SSL:10m, ssl_session_tickets off, and add_header Strict-Transport-Security for HSTS. Redirect HTTP to HTTPS with a separate server block returning 301.\n\nRemember: nginx = web server + reverse proxy + LB. Event-driven, 10K+ connections.\n\nFun fact: Created 2004 by Igor Sysoev for C10K problem. "engine-x."	training/library/topics/nginx-web-servers/primer.md
nginx/edaffc6d09a1	nginx	hard	nginx, caching, proxy-cache	How do you configure Nginx proxy caching with stale content fallback?	Define proxy_cache_path with keys_zone, max_size, and inactive time. In the location block: proxy_cache my_cache, proxy_cache_valid 200 302 10m (cache successful responses for 10 minutes), proxy_cache_use_stale error timeout updating http_500 http_502 (serve stale content when backend is down). Add X-Cache-Status header for debugging cache hits vs misses.\n\nRemember: `nginx -t` tests. `nginx -s reload` = zero-downtime. Config: /etc/nginx/nginx.conf.	training/library/topics/nginx-web-servers/primer.md
nginx/513ccd8f384b	nginx	hard	nginx, rate-limiting, security	How does Nginx rate limiting work with burst and nodelay?	limit_req_zone defines a shared memory zone with a rate (e.g., 10r/s per IP using $binary_remote_addr). In the location: limit_req zone=api burst=20 nodelay. Burst=20 allows 20 requests to exceed the rate before rejecting. Nodelay processes burst requests immediately rather than delaying them. Excess requests beyond the burst get a 429 status (limit_req_status 429).\n\nExample: `limit_req_zone $binary_remote_addr zone=one:10m rate=10r/s;`	training/library/topics/nginx-web-servers/primer.md
nginx/8161dab5dea1	nginx	hard	nginx, websocket, proxy	How do you configure Nginx to proxy WebSocket connections?	Set proxy_http_version 1.1, proxy_set_header Upgrade $http_upgrade, and proxy_set_header Connection "upgrade" in the location block. Also set proxy_read_timeout to a high value (e.g., 86400 seconds) to prevent Nginx from closing idle WebSocket connections. Without these headers, the HTTP upgrade handshake fails and WebSocket connections are rejected.\n\nRemember: `nginx -t` tests. `nginx -s reload` = zero-downtime. Config: /etc/nginx/nginx.conf.	training/library/topics/nginx-web-servers/primer.md
