id	category	tags	topic_text	trivia_fact	source
sql/t001	sql	sql,naming,trademark	SEQUEL to SQL	SQL was originally called SEQUEL (Structured English Query Language) by its creators at IBM in 1974. They had to rename it to SQL because SEQUEL was trademarked by the Hawker Siddeley aircraft company. The pronunciation "sequel" persists despite the official name being S-Q-L.	ibm-research
sql/t002	sql	sql,execution,order	Execution Order Surprise	The SELECT-FROM-WHERE clause order in SQL does not match the actual execution order. The database engine processes FROM first, then WHERE, GROUP BY, HAVING, SELECT, ORDER BY, and finally LIMIT. This mismatch confuses beginners and even experienced developers.	sql-standard
sql/t003	sql	sql,null,logic	NULL Equals Nothing	In SQL, NULL is not equal to NULL. The expression NULL = NULL evaluates to UNKNOWN, not TRUE. SQL uses three-valued logic (TRUE, FALSE, UNKNOWN) because NULL represents an unknown value, not an empty one. This is why IS NULL exists instead of = NULL.	codd-1979
sql/t004	sql	sql,codd,relational	Relational Model Origins	Edgar F. Codd published "A Relational Model of Data for Large Shared Data Banks" in 1970 while at IBM. The relational model draws from set theory and first-order predicate logic. IBM initially resisted implementing it, and Oracle (then Relational Software) beat them to market.	codd-1970
sql/t005	sql	sql,stored-procedures,history	Procedures Before the Web	Stored procedures were introduced in Sybase SQL Server in the late 1980s, years before the World Wide Web existed (1991). They were designed to reduce network round trips on slow 1980s networks — a performance concern that ironically returned with microservices decades later.	sybase-history
sql/t006	sql	sql,impedance,mismatch	Impedance Mismatch	The "object-relational impedance mismatch" — the difficulty of mapping between OOP objects and relational tables — borrows its name from electrical engineering, where impedance mismatch causes signal reflection and power loss. Ted Neward called ORM the "Vietnam of Computer Science."	neward-2006
sql/t007	sql	sql,join,history	JOIN Syntax Evolution	The modern explicit JOIN syntax (SELECT ... FROM a JOIN b ON ...) was introduced in SQL-92. Before that, joins were written as comma-separated tables with WHERE conditions. Many developers still use the old implicit join syntax, which is harder to read and easier to accidentally create a cross join.	sql-92-standard
sql/t008	sql	sql,nosql,return	NoSQL to NewSQL	The NoSQL movement of 2009-2014 predicted SQL's death. Instead, NoSQL databases like MongoDB and Cassandra added SQL-like query languages, and "NewSQL" databases (CockroachDB, TiDB) emerged offering SQL interfaces with distributed architectures. SQL outlived its obituary.	stonebraker-2012
sql/t009	sql	sql,bobby-tables,injection	Bobby Tables	The XKCD comic "Exploits of a Mom" (2007) popularized SQL injection awareness through the character "Robert'); DROP TABLE Students;--" nicknamed "Bobby Tables." The website bobby-tables.com became a reference for parameterized query examples in every language.	xkcd-327
sql/t010	sql	sql,window,functions	Window Functions Revolution	Window functions (OVER, PARTITION BY, ROW_NUMBER) were added in SQL:2003 but took years for databases to implement. They eliminated the need for many self-joins and subqueries, and their adoption is considered the biggest practical improvement to SQL since JOIN syntax.	sql-2003-standard
