id	category	tags	topic_text	trivia_fact	source
dns/t001	dns	history,hosts,feinler	Before DNS: HOSTS.TXT	Before DNS, every hostname-to-IP mapping on the entire internet was maintained in a single file called HOSTS.TXT, managed by Elizabeth "Jake" Feinler and her team at SRI International. Sites had to FTP the file regularly to stay current. By 1983, the file was growing unsustainably and DNS was invented.	RFC 882, SRI-NIC history
dns/t002	dns	ttl,caching,design	Why TTL Exists	DNS TTL (Time To Live) was Paul Mockapetris's solution to the stale cache problem. Without it, DNS changes would never propagate because resolvers would cache forever. The tension between low TTLs (fast propagation) and high TTLs (less load) remains one of DNS's fundamental operational tradeoffs.	RFC 1035
dns/t003	dns	root,anycast,myth	The 13 Root Server Myth	There are only 13 root server "identities" (A through M), but there are actually over 1,700 physical root server instances worldwide via anycast routing. The "13" limit exists because the original root server list had to fit in a single 512-byte UDP DNS response.	root-servers.org
dns/t004	dns	postel,root,control	Postel's Root Server Moment	In 1998, Jon Postel — the "god of the internet" — unilaterally redirected 8 of the 13 root servers to his own machine at USC to demonstrate that IANA (which he ran) controlled the root. The US government reacted strongly, and Postel reversed it within a week. He died later that year.	IANA history, RFC 2468
dns/t005	dns	tld,naming,history	Why .com, .org, .net	The original 1985 top-level domains were chosen pragmatically: .com for commercial, .org for organizations, .net for network infrastructure, .edu for education, .gov for government, .mil for military. The ".com" designation was supposed to be just for businesses, but the restriction was never enforced.	RFC 920
dns/t006	dns	idn,punycode,encoding	Punycode: Unicode in DNS	DNS was designed for ASCII only, so Internationalized Domain Names use "Punycode" encoding — a scheme where "münchen.de" becomes "xn--mnchen-3ya.de". The "xn--" prefix signals Punycode. This has enabled phishing attacks using lookalike Unicode characters (homograph attacks).	RFC 3492
dns/t007	dns	phonebook,analogy,naming	The Internet Phonebook	DNS is commonly called "the phonebook of the internet," but the analogy predates the web. Paul Mockapetris used the telephone directory comparison in his original 1983 design documents to explain why a hierarchical, distributed system would scale better than a single flat file.	RFC 882, Mockapetris interviews
dns/t008	dns	kaminsky,vulnerability,2008	The Kaminsky DNS Bug	In 2008, Dan Kaminsky discovered a fundamental DNS cache poisoning vulnerability that affected virtually every DNS implementation worldwide. The coordinated disclosure was unprecedented — vendors secretly patched together before the announcement. Kaminsky found that an attacker could forge responses by racing the legitimate answer.	Black Hat 2008, CVE-2008-1447
dns/t009	dns	dnssec,delay,history	DNSSEC's 20-Year Journey	DNSSEC was first proposed in 1990 but the root zone wasn't signed until July 2010 — a 20-year gap. The delays came from key management complexity, political battles over who controls the root signing key, and the challenge of deploying cryptography to a system designed without it.	RFC 4033, ICANN
dns/t010	dns	nxdomain,hijacking,controversy	NXDOMAIN Hijacking	In 2003, VeriSign hijacked all non-existent .com and .net domains by resolving them to their own "Site Finder" advertising page. ICANN ordered them to stop. This incident highlighted a fundamental tension: the entity operating a TLD's nameservers has enormous power over the internet.	ICANN advisory, 2003
dns/t011	dns	recursion,design,hierarchy	DNS Recursion Design	DNS's hierarchical design is so efficient that resolving "www.example.com" typically requires at most 4 queries (root → .com → example.com → www). With caching, most queries hit a cached result within 1-2 hops. This design handles trillions of queries daily with remarkably few root server hits.	RFC 1034
dns/t012	dns	glue,records,chicken-egg	Glue Records Solve Chicken-and-Egg	If "ns1.example.com" is the nameserver for "example.com," how do you look up the nameserver's IP without already knowing it? This circular dependency is solved by "glue records" — the parent zone (.com) includes the nameserver's IP directly alongside the NS delegation. It's one of DNS's most elegant hacks.	RFC 1034
dns/t013	dns	reverse,dns,ptr	Reverse DNS Is Backwards	Reverse DNS lookups use the "in-addr.arpa" domain with IP octets reversed: 1.2.3.4 becomes 4.3.2.1.in-addr.arpa. The reversal exists because DNS is hierarchical from right to left, while IP addresses are hierarchical from left to right. The "arpa" TLD is the oldest still in use, dating to the ARPANET.	RFC 1035
dns/t014	dns	ttl,low,cdn	The Low-TTL Revolution	Early DNS best practice recommended TTLs of 24-48 hours. CDNs like Akamai and Cloudflare drove TTLs down to 60-300 seconds to enable rapid failover and traffic steering. This increased DNS query volume by orders of magnitude but made the internet far more resilient to outages.	CDN industry practice
dns/t015	dns	anycast,routing,resilience	DNS Anycast Explained	Root and major DNS servers use anycast — the same IP address is announced from hundreds of locations worldwide. Your query automatically reaches the nearest instance via BGP routing. This makes DNS nearly impossible to DDoS globally and keeps latency low without clients needing to know server locations.	RFC 4786
dns/t016	dns	query,types,evolution	DNS Record Type Explosion	The original DNS had only a handful of record types (A, NS, CNAME, SOA, MX). Today there are over 90 registered types including AAAA (IPv6), SRV (service discovery), TLSA (DANE certificates), CAA (certificate authority authorization), and HTTPS (connection parameters). DNS has become a general-purpose distributed database.	IANA DNS parameters
dns/t017	dns	dot,trailing,fqdn	The Trailing Dot Mystery	A fully qualified domain name technically ends with a dot: "example.com." The trailing dot represents the DNS root zone. Browsers hide it, but misconfigured systems sometimes expose it. Omitting the dot makes a name "relative" — the resolver may append search domains, causing surprising behavior.	RFC 1034
dns/t018	dns	hosts,file,still-used	/etc/hosts Still Wins	Despite DNS being 40+ years old, the /etc/hosts file still takes priority over DNS on most operating systems. This pre-DNS relic is checked first by the resolver, making it both a useful debugging tool and a security concern — malware frequently modifies it to hijack domain resolution.	nsswitch.conf, OS resolver docs
dns/t019	dns	first,domain,symbolics	First .com Domain	The first .com domain ever registered was symbolics.com on March 15, 1985, by Symbolics Inc., a now-defunct Lisp machine manufacturer. Only six .com domains were registered in all of 1985. Today, there are over 160 million .com registrations.	WHOIS historical records
dns/t020	dns	happy,eyeballs,ipv6	Happy Eyeballs Algorithm	When a domain has both IPv4 (A) and IPv6 (AAAA) records, modern browsers use the "Happy Eyeballs" algorithm (RFC 8305): they race both connections simultaneously and use whichever responds first. This pragmatic approach solved the IPv6 transition's "slow fallback" problem without requiring users to choose.	RFC 8305
