---
tags:
- datacenter
- l1
- flashcard-deck
- vmware
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [VMware](../../../../library/portal/topics.md) | **Domain:** Datacenter & Hardware
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
vmware/a1b2c3d4e5f0	vmware	easy	vmware, esxi, hypervisor	What is ESXi and what type of hypervisor is it?	ESXi is VMware's bare-metal (Type 1) hypervisor. It installs directly on server hardware with a minimal footprint (~150MB). It runs a custom VMkernel, not a full Linux OS. The Direct Console User Interface (DCUI) provides emergency host configuration.\n\nRemember: "ESXi = bare metal, no host OS underneath."	training/library/topics/vmware/primer.md
vmware/b2c3d4e5f6a1	vmware	easy	vmware, vcenter, management	What is vCenter and what does it provide?	vCenter is the centralized management plane for ESXi hosts. It provides: inventory management (hosts, clusters, datacenters), vMotion (live migration), DRS (automatic load balancing), HA (auto-restart VMs on failure), RBAC, templates, and clones. It runs as the vCenter Server Appliance (VCSA) on Photon OS.	training/library/topics/vmware/primer.md
vmware/c3d4e5f6a1b2	vmware	easy	vmware, vmotion, migration	What is vMotion?	vMotion live-migrates a running VM from one ESXi host to another with near-zero downtime. It iteratively copies memory pages to the destination, briefly stuns the VM (<1 second), then resumes it on the new host. Requirements: shared storage (or Storage vMotion), compatible CPUs (EVC mode), and a dedicated vMotion network (10G+ recommended).	training/library/topics/vmware/primer.md
vmware/d4e5f6a1b2c3	vmware	easy	vmware, tools, guest	Why is VMware Tools (open-vm-tools) essential inside guest VMs?	Without VMware Tools: no graceful shutdown (only hard power-off), no memory ballooning, no quiesced snapshots, no heartbeat monitoring for HA, degraded network/disk performance, and inaccurate metrics. On Linux, install the open-vm-tools package. On Windows, install from the mounted ISO.	training/library/topics/vmware/primer.md
vmware/e5f6a1b2c3d4	vmware	easy	vmware, ha, availability	What does vSphere HA do?	vSphere HA monitors host heartbeats (via network and datastore). If a host fails, HA automatically restarts the failed host's VMs on surviving cluster members. Admission control reserves capacity to ensure there are enough resources to restart VMs after a failure.	training/library/topics/vmware/primer.md
vmware/f6a1b2c3d4e5	vmware	easy	vmware, drs, scheduling	What does DRS (Distributed Resource Scheduler) do?	DRS automatically balances VM workloads across cluster hosts by recommending or performing vMotion migrations. Automation levels: Manual (suggestions only), Partially Automated (initial placement only), Fully Automated (ongoing rebalancing). Affinity/anti-affinity rules control which VMs should or should not be co-located.	training/library/topics/vmware/primer.md
vmware/a7b8c9d0e1f2	vmware	easy	vmware, storage, vmfs	What is VMFS?	VMFS (Virtual Machine File System) is VMware's clustered filesystem for block storage (FC and iSCSI). VMFS 6 supports volumes up to 64TB. It uses on-disk locking (ATS) to allow multiple ESXi hosts to access the same datastore safely. VMFS is the traditional and most common storage option for ESXi.	training/library/topics/vmware/primer.md
vmware/b8c9d0e1f2a3	vmware	easy	vmware, cli, esxcli	What are the two main CLI tools on an ESXi host?	esxcli: manages host configuration — hardware, network, storage, software, and system settings. vim-cmd: manages VM lifecycle — list VMs (vmsvc/getallvms), power on/off, create/delete snapshots. Both are used over SSH or via the DCUI shell.	training/library/topics/vmware/primer.md
vmware/c9d0e1f2a3b4	vmware	medium	vmware, evc, compatibility	What is EVC mode and why is it critical for clusters?	Enhanced vMotion Compatibility (EVC) masks CPU features to the lowest common denominator in the cluster. Without EVC, vMotion between hosts with different CPU generations fails — often discovered during a host failure when HA tries to restart VMs on a different-generation host. Set EVC when creating the cluster; changing it later requires powering off all VMs.	training/library/topics/vmware/primer.md
vmware/d0e1f2a3b4c5	vmware	medium	vmware, vsan, storage	How does vSAN work and what are its minimum requirements?	vSAN aggregates local disks across ESXi hosts into a distributed datastore. Each host contributes disk groups (1 cache SSD + 1-7 capacity devices). Storage policies define redundancy: FTT=1 (tolerate 1 failure, minimum 3 hosts, RAID-1) or FTT=1 with RAID-5 (minimum 4 hosts, erasure coding). vSAN eliminates the need for external SAN hardware.	training/library/topics/vmware/primer.md
