---
tags:
- observability
- l1
- flashcard-deck
- alerting
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Alerting Rules](../../../../library/portal/topics.md) | **Domain:** Observability
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
alerting/a1e2f3b4c5d6	alerting	easy	alerting, severity	What are the three standard alert severity levels and their expected response?	Critical: customer-facing impact now, page immediately. Warning: will become critical soon, Slack notification. Info: informational, dashboard only.\n\nRemember: CWI — Critical (page), Warning (notify), Info (dashboard). Think 'Can We Ignore?' — Critical no, Warning maybe, Info yes.\n\nGotcha: never add a fourth level like 'emergency' — it fragments routing and causes confusion about who gets paged.\n\nExample: PagerDuty routes Critical to phone call, Warning to Slack #alerts, Info to dashboard-only widget.	training/library/topics/alerting-rules/primer.md
alerting/b2f3a4c5d6e7	alerting	easy	alerting, for-duration	"What does the ""for"" field do in a Prometheus alert rule?"	It specifies how long the condition must be true before the alert fires, acting as a debounce to avoid alerting on brief transient spikes.\n\nExample: for: 5m means 'only fire if error rate > 5% for 5 continuous minutes' — transient 30-second spikes are ignored.\n\nGotcha: setting for: 0s (or omitting it) fires on every brief spike, causing alert fatigue. Start with 2m minimum for critical, 5m for warning.\n\nRemember: 'for' = 'for how long must this be broken before I wake someone up?'	training/library/topics/alerting-rules/primer.md
alerting/c3a4b5d6e7f8	alerting	easy	alerting, symptoms	Why should you alert on symptoms rather than causes?	Users care about service impact (errors, latency), not internal causes (CPU, memory). Symptom-based alerts ensure you only page when customers are affected.\n\nRemember: USE for resources (Utilization, Saturation, Errors), RED for services (Rate, Errors, Duration). Alert on RED — those are symptoms.\n\nExample: alert on 'HTTP 500 rate > 1%' (symptom), not 'CPU > 80%' (cause). CPU can spike without user impact.	training/library/topics/observability-deep-dive/primer.md
alerting/d4b5c6e7f8a9	alerting	medium	alerting, alertmanager, routing	How does Alertmanager route alerts to different receivers?	Using a routing tree in its config. Routes match on alert labels (e.g., severity: critical goes to PagerDuty, severity: warning goes to Slack). The route tree supports nested matching with group_by, group_wait, and repeat_interval.\n\nRemember: Alertmanager routing is a label-matching tree. More specific routes should be nested inside broader ones. Test routing with amtool config routes test.\n\nExample: route: receiver=default, then child routes: match severity=critical -> PagerDuty, match team=platform -> platform-slack.	training/library/topics/alerting-rules/primer.md
alerting/e5c6d7f8a9b0	alerting	medium	alerting, alertmanager, grouping	What is alert grouping in Alertmanager and why is it important?	Grouping batches related alerts (e.g., by alertname and namespace) into a single notification using group_by. Without grouping, a cluster-wide issue could fire hundreds of individual alerts, overwhelming the on-call engineer.\n\nExample: group_by: [alertname, namespace] batches all OOMKilled alerts in the payments namespace into one Slack message instead of 50.\n\nGotcha: over-grouping (group_by: [alertname] only) merges unrelated clusters. Under-grouping (too many labels) sends one message per pod.	training/library/topics/alerting-rules/primer.md
alerting/f6d7e8a9b0c1	alerting	medium	alerting, inhibition	What is alert inhibition in Alertmanager?	Inhibition suppresses lower-priority alerts when a higher-priority alert is already firing. For example, if a NodeDown critical alert fires, all warning-level pod alerts on that node are suppressed to reduce noise.\n\nRemember: 'Inhibit = upstream silences downstream.' NodeDown inhibits PodCrashLoop because pods cannot run on a dead node.\n\nExample: source_matchers: [alertname=NodeDown, severity=critical], target_matchers: [severity=warning], equal: [node].	training/library/topics/alerting-rules/primer.md
alerting/a7e8f9b0c1d2	alerting	medium	alerting, alert-fatigue, anti-patterns	What is alert fatigue and how do you prevent it?	Alert fatigue occurs when too many alerts fire, causing on-call engineers to ignore them. Prevent it by only alerting on customer-facing symptoms, using appropriate for durations, setting proper severity levels, and linking every alert to a runbook.\n\nRemember: RAST — Runbooks, Appropriate severity, Silence stale alerts, Tune for-durations. If an alert has no runbook, delete it.\n\nFun fact: Google SRE found teams with >100 alerts/week had worse incident response than teams with <10 well-tuned alerts.	training/library/topics/alerting-rules/primer.md
alerting/b8f9a0c1d2e3	alerting	hard	alerting, silences	What are Alertmanager silences and when should you use them?	Silences temporarily mute specific alerts by matching on labels. Use them during planned maintenance windows or known issues being worked on, to avoid distracting the on-call team. They should be time-bounded and documented.\n\nGotcha: unbounded silences (no expiry) are the #1 cause of missed incidents. Always set an expiry and document the reason.\n\nExample: amtool silence add alertname=HighMemory --duration=2h --comment='Known issue JIRA-1234, deploying fix at 3pm'.	training/library/topics/alerting-rules/primer.md
alerting/c9a0b1d2e3f4	alerting	hard	alerting, low-traffic, thresholds	Why is alerting on error rate dangerous for low-traffic services, and how do you fix it?	A single error on 10 requests yields a 10% error rate, triggering a false alert. Fix by adding a minimum request threshold (e.g., rate > 0.05 AND sum(rate(requests[5m])) > 10) so the alert only fires when traffic volume is meaningful.\n\nRemember: 'Volume before velocity' — always pair rate alerts with a minimum traffic threshold to avoid false positives on low-volume services.\n\nExample: rate(http_errors[5m]) / rate(http_requests[5m]) > 0.05 AND rate(http_requests[5m]) > 0.1 (at least ~6 req/min).	training/library/topics/alerting-rules/primer.md
alerting/d0b1c2e3f4a5	alerting	hard	alerting, runbooks, annotations	What should a well-designed alert rule include beyond the PromQL expression?	A for duration to debounce, severity label for routing, annotations with summary and description (using template variables like {{ $value }}), and a runbook_url linking to documented fix steps for the on-call engineer.\n\nRemember: FSAR — For duration, Severity label, Annotations (summary + description), Runbook URL. Every production alert needs all four.\n\nExample: annotations: { summary: 'High error rate on {{ $labels.service }}', runbook_url: 'https://wiki.example.com/runbooks/high-error-rate' }.	training/library/topics/alerting-rules/primer.md
alerting/e1c2d3f4a5b6	alerting	easy	alerting, suppression, maintenance	What is alert suppression and when should you use it?	Alert suppression temporarily mutes specific alerts by label match. Use during planned maintenance windows (e.g., database migration), known incidents already being worked, or noisy alerts pending a fix. Always set a time-bound expiry so suppressed alerts automatically resume. Unbounded suppressions are a leading cause of missed incidents.\n\nGotcha: unbounded suppressions are worse than no suppression — you forget about them and miss real incidents. Always set TTL.\n\nRemember: suppress = 'I know about this and am handling it.' Not the same as ignoring.	
alerting/f2d3e4a5b6c7	alerting	medium	alerting, severity, classification	How should you define alert severity levels to drive consistent response?	Critical (P1): customer-facing impact right now, page immediately, 5-min ack SLA.\nWarning (P2): will degrade within hours, Slack notify, 30-min ack SLA.\nInfo (P3): anomaly worth noting, dashboard only, no notification.\nEach level must have a clear escalation path, defined response time, and documented notification channel. Ambiguous severity leads to either over-paging or missed incidents.\n\nRemember: severity levels must map to notification channels and SLAs. If Critical and Warning both go to Slack, your severity model is broken.	
alerting/a3e4f5b6c7d8	alerting	medium	alerting, routing, escalation	How does Alertmanager route alerts to different teams and escalation tiers?	Routes match on labels: team=platform goes to the platform Slack channel, severity=critical routes to PagerDuty. Nested routes allow refinement (e.g., team=platform AND service=database goes to the DBA pager). Use group_wait (30s) to batch initial alerts, group_interval (5m) for subsequent batches, and repeat_interval (4h) to avoid re-notifying for the same alert.\n\nRemember: Alertmanager routing is a label-matching tree. More specific routes should be nested inside broader ones. Test routing with amtool config routes test.\n\nExample: route: receiver=default, then child routes: match severity=critical -> PagerDuty, match team=platform -> platform-slack.	
alerting/b4f5a6c7d8e9	alerting	hard	alerting, inhibition, rules	How do you configure inhibition rules to reduce cascading alert noise?	In Alertmanager config, inhibit_rules suppress target alerts when a source alert is firing. Example: when a NodeDown alert fires (source: alertname=NodeDown, severity=critical), suppress all pod alerts on that node (target: severity=warning, equal: [node]). The equal field ensures the source and target share the same node label. This prevents hundreds of pod alerts when the real issue is a dead node.\n\nRemember: 'Inhibit = upstream silences downstream.' NodeDown inhibits PodCrashLoop because pods cannot run on a dead node.\n\nExample: source_matchers: [alertname=NodeDown, severity=critical], target_matchers: [severity=warning], equal: [node].	
alerting/c5a6b7d8e9f0	alerting	medium	alerting, correlation, deduplication	What is alert correlation and how does it reduce noise during large-scale failures?	Alert correlation groups related alerts that fire during the same incident — e.g., high latency + elevated errors + database connection pool exhausted are likely one root cause, not three separate incidents. Alertmanager's group_by achieves basic correlation. Advanced tools (PagerDuty, BigPanda) use ML and topology to merge related alerts into a single incident automatically.\n\nRemember: correlation reduces N alerts to 1 incident. The formula: fewer pages = faster response = less burnout.	
alerting/d6b7c8e9f0a1	alerting	hard	alerting, slo, burn-rate	How do SLO-based burn-rate alerts work and why are they superior to threshold alerts?	"Instead of alerting on ""error rate > 5%"", burn-rate alerts measure how fast you are consuming your error budget. A 14.4x burn rate over 1 hour means you will exhaust your monthly error budget in 2 days. Multi-window alerts (fast burn over 1h AND slow burn over 6h) catch both sudden spikes and slow degradations while avoiding false positives from brief transients.\n\nRemember: burn rate = actual error rate / SLO error budget rate. A 14.4x burn rate means 'at this pace, you exhaust your monthly budget in 2 days.'"	
alerting/e7c8d9f0a1b2	alerting	easy	alerting, fatigue, prevention	What are the top three practices to prevent alert fatigue in an on-call team?	1. Every alert must have a runbook — if there is no documented action, delete the alert.\n2. Review alert frequency monthly — alerts firing more than once a week need permanent fixes, not repeated manual response.\n3. Tune for-durations and thresholds — a 10-second CPU spike is not worth waking someone at 3 AM. Set for: 5m minimum for warning, 2m for critical.\n\nRemember: RAST — Runbooks, Appropriate severity, Silence stale alerts, Tune for-durations. If an alert has no runbook, delete it.\n\nFun fact: Google SRE found teams with >100 alerts/week had worse incident response than teams with <10 well-tuned alerts.	
