---
tags:
- devops
- l1
- flashcard-deck
- repo
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Git](../../../../library/portal/topics.md) | **Domain:** DevOps & Tooling
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
repo/0929ef362048	repo	easy	repo, ci-integration, git	3. What is _PEP 8_ and why is it important?	**PEP 8** is Python's official style guide promoting readable, consistent code.\n\nKey rules:\n- 4-space indentation, 79-char line length\n- `CamelCase` for classes, `snake_case` for functions/variables\n- Surround operators with spaces, use blank lines to separate logical sections\n- Triple-quote docstrings for documentation\n\nIt matters because consistent style reduces cognitive load when reading or contributing to code. Tools like `flake8`, `black`, and `ruff` enforce PEP 8 automatically.	projects/knowledge/interview/repo/003-3-what-is-pep-8-and-why-is-it-important.txt
repo/15ed1e2e88b5	repo	easy	repo, git, branching	6. Explain the `LIFO` scheme.?	Solution: LIFO is a short form of Last In First Out. It refers how data is accessed, stored and retrieved. Using this scheme, data that was stored last should be the one to be extracted first. This also means that in order to gain access to the first data, all the other data that was stored before this first data must first be retrieved and extracted.	projects/knowledge/interview/repo/024-6-explain-the-lifo-scheme.txt
repo/216dfaf28ff2	repo	easy	repo, git, branching	2. How to find the `loop` or `cycle` in a linked list in one pass ?	Solution: Start with two pointer `p` and `q`. For every second iteration of `p`, iterate `q`. If `p` and `q` are pointing to the same node, there is a loop or cycle present.\n\nGotcha: Monorepo tooling (Bazel, Nx, Turborepo) is essential at scale — plain git and make struggle with thousands of packages.	projects/knowledge/interview/repo/020-2-how-to-find-the-loop-or-cycle-in-a-linked-list-i.txt
repo/287da27206ad	repo	easy	repo, git, branching	3. How to find the `k th` element from the end of a linked list in one pass ?	Solution: Start with two pointer `p` and `q`. When the `p` pointer reahces upto the `k th` element, increment `q`.When `p` reaches the end of the list. `q` is ponting to the element 'k th' from the end.\n\nRemember: "Trunk-based = short-lived branches, frequent merges." Branches live hours to days, not weeks.\n\nExample: Developer creates branch, makes small change, opens PR, merges same day.	projects/knowledge/interview/repo/021-3-how-to-find-the-k-th-element-from-the-end-of-a-l.txt
repo/31de9298ecfa	repo	hard	repo, ci-integration, git	4. How is memory allocation and garbage collection handled in _Python_?	Python uses **reference counting** as its primary memory management: each object tracks how many references point to it, and is freed when the count drops to zero. A **cyclic garbage collector** handles circular references that reference counting cannot resolve.\n\nMemory is allocated from a private heap managed by Python's memory manager. The `gc` module lets you inspect and control garbage collection (e.g., `gc.collect()` to force a cycle). The `del` statement removes a reference but does not guarantee immediate deallocation.	projects/knowledge/interview/repo/004-4-how-is-memory-allocation-and-garbage-collection-.txt
repo/3fc086e3aeae	repo	easy	repo, git, branching	4. List some real world applications of linked list ?	Solution:\n\n*Image viewer* – Previous and next images are linked, hence can be accessed by next and previous button.\n\n*Previous and next page in web browser* – We can access previous and next url searched in web browser by pressing back and next button since, they are linked as linked list.\n\n*Music Player* – Songs in music player are linked to previous and next song. you can play songs either from starting or ending of the list.	projects/knowledge/interview/repo/022-4-list-some-real-world-applications-of-linked-list.txt
repo/429bb5971e0d	repo	easy	repo, git, branching	13. Explain _*args_ and _**kwargs_ in _Python_.?	`*args` collects extra positional arguments into a tuple. `**kwargs` collects extra keyword arguments into a dictionary.\n\n```python\ndef example(*args, **kwargs):\n    print(args)    # (1, 2, 3)\n    print(kwargs)  # {'key': 'value'}\nexample(1, 2, 3, key='value')\n```\n\nUse them to write flexible functions that accept variable numbers of arguments. They are also essential for decorators and forwarding arguments to other functions.	projects/knowledge/interview/repo/013-13-explain-args-and-kwargs-in-python.txt
repo/488118b290d4	repo	medium	repo, git, branching	14. What are _decorators_ in _Python_?	Decorators are functions that modify the behavior of other functions or classes. They use the `@decorator` syntax and wrap the target function.\n\n```python\n@my_decorator\ndef my_func():\n    pass\n# Equivalent to: my_func = my_decorator(my_func)\n```\n\nCommon uses: logging, timing, authentication, caching (`@functools.lru_cache`), and framework features like Flask's `@app.route`. Use `@functools.wraps` inside your decorator to preserve the original function's name and docstring.	projects/knowledge/interview/repo/014-14-what-are-decorators-in-python.txt
repo/4df8f7a2d753	repo	medium	repo, git, branching	15. How can you create a _module_ in _Python_?	A Python module is any `.py` file. A package is a directory with an `__init__.py` file containing modules.\n\nCreate a module: write functions/classes in a `.py` file, then `import` it by filename. Create a package: make a directory, add `__init__.py`, and place modules inside.\n\nUse `__all__` in `__init__.py` to control what `from package import *` exports. Install third-party packages with `pip install`. The `sys.path` list determines where Python searches for imports.	projects/knowledge/interview/repo/015-15-how-can-you-create-a-module-in-python.txt
repo/542da2ada0e6	repo	medium	repo, git, branching	8. What is the difference between _list_ and _tuple_?	**List**: Mutable, ordered, uses `[]`. Elements can be changed, added, or removed after creation. Slightly slower due to mutability overhead.\n**Tuple**: Immutable, ordered, uses `()`. Cannot be modified after creation. Faster and uses less memory.\n\nUse tuples for fixed collections (coordinates, dict keys, function return values). Use lists when you need to modify the collection. Tuples are hashable (if contents are hashable), lists are not.	projects/knowledge/interview/repo/008-8-what-is-the-difference-between-list-and-tuple.txt
