---
tags:
- k8s
- l1
- flashcard-deck
- istio
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Istio Service Mesh](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
istio/3a1f8c2e4b7d	istio	easy	istio, architecture, istiod	What three former Istio components were merged into istiod in Istio 1.5?	Pilot (xDS config distribution), Citadel (certificate/identity management), and Galley (config validation and ingestion).\n\nName origin: Istio is Greek for sail — navigating the sea of microservices. Created by Google, IBM, and Lyft in 2017.\n\nRemember: PiCG — Pilot, Citadel, Galley merged into istiod. The merge simplified deployment from 3 pods to 1.\n\nGotcha: Pre-1.5 Istio documentation references these as separate components. Post-1.5, they are internal modules of istiod.	training/library/topics/istio/primer.md
istio/7b2d9e5f1a3c	istio	easy	istio, architecture, envoy	What is the role of the Envoy sidecar in an Istio mesh?	The Envoy proxy is injected alongside each application pod (data plane). It intercepts all inbound and outbound traffic for that pod, handling load balancing, retries, mTLS, circuit breaking, and telemetry — without the application knowing.	training/library/topics/istio/primer.md
istio/c4e7a0b2d9f6	istio	easy	istio, injection, namespace	How do you enable automatic Istio sidecar injection for an entire namespace?	Label the namespace: `kubectl label namespace <ns> istio-injection=enabled`. All new pods will get an istio-proxy sidecar. Existing pods must be restarted.\n\nGotcha: Existing pods must be restarted to get the sidecar: `kubectl rollout restart deployment -n <ns>`.\n\nRemember: Per-pod opt-out: annotate with sidecar.istio.io/inject: false. Per-namespace opt-in: the label above.\n\nDebug clue: `kubectl get pod -o jsonpath='{.spec.containers[*].name}'` — look for istio-proxy.	training/library/topics/istio/primer.md
istio/f1e3b8d0a5c2	istio	easy	istio, mtls, peer-authentication	What are the three mTLS modes in a PeerAuthentication resource?	STRICT (only mTLS accepted, plaintext rejected), PERMISSIVE (both mTLS and plaintext accepted), and DISABLE (no mTLS). PERMISSIVE is for migration; STRICT is the production target.\n\nRemember: SPD — Strict, Permissive, Disable. Production target = STRICT. Migration tool = PERMISSIVE.\n\nGotcha: Switching from PERMISSIVE to STRICT can break health checks from kubelet (no sidecar) and external monitoring tools. Test in staging first.	training/library/topics/istio/primer.md
istio/0d6c9a4e1f7b	istio	easy	istio, observability, kiali	What is Kiali and what does it show?	Kiali is the Istio-native service graph UI. It reads Prometheus metrics and Istio config to show a live topology of service-to-service communication, traffic error rates, mTLS status per connection, and config validation warnings.	training/library/topics/istio/primer.md
istio/8e2f5c3d7a1b	istio	easy	istio, canary, virtualservice	How does Istio canary routing differ from Kubernetes native rolling updates?	Kubernetes splits traffic by pod replica ratio (5 v2 pods out of 100 = 5% traffic). Istio splits traffic by explicit percentage weight in the VirtualService, independent of replica count. You can send 5% to v2 while running only 1 v2 replica.	training/library/topics/istio/primer.md
istio/9a4b7e0f2c5d	istio	easy	istio, istioctl, analysis	What command validates Istio config across the entire cluster for issues?	`istioctl analyze` — checks for host mismatches, missing DestinationRule subsets, Gateway/VirtualService host conflicts, and other logical errors. Use `istioctl analyze -n <namespace>` for a single namespace.\n\nRemember: `istioctl analyze` is like `terraform validate` for Istio — catches config errors before they cause traffic failures.\n\nGotcha: istioctl analyze checks config validity but NOT whether the data plane actually applied it. Use `istioctl proxy-status` for that.	training/library/topics/istio/street_ops.md
istio/2c8d1f6a9e3b	istio	easy	istio, proxy-status, sync	What does `istioctl proxy-status` show and what does STALE mean?	It shows the xDS sync state for every sidecar in the mesh — whether each proxy's routes, clusters, listeners, and endpoints are SYNCED or STALE. STALE means the proxy has not received the latest config from istiod.	training/library/topics/istio/street_ops.md
istio/6f3a0c8b5e1d	istio	easy	istio, tracing, headers	When using Istio distributed tracing, what must the application do?	The application must propagate trace context headers between upstream and downstream calls. Istio injects headers on ingress but cannot trace through application logic automatically. Headers to forward: x-request-id, x-b3-traceid, x-b3-spanid, x-b3-parentspanid, x-b3-sampled.	training/library/topics/istio/primer.md
istio/b7d4e9c2f0a5	istio	medium	istio, virtualservice, routing	What is the difference between a VirtualService and a DestinationRule?	VirtualService defines routing rules — how requests to a hostname are matched and forwarded (weights, header matches, retries, fault injection). DestinationRule defines traffic policies for a destination — subsets (pod label groups), load balancing algorithm, connection pool limits, and outlier detection.	training/library/topics/istio/primer.md
istio/4a1c6f8e2d9b	istio	medium	istio, gateway, ingress	How does an Istio Gateway differ from a Kubernetes Ingress resource?	A Kubernetes Ingress relies on an Ingress controller and offers limited configuration. An Istio Gateway runs on a dedicated Envoy pod (not a sidecar), supports full Istio traffic management (VirtualService routing, fault injection, retries), and is controlled by `Gateway` + `VirtualService` resources rather than Ingress annotations.	training/library/topics/istio/primer.md
istio/d0e5b3a7c4f9	istio	medium	istio, authorization-policy, rbac	What is the default behavior when an AuthorizationPolicy exists in a namespace?	Once any AuthorizationPolicy is created in a namespace, all traffic not explicitly allowed by a policy is denied. An empty AuthorizationPolicy with no rules blocks all traffic. This is default-deny.	training/library/topics/istio/primer.md
istio/7c2a9f1e5b8d	istio	medium	istio, spiffe, identity	What is a SPIFFE identity and how does Istio use it?	SPIFFE (Secure Production Identity Framework for Everyone) defines a URI format for workload identity: `spiffe://<trust-domain>/ns/<namespace>/sa/<serviceaccount>`. Istiod issues X.509 certificates encoding this identity to every pod. AuthorizationPolicy source principals reference SPIFFE identities, enabling identity-based (not IP-based) authorization.	training/library/topics/istio/primer.md
istio/1e8b4d0f3c6a	istio	medium	istio, sidecar-resource, performance	What does the Sidecar resource do and why should every namespace have one?	The Sidecar resource scopes which services a proxy can see in its xDS configuration. Without it, every sidecar in a 200-service mesh receives config for all 200 services — most of which it never calls — bloating memory and slowing config push. A default Sidecar resource limits egress to only services the namespace actually needs.	training/library/topics/istio/primer.md
istio/5f9c2a8e1b4d	istio	medium	istio, fault-injection, chaos	How do you inject a 7-second delay on 50% of requests to a service using Istio?	Add a `fault.delay` block to the VirtualService: set `fixedDelay: 7s` and `percentage.value: 50`. The fault is applied at the sidecar before the request reaches the upstream pod. Always remove after testing — left-in fault injection is a common self-inflicted outage cause.	training/library/topics/istio/primer.md
istio/3b7d5e0a9c2f	istio	medium	istio, proxy-config, debug	What does `istioctl proxy-config routes <pod>.<ns>` show?	It shows all virtual hosts and route rules that the sidecar's Envoy proxy knows about — which hostnames it can reach and how requests to each are routed. Useful to verify that a VirtualService has been pushed to and accepted by a specific sidecar.	training/library/topics/istio/street_ops.md
istio/a6e1c4f8b0d3	istio	medium	istio, footgun, permissive	Why is leaving mTLS in PERMISSIVE mode a security problem?	PERMISSIVE accepts both mTLS and plaintext. Services are called over plaintext from callers without sidecars, external tools, or old Jobs — all without any errors. You believe you have mTLS encryption and authentication, but traffic is actually flowing in plaintext. PERMISSIVE is a migration tool, not a production setting.	training/library/topics/istio/footguns.md
