---
tags:
- k8s
- l1
- flashcard-deck
- k8s-ops
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Core](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-ops/0020ca6b4d48	k8s-ops	hard	kubernetes, etcd-ops, cert-rotation, kubectl	Do you have experience with deploying a Kubernetes cluster? If so, can you describe the process in high-level?	1. Create multiple instances you will use as Kubernetes nodes/workers. Create also an instance to act as the Master. The instances can be provisioned in a cloud or they can be virtual machines on bare metal hosts.\n2. Provision a certificate authority that will be used to generate TLS certificates for the different components of a Kubernetes cluster (kubelet, etcd, ...)\n  1. Generate a certificate and private key for the different components\n3. Generate kubeconfigs so the different clients of Kubernetes can locate the API servers and authenticate.\n4. Generate encryption key that will be used for encrypting the cluster data\n5. Create an etcd cluster	projects/knowledge/interview/kubernetes/020-do-you-have-experience-with-deploying-a-kubernetes.txt
k8s-ops/006e085c205c	k8s-ops	hard	kubernetes, logging, troubleshooting, kubectl	After running kubectl run database --image mongo you see the status is "CrashLoopBackOff". What could possibly went wrong and what do you do to confirm?	CrashLoopBackOff means the Pod is starting, crashing, starting...and so it repeats itself. \nThere are many different reasons to get this error - lack of permissions, init-container misconfiguration, persistent volume connection issue, etc.\n\nOne of the ways to check why it happened is to run `kubectl describe po <POD_NAME>` and having a look at the exit code\n\n```\n Last State: Terminated\n Reason: Error\n Exit Code: 100\n```\n\nAnother way to check what's going on, is to run `kubectl logs <POD_NAME>`. This will provide us with the logs from the containers running in that Pod.	projects/knowledge/interview/kubernetes/039-after-running-kubectl-run-database-image-mongo-you.txt
k8s-ops/01ba29ccb332	k8s-ops	medium	kubernetes, upgrade, helm, operator	Would you use Helm, Go or something else for creating an Operator?	Depends on the scope and maturity of the Operator. If it mainly covers installation and upgrades, Helm might be enough. If you want to go for Lifecycle management, insights and auto-pilot, this is where you'd probably use Go.\n\nRemember: Helm = K8s package manager. Chart=package, Release=instance, Repo=store.\n\nExample: `helm install my-app bitnami/nginx --set service.type=LoadBalancer`	projects/knowledge/interview/kubernetes/211-would-you-use-helm-go-or-something-else-for-creati.txt
k8s-ops/05670bcdc5a9	k8s-ops	medium	kubernetes, kubectl	Why there is no such command in Kubernetes? kubectl get containers	Because a container is not a Kubernetes object. The smallest object unit in Kubernetes is a Pod. In a single Pod you can find one or more containers.\n\nRemember: `kubectl explain <resource>` for fields. `kubectl api-resources` for all resource types.	projects/knowledge/interview/kubernetes/008-why-there-is-no-such-command-in-kubernetes-kubectl.txt
k8s-ops/080422f633e8	k8s-ops	hard	kubernetes, upgrade, backup, helm	How would you approach version upgrades of Kubernetes in a production environment?	**Version Upgrades in Production:* • \n • Conduct thorough testing in a staging environment before production.\n • Follow Kubernetes documentation and release notes for upgrade procedures.\n • Use tools like kubeadm for streamlined upgrade processes.\n • Ensure backups and have a rollback plan in case of issues. projects/knowledge/interview/kubernetes/366-how-would-you-approach-version-upgrades-of-kuberne.txt\n\nRemember: Version skew: kubelet ≤1 minor behind API server. Upgrade control plane first.	
k8s-ops/086fb1946fe1	k8s-ops	easy	kubernetes, helm	What is Helm and how does it help manage Kubernetes applications?	Package manager for Kubernetes. Basically the ability to package YAML files and distribute them to other users and apply them in the cluster(s).\n\nAs a concept it's quite common and can be found in many platforms and services. Think for example on package managers in operating systems. If you use Fedora/RHEL that would be dnf. If you use Ubuntu then, apt. If you don't use Linux, then a different question should be asked and it's why? but that's another topic :)	projects/knowledge/interview/kubernetes/252-what-is-helm.txt
k8s-ops/0a77b6d78cd5	k8s-ops	medium	kubernetes, operator	What components the Operator Framework consists of?	1. Operator SDK - allows developers to build operators\n2. Operator Lifecycle Manager - helps to install, update and generally manage the lifecycle of all operators\n3. Operator Metering - Enables usage reporting for operators that provide specialized services\n4.\n\nRemember: `kubectl explain <resource>` for fields. `kubectl api-resources` for all resource types.	projects/knowledge/interview/kubernetes/207-what-components-the-operator-framework-consists-of.txt
k8s-ops/0c305ca54b3b	k8s-ops	easy	kubernetes, upgrade, helm	What is the role of Helm and how does it simplify Kubernetes deployments?	* Role of Helm: Helm is a package manager for Kubernetes applications, simplifying deployment and management.\n* It uses charts (packages of pre-configured Kubernetes resources) to define, install, and upgrade applications.\n* Helm streamlines the release process and promotes reusability.\n\nRemember: Helm = K8s package manager. Chart=package, Release=instance, Repo=store.\n\nExample: `helm install my-app bitnami/nginx --set service.type=LoadBalancer`	projects/knowledge/interview/kubernetes/360-what-is-the-role-of-helm-and-how-does-it-simplify-.txt
k8s-ops/1fa3ce1e8acd	k8s-ops	hard	kubernetes, kubectl	You are managing multiple Kubernetes clusters. How do you quickly change between the clusters using kubectl?	`kubectl config use-context <context-name>` switches between clusters by changing the active context in your kubeconfig. List available contexts with `kubectl config get-contexts`. Each context combines a cluster, user, and namespace. Consider using `kubectx` for faster switching in multi-cluster environments.	projects/knowledge/interview/kubernetes/018-you-are-managing-multiple-kubernetes-clusters-how-.txt
k8s-ops/24ae8d82a401	k8s-ops	easy	kubernetes, helm	What are some use cases for using Helm template file?	* Deploy the same application across multiple different environments\n* CI/CD\n\nRemember: Helm = K8s package manager. Chart=package, Release=instance, Repo=store.\n\nExample: `helm install my-app bitnami/nginx --set service.type=LoadBalancer`	projects/knowledge/interview/kubernetes/256-what-are-some-use-cases-for-using-helm-template-fi.txt
k8s-ops/3436b599d045	k8s-ops	medium	kubernetes, helm	It is said that Helm is also Templating Engine. What does it mean?	It is useful for scenarios where you have multiple applications and all are similar, so there are minor differences in their configuration files and most values are the same. With Helm you can define a common blueprint for all of them and the values that are not fixed and change can be placeholders. This is called a template file and it looks similar to the following\n\n```\napiVersion: v1\nkind: Pod\nmetadata:\n  name: {[ .Values.name ]}\nspec:\n  containers:\n  - name: {{ .Values.container.name }}\n  image: {{ .Values.container.image }}\n  port: {{ .Values.container.port }}\n```\n\nThe values themselves will in separate file:\n\n```\nname: some-app\ncontainer:\n  name: some-app-container\n  image: some-app-image\n  port: 1991\n```	projects/knowledge/interview/kubernetes/255-it-is-said-that-helm-is-also-templating-engine-wha.txt
k8s-ops/3d6ac78c701e	k8s-ops	medium	kubernetes, operator	What components the Operator consists of?	1. CRD (Custom Resource Definition) - You are fanmiliar with Kubernetes resources like Deployment, Pod, Service, etc. CRD is also a resource, but one that you or the developer the operator defines.\n2. Controller - Custom control loop which runs against the CRD\n\nRemember: `kubectl explain <resource>` for fields. `kubectl api-resources` for all resource types.	projects/knowledge/interview/kubernetes/203-what-components-the-operator-consists-of.txt
k8s-ops/3de047cd0cbf	k8s-ops	medium	kubernetes, upgrade, backup, helm	How Helm supports release management?	Helm allows you to upgrade, remove and rollback to previous versions of charts. In version 2 of Helm it was with what is known as "Tiller". In version 3, it was removed due to security concerns.\n\nRemember: Helm = K8s package manager. Chart=package, Release=instance, Repo=store.\n\nExample: `helm install my-app bitnami/nginx --set service.type=LoadBalancer`	projects/knowledge/interview/kubernetes/258-how-helm-supports-release-management.txt
k8s-ops/3e305694b333	k8s-ops	medium	kubernetes, operator	How does a Kubernetes Operator work using the control loop pattern?	It uses the control loop used by Kubernetes in general. It watches for changes in the application state. The difference is that is uses a custom control loop.\n\nIn addition, it also makes use of CRD's (Custom Resources Definitions) so basically it extends Kubernetes API.\n\nRemember: `kubectl explain <resource>` for fields. `kubectl api-resources` for all resource types.	projects/knowledge/interview/kubernetes/205-how-operator-works.txt
k8s-ops/4ad4163b6ad8	k8s-ops	medium	kubernetes, kubectl	Run a command to view all nodes of the cluster	`kubectl get nodes`\n\nNote: You might want to create an alias (`alias k=kubectl`) and get used to `k get no`\n\nRemember: `kubectl explain <resource>` for fields. `kubectl api-resources` for all resource types.	projects/knowledge/interview/kubernetes/024-run-a-command-to-view-all-nodes-of-the-cluster.txt
k8s-ops/4fe9c4b7d3a7	k8s-ops	hard	kubernetes, troubleshooting, kubectl	You try to run a Pod but it's in "Pending" state. What might be the reason?	One possible reason is that the scheduler which supposed to schedule Pods on nodes, is not running. To verify it, you can run `kubectl get po -A | grep scheduler` or check directly in `kube-system` namespace.\n\nRemember: `kubectl explain <resource>` for fields. `kubectl api-resources` for all resource types.	projects/knowledge/interview/kubernetes/062-you-try-to-run-a-pod-but-its-in-pending-state-what.txt
k8s-ops/52860e63ae92	k8s-ops	hard	kubernetes, monitoring, logging, etcd-ops	Describe how the monitoring solution you are working with monitors Kubernetes	Common Kubernetes monitoring solutions:\n\n- **Prometheus + Grafana**: Most popular open-source stack. Prometheus scrapes metrics via ServiceMonitors; Grafana provides dashboards. Alertmanager handles alerts\n- **metrics-server**: Lightweight, in-memory. Powers `kubectl top` but no persistence or alerting\n- **Datadog/New Relic/Dynatrace**: Commercial SaaS platforms with auto-discovery, APM, and built-in dashboards\n- **ELK/Loki**: Log aggregation (Elasticsearch or Loki + Grafana for unified metrics/logs)\n\nKey things to monitor: node resources, pod status, API server latency, etcd health, PV usage, network policies.\n\nRemember: `kubectl explain <resource>` for fields. `kubectl api-resources` for all resource types.	projects/knowledge/interview/kubernetes/294-describe-how-the-monitoring-solution-you-are-worki.txt
