pattern_id	concept
FP-001_crashloopbackoff	pod
FP-001_crashloopbackoff	container
FP-001_crashloopbackoff	liveness_probe
FP-001_crashloopbackoff	container_image
FP-002_readiness_probe_failure	readiness_probe
FP-002_readiness_probe_failure	deployment
FP-002_readiness_probe_failure	endpoints
FP-002_readiness_probe_failure	rollout
FP-003_imagepullbackoff	container_image
FP-003_imagepullbackoff	pod
FP-003_imagepullbackoff	imagepullbackoff
FP-004_oomkilled	resource_limits
FP-004_oomkilled	oomkilled
FP-004_oomkilled	horizontal_pod_autoscaler
FP-005_hpa_not_scaling	horizontal_pod_autoscaler
FP-005_hpa_not_scaling	metrics_server
FP-005_hpa_not_scaling	resource_requests
FP-006_dns_resolution_failure	dns
FP-006_dns_resolution_failure	coredns
FP-006_dns_resolution_failure	networkpolicy
FP-007_networkpolicy_block	networkpolicy
FP-007_networkpolicy_block	dns
FP-007_networkpolicy_block	service
FP-008_service_selector_mismatch	service
FP-008_service_selector_mismatch	labels
FP-008_service_selector_mismatch	endpoints
FP-009_prometheus_target_down	servicemonitor
FP-009_prometheus_target_down	prometheus
FP-009_prometheus_target_down	labels
FP-009_prometheus_target_down	endpoints
FP-010_loki_no_logs	loki_logging
FP-010_loki_no_logs	promtail
FP-010_loki_no_logs	daemonset
FP-011_helm_upgrade_failure	helm_upgrade
FP-011_helm_upgrade_failure	helm_rollback
FP-011_helm_upgrade_failure	helm_values
FP-012_rollout_stuck	deployment
FP-012_rollout_stuck	rollout
FP-012_rollout_stuck	readiness_probe
FP-013_ingress_404	ingress
FP-013_ingress_404	service
FP-013_ingress_404	endpoints
FP-014_rbac_forbidden	rbac
FP-014_rbac_forbidden	service_account
FP-015_tempo_no_traces	tempo
FP-015_tempo_no_traces	opentelemetry
FP-015_tempo_no_traces	grafana
