---
tags:
- k8s
- l1
- flashcard-deck
- k8s-general
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [Kubernetes Core](../../../../library/portal/topics.md) | **Domain:** Kubernetes
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
k8s-general/0fdf59118555	k8s-general	easy	kubernetes, concepts	What is Kubernetes (K8s) and what problems does container orchestration solve?	"K8s is another term for Kubernetes. The ""8"" represents the eight letters between the ""K"" and the ""s"" in the word Kubernetes."\n\nName origin: Kubernetes (K8s) is Greek for 'helmsman'. Created at Google based on their internal Borg system, donated to CNCF in 2015.\n\nFun fact: Borg, its predecessor, managed Google's production workloads since 2003. The lessons learned shaped K8s design.\n\nFun fact: Kubernetes (K8s) is Greek for "helmsman." The 8 = letters between K and s.\n\nRemember: K8s promise: declarative desired state + reconciliation loops = self-healing.	projects/knowledge/interview/kubernetes/375-what-are-k8s.txt
k8s-general/211085628241	k8s-general	hard	kubernetes, concepts	What challenges do you anticipate when managing large-scale Kubernetes clusters, and how would you address them?	* Challenges in Large-Scale Clusters: Resource Scaling: Ensuring adequate resources for a growing number of pods.\n* Network Complexity: Handling increased network traffic and potential bottlenecks.\n* Cluster Monitoring: Implementing effective monitoring and logging at scale.\n* Configuration Management: Managing configurations consistently across a large number of nodes.\n\nFun fact: Kubernetes (K8s) is Greek for "helmsman." The 8 = letters between K and s.\n\nRemember: K8s promise: declarative desired state + reconciliation loops = self-healing.	projects/knowledge/interview/kubernetes/364-what-challenges-do-you-anticipate-when-managing-la.txt
k8s-general/23e42fb73cd7	k8s-general	medium	kubernetes, architecture, concepts	What are federated clusters?	The aggregation of multiple clusters that treat them as a single logical cluster refers to cluster federation. In this, multiple clusters may be managed as a single cluster. They stay with the assistance of federated groups. Also, users can create various clusters within the data center or cloud and use the federation to control or manage them in one place.\n\nYou can perform cluster federation by doing the following:\n* Cross cluster that provides the ability to have DNS and Load Balancer with backend from the participating clusters\n* Users can sync resources across different clusters in order to deploy the same deployment set across the various clusters	projects/knowledge/interview/kubernetes/408-what-are-federated-clusters.txt
k8s-general/296fb860bc56	k8s-general	medium	kubernetes, experience, operations	Tell me about your Kubernetes experience.	I've supported Kubernetes clusters from an operations standpoint — troubleshooting pods, reviewing logs, debugging failed deployments, managing YAML manifests, and handling upgrades. I'm strong with kubectl workflows and understanding how workloads behave at the node and container level. I haven't acted as a cluster architect, but I'm very effective on the operations and reliability side.\n\nRemember: K8s design: declare desired state, controllers reconcile. "Desired vs Actual → Action."	projects/knowledge/interview/kubernetes/374-tell-me-about-your-kubernetes-experience.txt
k8s-general/2b175e6ebabe	k8s-general	medium	kubernetes, concepts	You have a microservices-based application. How would you deploy and manage it in Kubernetes?	**Microservices Deployment in Kubernetes:** \n* Containerize Services: Package each microservice into a container.\n* Define Kubernetes Resources: Create Deployment or StatefulSet for each microservice.\n* Service Discovery: Use Kubernetes Services for inter-microservice communication.\n* Configurations: Utilize ConfigMaps and Secrets for configuration management.\n* Horizontal Scaling: Leverage Kubernetes autoscaling for dynamic workload adjustments.\n* Health Checks: Implement readiness and liveness probes for robust application health monitoring.\n* Kubernetes simplifies the deployment and management of microservices by providing abstractions for containers, services, and dynamic scaling, along with features like ConfigMaps and Secrets for configuration management.	projects/knowledge/interview/kubernetes/344-you-have-a-microservices-based-application-how-wou.txt
k8s-general/2e931b51c1ed	k8s-general	easy	kubernetes, concepts	What is orchestration when it comes to software and DevOps?	Orchestration refers to the integration of multiple services that allows them to automate processes or synchronize information in a timely fashion. Say, for example, you have six or seven microservices for an application to run. If you place them in separate containers, this would inevitably create obstacles for communication. Orchestration would help in such a situation by enabling all services in individual containers to work seamlessly to accomplish a single goal.\n\nRemember: K8s design: declare desired state, controllers reconcile. "Desired vs Actual → Action."	projects/knowledge/interview/kubernetes/376-what-is-orchestration-when-it-comes-to.txt
k8s-general/3159e8e3503d	k8s-general	medium	kubernetes, concepts	What are the features of Kubernetes?	Key features of Kubernetes include:\n\n* Kubernetes places control for the user where the server will host the container. It will control how to launch. So, Kubernetes automates various manual processes.\n* Kubernetes manages various clusters at the same time.\n* It provides various additional services like management of containers, security, networking, and storage.\n* Kubernetes self-monitors the health of nodes and containers.\n* With Kubernetes, users can scale resources not only vertically but also horizontally that too easily and quickly.\n\nFun fact: Kubernetes (K8s) is Greek for "helmsman." The 8 = letters between K and s.\n\nRemember: K8s promise: declarative desired state + reconciliation loops = self-healing.	projects/knowledge/interview/kubernetes/380-what-are-the-features-of-kubernetes.txt
k8s-general/3423b72b361b	k8s-general	easy	kubernetes, fundamentals	What is Kubernetes and what problems does container orchestration solve?	Kubernetes (K8s) is an open-source container orchestration system that automates the deployment, scaling, and management of containerized applications across a cluster of machines.\n\nName origin: Kubernetes (K8s) is Greek for 'helmsman'. Created at Google based on their internal Borg system, donated to CNCF in 2015.\n\nFun fact: Borg, its predecessor, managed Google's production workloads since 2003. The lessons learned shaped K8s design.\n\nFun fact: Kubernetes (K8s) is Greek for "helmsman." The 8 = letters between K and s.\n\nRemember: K8s promise: declarative desired state + reconciliation loops = self-healing.	projects/knowledge/interview/kubernetes/414-what-is-kubernetes.txt
k8s-general/43033aae3f5e	k8s-general	medium	kubernetes, concepts	What is Istio? What is it used for?	Istio is an open source service mesh that helps organizations run distributed, microservices-based apps anywhere. Istio enables organizations to secure, connect, and monitor microservices, so they can modernize their enterprise apps more swiftly and securely.\n\nRemember: K8s design: declare desired state, controllers reconcile. "Desired vs Actual → Action."	projects/knowledge/interview/kubernetes/268-what-is-istio-what-is-it-used-for.txt
k8s-general/5f4dc3da9e2a	k8s-general	medium	kubernetes, architecture, concepts	What problems does Kubernetes actually solve?	Kubernetes solves operational problems, not application problems:\n\n**Scheduling**: Places containers on nodes based on resources, constraints, affinity rules.\n\n**Self-healing**: Restarts failed containers, replaces unhealthy pods, reschedules when nodes die.\n\n**Service discovery**: Internal DNS, load balancing, service endpoints - apps find each other.\n\n**Declarative state**: You describe desired state; Kubernetes converges to it.\n\n**Rollouts**: Controlled deployments with rollback capability.\n\n**What it does NOT fix**:\n* Bad application architecture\n* Poor observability\n* Security vulnerabilities in code\n* Stateful application complexity\n\nKubernetes is powerful infrastructure, not a magic wand for bad apps.\n\nFun fact: Kubernetes (K8s) is Greek for "helmsman." The 8 = letters between K and s.\n\nRemember: K8s promise: declarative desired state + reconciliation loops = self-healing.	projects/knowledge/interview/kubernetes/374-what-problems-does-kubernetes-actually-solve.txt
