id	category	tags	topic_text	trivia_fact	source
k8s-troubleshooting/t001	k8s-troubleshooting	kubernetes,crashloopbackoff,backoff	CrashLoopBackOff Design	CrashLoopBackOff uses exponential backoff starting at 10 seconds, doubling each restart up to a 5-minute cap. This prevents a crashing container from consuming cluster resources by restarting hundreds of times per minute. The backoff timer resets after a container runs successfully for 10 minutes.	Kubernetes container restart policy docs
k8s-troubleshooting/t002	k8s-troubleshooting	kubernetes,imagepullbackoff,registry	ImagePullBackOff	ImagePullBackOff is deliberately a separate error from CrashLoopBackOff because the root cause is fundamentally different — network or authentication issues with the container registry, not application crashes. Kubernetes retries image pulls with backoff to avoid hammering a registry that may be temporarily down.	Kubernetes image pull docs
k8s-troubleshooting/t003	k8s-troubleshooting	kubernetes,oomkilled,kernel	OOMKilled Origin	The OOMKilled status (exit code 137) comes from the Linux kernel's Out-Of-Memory killer, not Kubernetes itself. When a container exceeds its memory limit, the kernel's OOM killer terminates the process with SIGKILL (signal 9). The exit code 137 is 128 + 9, following the Unix convention for signal-killed processes.	Linux OOM killer docs, POSIX signals
k8s-troubleshooting/t004	k8s-troubleshooting	kubernetes,describe,debugging	kubectl describe Power	"kubectl describe" is often cited as the single most useful debugging command because it aggregates information from multiple API calls — resource spec, status, conditions, and recent events — into one human-readable output. The Events section at the bottom frequently reveals the root cause before you check logs.	Kubernetes debugging guide
k8s-troubleshooting/t005	k8s-troubleshooting	kubernetes,events,design	Events System	Kubernetes Events are first-class API objects stored in etcd, not just log messages. By default they expire after one hour to prevent etcd bloat. Events record state changes (scheduling, pulling, starting, killing), making them a timeline of what happened to a resource — essentially a built-in audit trail.	Kubernetes Events API reference
k8s-troubleshooting/t006	k8s-troubleshooting	kubernetes,pending,scheduling	Pending Pod Mystery	A pod stuck in "Pending" means the scheduler cannot find a suitable node. Common causes include insufficient CPU/memory, unsatisfiable node selectors, taints without tolerations, or PVC binding failures. The Events on the pod almost always explain exactly which constraint cannot be satisfied.	Kubernetes scheduling troubleshooting
k8s-troubleshooting/t007	k8s-troubleshooting	kubernetes,init-containers,order	Init Container Debugging	Init containers run sequentially before the main containers start. If an init container fails, the pod stays in "Init:0/1" status indefinitely. This is a common source of confusion — people check the main container logs but the real problem is in the init container, which requires "kubectl logs <pod> -c <init-container-name>" to inspect.	Kubernetes init container docs
k8s-troubleshooting/t008	k8s-troubleshooting	kubernetes,liveness,readiness	Probe Misconfiguration	Liveness probe misconfiguration is one of the most common causes of production outages in Kubernetes. A liveness probe that is too aggressive will kill healthy pods under load. The Kubernetes documentation itself warns: "Liveness probes do not wait for readiness probes to succeed" — a pod can be killed by its liveness probe before it even finishes starting.	Kubernetes probe configuration docs
k8s-troubleshooting/t009	k8s-troubleshooting	kubernetes,ephemeral,containers	Ephemeral Debug Containers	Ephemeral containers (GA in Kubernetes 1.25) let you attach a debugging container to a running pod without restarting it. This solved the long-standing problem of debugging distroless or minimal images that lack shells and debugging tools — you inject a temporary container with your toolkit into the pod's namespaces.	Kubernetes ephemeral containers docs
k8s-troubleshooting/t010	k8s-troubleshooting	kubernetes,termination,message	Termination Messages	Kubernetes provides a terminationMessagePath mechanism (default: /dev/termination-log) where a crashing process can write its last words. When a container dies, Kubernetes reads this file and surfaces it in the pod status. Few people use it, but it is an elegant way to communicate failure reasons without relying on log collection.	Kubernetes termination message docs
