id	category	tags	topic_text	trivia_fact	source
k8s-core/t001	k8s-core	kubernetes,etymology,greek	K8s Name Origin	Kubernetes is the Greek word for "helmsman" or "pilot" — the person who steers a ship. This fits the nautical theme of navigating containers across a cluster.	Kubernetes documentation
k8s-core/t002	k8s-core	kubernetes,logo,history	The 7-Spoked Wheel	The Kubernetes logo is a seven-spoked ship's wheel. The seven spokes represent the project's seven original founders at Google.	CNCF branding guidelines
k8s-core/t003	k8s-core	kubernetes,history,codename	Project Seven	Kubernetes was originally codenamed "Project Seven" internally at Google, a reference to Seven of Nine from Star Trek — the friendly Borg character. This was a nod to Google's Borg system that inspired it.	Brendan Burns interviews
k8s-core/t004	k8s-core	kubernetes,google,borg	Born from Borg	Kubernetes was directly inspired by Google's internal Borg system, which had been managing containers at Google-scale for over a decade before k8s was open-sourced in 2014.	Google Borg paper (2015)
k8s-core/t005	k8s-core	kubernetes,abbreviation,numeronym	Why "k8s"	K8s is a numeronym: there are exactly 8 letters between the "k" and the "s" in Kubernetes. This follows the same pattern as i18n (internationalization) and l10n (localization).	Community convention
k8s-core/t006	k8s-core	etcd,naming,etymology	etcd Name Origin	etcd gets its name from the Unix "/etc" directory (where configuration is stored) plus "d" for distributed. It is literally "distributed /etc" — a distributed configuration store.	etcd documentation
k8s-core/t007	k8s-core	kubectl,pronunciation,community	kubectl Pronunciation	The kubectl pronunciation is endlessly debated. Common variants include "cube-control," "cube-C-T-L," "cube-cuddle," and "kube-cuttle." There is no official pronunciation — even the founders disagree.	KubeCon talks, community surveys
k8s-core/t008	k8s-core	kubernetes,founders,history	The Three Creators	Joe Beda, Brendan Burns, and Craig McLuckie are credited as the three co-founders of Kubernetes. They started the project at Google in 2014 and open-sourced it that same year.	Kubernetes origin stories
k8s-core/t009	k8s-core	kubernetes,pods,design	Why Pods Not Containers	Kubernetes uses pods (groups of containers) as the smallest deployable unit rather than individual containers. This was a deliberate design choice because real applications often need tightly coupled co-processes like sidecars and log collectors sharing network and storage.	Kubernetes design docs
k8s-core/t010	k8s-core	devops,metaphor,history	Cattle Not Pets	The "cattle not pets" metaphor — treat servers as interchangeable cattle, not irreplaceable pets — was coined by Bill Baker of Microsoft around 2012. Kubernetes embodies this philosophy: pods are expendable and replaceable.	Bill Baker, CERN talk by Gavin McCance
k8s-core/t011	k8s-core	kubernetes,yaml,configuration	Why YAML Everywhere	Kubernetes chose YAML as its primary manifest format because it is human-readable and supports comments (unlike JSON). However, the API actually speaks JSON — YAML manifests are converted to JSON before being sent to the API server.	Kubernetes API conventions
k8s-core/t012	k8s-core	kubernetes,control-loop,design	Control Loop Pattern	Kubernetes controllers use a "reconciliation loop" pattern borrowed from industrial automation and control theory. Each controller continuously compares desired state to actual state and takes corrective action — the same principle used in thermostats and cruise control.	Kubernetes controller docs
k8s-core/t013	k8s-core	kubernetes,desired-state,borg	Desired State Model	The "desired state" declarative model in Kubernetes came directly from Google Borg. Instead of issuing imperative commands ("start this"), you declare what you want ("I need 3 replicas") and the system figures out how to make it happen.	Google Borg paper
k8s-core/t014	k8s-core	kubernetes,operators,coreos	Operators Pattern	The Operator pattern was introduced by CoreOS in 2016. It encodes human operational knowledge into software, allowing complex stateful applications like databases to be managed automatically by Kubernetes. CoreOS was later acquired by Red Hat.	CoreOS blog (2016)
k8s-core/t015	k8s-core	kubernetes,pods,limits	110 Pod Limit	The default limit of 110 pods per node exists because the kubelet was originally designed to poll each pod's status. Too many pods degraded performance. While the limit can be raised, 110 remains the well-tested default.	Kubernetes scalability docs
k8s-core/t016	k8s-core	kubernetes,cncf,donation	Donated to CNCF	Google donated Kubernetes to the newly formed Cloud Native Computing Foundation (CNCF) in 2015. It was the CNCF's very first hosted project. This move helped Kubernetes become vendor-neutral and gain broad industry adoption.	CNCF announcement (2015)
k8s-core/t017	k8s-core	kubernetes,release,history	First Release	Kubernetes v1.0 was released on July 21, 2015, at OSCON in Portland. Google simultaneously announced the formation of the CNCF with the Linux Foundation to govern the project.	OSCON 2015 keynote
k8s-core/t018	k8s-core	kubernetes,namespace,design	Namespace Concept	Kubernetes namespaces were inspired by Linux kernel namespaces but serve a different purpose. In k8s, namespaces are a logical partitioning mechanism for organizing resources and applying access policies, not a kernel isolation boundary.	Kubernetes documentation
k8s-core/t019	k8s-core	kubernetes,api,versioning	API Versioning	Kubernetes uses a unique API versioning scheme: alpha (v1alpha1), beta (v1beta1), and stable (v1). APIs can exist at different maturity levels simultaneously, and alpha APIs are disabled by default. This graduated stability model lets new features be tested without breaking production users.	Kubernetes API conventions
k8s-core/t020	k8s-core	kubernetes,go,language	Written in Go	Kubernetes is written in Go (Golang), which was also created at Google. Go was chosen for its built-in concurrency support, fast compilation, static binaries, and simplicity — all ideal for distributed systems infrastructure.	Kubernetes GitHub repository
k8s-core/t021	k8s-core	kubernetes,sigs,governance	SIG Structure	Kubernetes development is organized into Special Interest Groups (SIGs) — over 20 groups like SIG-Network, SIG-Storage, and SIG-Auth. This distributed governance model lets different teams own different subsystems independently.	Kubernetes governance docs
k8s-core/t022	k8s-core	kubernetes,scheduler,design	Scheduler Design	The Kubernetes scheduler assigns pods to nodes using a two-phase approach: filtering (which nodes can run this pod?) and scoring (which eligible node is best?). This design was influenced by Borg's cell-level scheduling algorithms.	Kubernetes scheduler docs
k8s-core/t023	k8s-core	kubernetes,omega,borg	Three Generations	Kubernetes is actually Google's third-generation container orchestration system. Borg came first (early 2000s), then Omega (research system, early 2010s), and finally Kubernetes (2014) incorporated lessons from both predecessors.	Google Omega paper (2013)
k8s-core/t024	k8s-core	kubernetes,labels,selectors	Labels and Selectors	The label/selector system in Kubernetes was inspired by how Gmail uses labels instead of folders. Just as an email can have multiple labels, a Kubernetes resource can have multiple labels, enabling flexible grouping without rigid hierarchies.	Kubernetes design rationale
k8s-core/t025	k8s-core	kubernetes,watch,efficiency	Watch Mechanism	Kubernetes uses a "watch" mechanism where clients subscribe to resource changes via long-lived HTTP connections instead of polling. This design, inherited from etcd, dramatically reduces API server load — a cluster with thousands of resources generates events only when something actually changes.	Kubernetes API documentation
