---
tags:
- cloud
- l1
- flashcard-deck
- aws-security
---
<!-- wiki:breadcrumb:start -->
[Portal](../../../../library/portal/index.md) | **Level:** [L1: Foundations](../../../../library/portal/levels.md) | **Topics:** [AWS IAM](../../../../library/portal/topics.md) | **Domain:** Cloud
<!-- wiki:breadcrumb:end -->

id	category	difficulty	tags	question	answer	source_path
aws-security/021054911ff6	aws-security	medium	aws, iam	What security tools AWS IAM provides?	* IAM Credentials Report: lists all the account users and the status of their credentials\n* IAM Access Advisor: Shows service permissions granted to a user and information on when he accessed these services the last time\n\nRemember: AWS follows the shared responsibility model: AWS secures the infrastructure; you secure your configurations, data, and access policies.	projects/knowledge/interview/aws/018-what-security-tools-aws-iam-provides.txt
aws-security/0453a477d2c2	aws-security	easy	aws, acm	What is AWS ACM (Certificate Manager) and how does it manage TLS certificates?	"Amazon definition: ""AWS Certificate Manager is a service that lets you easily provision, manage, and deploy public and private Secure Sockets Layer/Transport Layer Security (SSL/TLS) certificates for use with AWS services and your internal connected resources.""\n\nLearn more [here](https://aws.amazon.com/certificate-manager)\n\nRemember: AWS follows the shared responsibility model: AWS secures the infrastructure; you secure your configurations, data, and access policies."	projects/knowledge/interview/aws/229-what-is-aws-acm.txt
aws-security/0635d8e27a0e	aws-security	hard	aws, iam, scp	What are Service Control Policies and to what service they belong?	"AWS organizations service and the definition by Amazon: ""SCPs offer central control over the maximum available permissions for all accounts in your organization, allowing you to ensure your accounts stay within your organization’s access control guidelines.""\n\nLearn more [here](https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scp.html)\n\nRemember: AWS follows the shared responsibility model: AWS secures the infrastructure; you secure your configurations, data, and access policies."	projects/knowledge/interview/aws/346-what-are-service-control-policies-and-to-what-serv.txt
aws-security/0c95bf65d2f4	aws-security	medium	aws, config, scp	Which service would you use for centrally manage billing, control access, compliance, and security across multiple AWS accounts?	AWS Organizations\n\nRemember: AWS security services layered defense: IAM (identity), VPC/SG (network), KMS (encryption), GuardDuty (threat detection), CloudTrail (audit), Config (compliance).\n\nGotcha: the root account is the most powerful and most dangerous. Enable MFA, create an admin IAM user, and lock away root credentials.	projects/knowledge/interview/aws/285-which-service-would-you-use-for-centrally-manage-b.txt
aws-security/15f8e2809fca	aws-security	easy	aws, kms	What is AWS Key Management Service (KMS)?	"AWS definition: ""KMS makes it easy for you to create and manage cryptographic keys and control their use across a wide range of AWS services and in your applications.""\nMore on KMS [here](https://aws.amazon.com/kms)\n\nRemember: KMS = Key Management Service. Manages encryption keys for S3, EBS, RDS, etc. Envelope encryption: KMS key encrypts a data key, data key encrypts your data."	projects/knowledge/interview/aws/223-what-is-aws-key-management-service-kms.txt
aws-security/1b0690a6baf0	aws-security	medium	aws, cloudtrail	What would you use to check why certain EC2 instances were terminated?	AWS CloudTrail — it logs every API call made in your account (who, what, when, from where), so you can audit actions like instance terminations, identify the IAM principal responsible, and feed events into SIEM or alerting tools.\n\nRemember: AWS follows the shared responsibility model: AWS secures the infrastructure; you secure your configurations, data, and access policies.	projects/knowledge/interview/aws/277-what-would-you-use-to-check-why-certain-ec2-instan.txt
aws-security/202b0f39f2ed	aws-security	easy	aws, iam, security	What is AWS IAM and how does it manage access to AWS resources?	AWS Identity and Access Management (IAM) is the service for managing access to AWS resources. It allows you to create users, groups, and roles, and define permissions through policies to securely control who can do what on which resources.\n\nRemember: AWS follows the shared responsibility model: AWS secures the infrastructure; you secure your configurations, data, and access policies.	projects/knowledge/interview/aws/468-what-is-iam.txt
aws-security/24c825ff5f15	aws-security	medium	aws, guardduty	Which service would you use for monitoring malicious activity and unauthorized behavior in regards to AWS accounts and workloads?	Amazon GuardDuty\n\nRemember: AWS security services layered defense: IAM (identity), VPC/SG (network), KMS (encryption), GuardDuty (threat detection), CloudTrail (audit), Config (compliance).\n\nGotcha: the root account is the most powerful and most dangerous. Enable MFA, create an admin IAM user, and lock away root credentials.	projects/knowledge/interview/aws/284-which-service-would-you-use-for-monitoring-malicio.txt
aws-security/294d6481d29a	aws-security	easy	aws, scp	What is AWS Service Catalog?	"Amazon definition: ""AWS Service Catalog allows organizations to create and manage catalogs of IT services that are approved for use on AWS.""\n\nLearn more [here](https://aws.amazon.com/servicecatalog)\n\nRemember: AWS follows the shared responsibility model: AWS secures the infrastructure; you secure your configurations, data, and access policies."	projects/knowledge/interview/aws/375-what-is-aws-service-catalog.txt
aws-security/30a57fcf7761	aws-security	medium	aws, inspector	Which service would you use for performing security assessment?	AWS Inspector — an automated vulnerability management service that continuously scans EC2 instances, container images, and Lambda functions for software vulnerabilities and unintended network exposure, producing prioritized findings.\n\nRemember: AWS follows the shared responsibility model: AWS secures the infrastructure; you secure your configurations, data, and access policies.	projects/knowledge/interview/aws/288-which-service-would-you-use-for-performing-securit.txt
