# ServerTech CDU - Rack C14, PDU-A
# Power Readings by Outlet (208V 3-Phase, 40A/phase)
# Captured: 2026-03-05 08:15:00 UTC

Phase Summary:
  L1:  22.1A  (55%)  4,598W
  L2:  34.8A  (87%)  7,238W   *** CRITICAL: ABOVE 80% THRESHOLD ***
  L3:  24.6A  (62%)  5,117W
  Total: 81.5A       16,953W

Outlet  Phase  Amps   Watts  Server/Device
------  -----  -----  -----  -------------
  1     L1     2.8A    582W  srv-c14-01 (Dell R640, PSU-A)
  2     L2     2.9A    603W  srv-c14-01 (Dell R640, PSU-B)
  3     L3     1.1A    229W  sw-c14-tor1 (Cisco 9300, PSU-A)
  4     L1     1.0A    208W  sw-c14-tor1 (Cisco 9300, PSU-B)
  5     L2     3.2A    666W  srv-c14-02 (Dell R740xd, PSU-A)
  6     L3     3.1A    645W  srv-c14-02 (Dell R740xd, PSU-B)
  7     L1     2.7A    562W  srv-c14-03 (Dell R640, PSU-A)
  8     L2     2.6A    541W  srv-c14-03 (Dell R640, PSU-B)
  9     L3     2.9A    603W  srv-c14-04 (Dell R640, PSU-A)
 10     L1     2.8A    582W  srv-c14-04 (Dell R640, PSU-B)
 11     L2     3.4A    707W  srv-c14-05 (HPE DL380, PSU-A)
 12     L3     3.3A    686W  srv-c14-05 (HPE DL380, PSU-B)
 13     L1     6.5A   1352W  gpu-c14-01 (Dell R750xa, PSU-A)  ** NEW **
 14     L2     6.7A   1394W  gpu-c14-01 (Dell R750xa, PSU-B)  ** NEW **
 15     L3     6.4A   1331W  gpu-c14-02 (Dell R750xa, PSU-A)  ** NEW **
 16     L2     6.8A   1414W  gpu-c14-02 (Dell R750xa, PSU-B)  ** NEW **
 17     L1     2.4A    499W  srv-c14-06 (Dell R640, PSU-A)
 18     L2     2.5A    520W  srv-c14-06 (Dell R640, PSU-B)
 19     L3     2.6A    541W  srv-c14-07 (Dell R640, PSU-A)
 20     L1     2.5A    520W  srv-c14-07 (Dell R640, PSU-B)
 21     L2     3.1A    645W  srv-c14-08 (HPE DL380, PSU-A)
 22     L3     3.0A    624W  srv-c14-08 (HPE DL380, PSU-B)
 23     L1     1.4A    291W  sw-c14-tor2 (Arista 7050, PSU-A)
 24     L2     3.6A    749W  srv-c14-09 (Dell R740xd, PSU-A)
