id	category	tags	topic_text	trivia_fact	source
networking/t001	networking	tcp,osi,history	TCP/IP vs OSI	TCP/IP won over the OSI model not because it was technically superior, but because it was free and already working. The OSI model was still being debated by committee when TCP/IP had a running internet. Vint Cerf later joked that OSI stood for "Oh, So Incomplete."	RFC 1180, internet-history
networking/t002	networking	rfc,history,standards	RFC System Origin	The "Request for Comments" name was chosen by Steve Crocker in 1969 to sound deliberately informal and non-authoritative — he was a grad student and didn't want to seem presumptuous issuing official standards. The humble name stuck and now governs the entire internet.	RFC 2555
networking/t003	networking	http,port,history	Why Port 80 for HTTP	Tim Berners-Lee didn't actually choose port 80 — IANA assigned it in 1991 after HTTP was already running on various ports. Before the assignment, early web servers often used port 2784 or 8001. Port 80 was simply the next available number in the range.	IANA port assignment history
networking/t004	networking	https,port,tls	Why Port 443 for HTTPS	Port 443 was assigned to HTTPS in 1994 by Kipp Hickman of Netscape. It was chosen because it was an available port close to 80 — there's no deeper technical reason. The gap between 80 and 443 reflects the hundreds of services registered to ports in between.	IANA, Netscape SSL docs
networking/t005	networking	ssh,port,history	Why Port 22 for SSH	Tatu Ylönen, SSH's inventor, chose port 22 deliberately because it sat between telnet (23) and FTP (21) — the two protocols he aimed to replace. He simply emailed IANA requesting it and got the assignment within minutes, as the port was unused.	Tatu Ylönen interview, ssh.com
networking/t006	networking	ephemeral,ports,history	Ephemeral Port Range	The ephemeral port range (used for client-side connections) has changed over the decades. BSD originally used 1024-4999, Linux used 32768-61000, and IANA eventually standardized 49152-65535. Many systems still deviate from the standard.	RFC 6335
networking/t007	networking	syn,flood,tcp,security	SYN Flood Changed TCP	The 1996 SYN flood attack against Panix (a New York ISP) was the first major denial-of-service to weaponize the TCP handshake. It directly led to the invention of SYN cookies by Daniel J. Bernstein — an elegant stateless defense still used today.	CERT advisory CA-1996-21
networking/t008	networking	ipv4,ipv6,ipv5,history	The Missing IPv5	There is no IPv5 because version 5 was already assigned to the Internet Stream Protocol (ST), an experimental real-time streaming protocol from 1979 that never gained adoption. When the next-gen IP was designed, it had to skip to version 6.	RFC 1190
networking/t009	networking	mac,ethernet,naming	MAC Address Meaning	"MAC" stands for Media Access Control, but the six-byte format was designed by Xerox for the original Ethernet in 1973. The first three bytes (OUI) identify the manufacturer — you can look up any device's vendor from its MAC address.	IEEE 802 standards
networking/t010	networking	mtu,ethernet,history	Why MTU Is 1500	Ethernet's 1500-byte MTU was a compromise in the late 1970s. Larger frames meant better throughput but required more buffer memory, which was expensive. 1500 bytes balanced performance against the cost of RAM — about $1000/KB at the time. The value has never changed.	IEEE 802.3, ethernet-history
networking/t011	networking	packet,naming,history	Origin of "Packet"	The word "packet" was coined by Donald Davies at the UK National Physical Laboratory in 1965, independently of Paul Baran's "message blocks" at RAND. Davies chose "packet" by analogy with small parcels of mail. The British term won out over Baran's American terminology.	NPL network history
networking/t012	networking	arp,protocol,design	Why ARP Exists	ARP exists because Ethernet predates IP. Ethernet uses MAC addresses, IP uses IP addresses, and neither was designed to know about the other. ARP was a pragmatic hack — a broadcast protocol that asks "who has this IP?" — and it's remained essentially unchanged since 1982.	RFC 826
networking/t013	networking	routing,history,arpanet	Routing Table Origins	The first ARPANET routing worked by having each node maintain a table updated via neighbor gossip — the "distance vector" approach. It was so prone to counting-to-infinity loops that it inspired the split-horizon and poison-reverse fixes still used in protocols like RIP today.	ARPANET IMP documentation
networking/t014	networking	traceroute,ttl,clever	Traceroute TTL Trick	Traceroute works by exploiting a side effect of TTL (Time To Live). It sends packets with TTL=1, then 2, then 3, etc. Each router that decrements TTL to zero is required by RFC to send back an ICMP "time exceeded" error — inadvertently revealing its identity. Van Jacobson wrote the original in 1987.	Van Jacobson, 1987
networking/t015	networking	bgp,internet,routing	BGP as Duct Tape	BGP (Border Gateway Protocol) is often called "the duct tape of the internet" because the global routing system depends on ~80,000 autonomous systems trusting each other's announcements with minimal verification. A single misconfiguration can (and regularly does) reroute global traffic.	internet-routing-history
networking/t016	networking	dns,udp,port53	DNS Uses UDP Port 53	DNS primarily uses UDP because the original designers (Mockapetris, 1983) wanted responses to fit in a single packet for speed. Port 53 was assigned simply as the next available port. DNS falls back to TCP for responses over 512 bytes — a limit that EDNS0 later extended to 4096.	RFC 1035, RFC 6891
networking/t017	networking	ping,naming,sonar	Ping Named After Sonar	The `ping` command was written by Mike Muuss in 1983 and named after the sound sonar makes. Muuss was explicit that it was not an acronym — backronyms like "Packet InterNet Groper" appeared later and annoyed him. He wrote the entire tool in a single evening.	Mike Muuss personal page
networking/t018	networking	ethernet,naming,history	Ethernet Name Origin	Bob Metcalfe named Ethernet after "luminiferous ether" — the disproven 19th-century theory of a medium that permeated all space and carried light waves. He chose it because the network cable was the shared passive medium that carried signals to all stations.	Xerox PARC, Metcalfe 1973
networking/t019	networking	localhost,loopback,history	Why 127.0.0.1	The entire 127.0.0.0/8 block (16.7 million addresses) is reserved for loopback — an absurdly large allocation decided in 1981 when address space seemed infinite. Only 127.0.0.1 is commonly used. The "1" was simply the first usable address in the block.	RFC 990, RFC 1122
networking/t020	networking	nat,ipv4,history	NAT Was a Temporary Fix	Network Address Translation was designed in 1994 as a short-term workaround while IPv6 was being finalized. Over 30 years later, NAT remains fundamental to internet architecture and has arguably delayed IPv6 adoption by making IPv4 address exhaustion survivable.	RFC 1631
networking/t021	networking	bandwidth,naming,origin	Bandwidth Is a Radio Term	"Bandwidth" originally referred to the width of a frequency band in radio engineering (measured in hertz). Its use for data throughput (bits per second) is technically a misnomer that became universal. Purists still distinguish between bandwidth (capacity) and throughput (actual transfer rate).	telecommunications history
networking/t022	networking	tcp,window,scaling	TCP Window Scaling	The original TCP specification limited the receive window to 64KB because the window field was 16 bits. This made TCP unusably slow on high-latency, high-bandwidth links. RFC 1323 (1992) added window scaling, multiplying the field by powers of 2, enabling windows up to 1GB.	RFC 1323
networking/t023	networking	submarine,cables,internet	Submarine Cable Sharks	Over 95% of intercontinental internet traffic travels through submarine fiber optic cables, not satellites. These cables are roughly the diameter of a garden hose. Google and other providers now wrap cables in Kevlar-like material partly because sharks were biting through them, possibly attracted by electromagnetic fields.	TeleGeography, Google
networking/t024	networking	wifi,naming,marketing	Wi-Fi Means Nothing	"Wi-Fi" doesn't stand for "Wireless Fidelity." The Wi-Fi Alliance hired the brand consultancy Interbrand to create a catchier name than "IEEE 802.11b Direct Sequence." The name was chosen purely for its phonetic similarity to "Hi-Fi." A tagline "The Standard for Wireless Fidelity" was briefly used but later dropped.	Wi-Fi Alliance, Phil Belanger
networking/t025	networking	latency,speed-of-light,physics	Speed of Light Limit	Light in fiber optic cable travels at roughly 200,000 km/s (about 2/3 the speed of light in vacuum due to refraction). This means the absolute minimum round-trip latency between New York and London is about 56ms. Real-world latency (~70ms) is remarkably close to this physical limit.	physics, submarine-cable-map
