id	category	tags	topic_text	trivia_fact	source
datacenter/t001	datacenter	history,eniac,origin	First Datacenter	The first recognizable datacenter is arguably the ENIAC room at the University of Pennsylvania (1945). ENIAC occupied 1,800 square feet, weighed 30 tons, and consumed 150 kilowatts — roughly what a small datacenter uses today for a single row of racks.	upenn-eniac-history
datacenter/t002	datacenter	cooling,hot-aisle,cold-aisle	Hot/Cold Aisle	Hot/cold aisle containment works because server fans pull cool air from the front and exhaust hot air from the back. By alternating rack orientations, you create dedicated cold supply aisles and hot exhaust aisles, preventing hot air from recirculating into server intakes.	ashrae-tc9.9
datacenter/t003	datacenter	rack,42u,standard	42U Rack Standard	The standard 42U server rack height was established by the EIA (Electronic Industries Alliance). One rack unit (1U) equals 1.75 inches (44.45mm), making a 42U rack about 73.5 inches of usable space — tall enough to be practical but short enough for humans to reach the top.	eia-310-d
datacenter/t004	datacenter	pdu,power,naming	PDU Naming	PDU stands for Power Distribution Unit. Datacenter PDUs evolved from simple power strips into intelligent devices that monitor per-outlet power draw, support remote switching, and can alert on overloads — essentially smart power strips on steroids.	datacenter-knowledge
datacenter/t005	datacenter	raised-floor,cabling,cooling	Raised Floors	Datacenters originally used raised floors (typically 24 inches high) to route the massive cabling required by mainframes. The space was later repurposed for cool air delivery from CRAC units. Modern datacenters increasingly use overhead cabling and in-row cooling instead.	uptime-institute
datacenter/t006	datacenter	tier,uptime,classification	Uptime Tier System	The Uptime Institute Tier Classification system (I-IV) defines datacenter reliability levels. Tier I has no redundancy (99.671% uptime), while Tier IV is fully fault-tolerant with 2N+1 redundancy (99.995% uptime — about 26 minutes downtime per year).	uptime-institute-tier-standard
datacenter/t007	datacenter	pue,efficiency,metric	PUE Metric	Power Usage Effectiveness (PUE) was created by The Green Grid in 2006. It divides total facility power by IT equipment power. A PUE of 1.0 means every watt goes to computing; the industry average is about 1.58. Google's best facilities achieve 1.10.	the-green-grid
datacenter/t008	datacenter	google,finland,seawater	Google Sea Cooling	Google's datacenter in Hamina, Finland uses cold sea water from the Gulf of Finland for cooling. The facility is built in an old paper mill and pumps filtered sea water through a heat exchange system, eliminating the need for mechanical chillers.	google-datacenter-blog
datacenter/t009	datacenter	facebook,ocp,open-source	Open Compute Project	Facebook launched the Open Compute Project (OCP) in 2011, open-sourcing their datacenter and server designs. This was radical — datacenter hardware had always been proprietary. OCP now includes designs for racks, switches, storage, and even entire buildings.	opencompute.org
datacenter/t010	datacenter	microsoft,underwater,natick	Project Natick	Microsoft's Project Natick deployed a sealed datacenter on the Scottish seabed in 2018. The underwater pod had a failure rate one-eighth of an equivalent land datacenter, likely because the sealed nitrogen atmosphere eliminated humidity and human-caused damage.	microsoft-project-natick
datacenter/t011	datacenter	lights-out,unmanned,automation	Lights Out Datacenter	A "lights out" datacenter operates with no on-site staff. Everything is managed remotely, and the lights are literally off to save energy. The concept requires extreme automation, out-of-band management, and robotic maintenance — few facilities achieve it fully.	datacenter-dynamics
datacenter/t012	datacenter	location,submarine-cable	Datacenter Locations	Many major datacenters cluster in Northern Virginia (Ashburn) because MAE-East, one of the first internet exchange points, was located there. Today, Ashburn handles roughly 70% of global internet traffic and hosts the densest concentration of datacenters on Earth.	datacenter-frontier
datacenter/t013	datacenter	humidity,static,control	Humidity Control	Datacenters maintain humidity between 40-60% relative humidity. Too dry and static electricity can damage components; too humid and condensation forms. ASHRAE expanded the acceptable range in 2011, saving significant energy on humidification.	ashrae-tc9.9
datacenter/t014	datacenter	generator,diesel,backup	Diesel Generators	Most datacenters keep 24-72 hours of diesel fuel on-site for backup generators. When utility power fails, UPS batteries bridge the 10-15 second gap while generators start. Some hyperscale datacenters use natural gas turbines instead for cleaner backup power.	uptime-institute
datacenter/t015	datacenter	containment,blanking,panel	Blanking Panels	Empty rack spaces without blanking panels create a short circuit in the cooling system — hot exhaust air recirculates through the gap back to server intakes. Installing simple plastic blanking panels can reduce cooling costs by 10-20% at near-zero cost.	datacenter-best-practices
