id	category	tags	topic_text	trivia_fact	source
linux-filesystem/t001	linux-filesystem	usr,naming,history	/usr Doesn't Mean User	In early Unix, /usr was the second disk where user home directories lived. When /home was added on a third disk, /usr kept its name but shifted to holding system binaries and libraries. The backronym "Unix System Resources" is folk etymology — it was literally just the user disk originally.	unix-history
linux-filesystem/t002	linux-filesystem	ext4,history,evolution	ext4 Filesystem History	ext4 (2008) evolved from ext3 (2001), ext2 (1993), and ext (1992). ext was the first filesystem written specifically for Linux, replacing the borrowed MINIX filesystem. The "ext" stands for "extended file system." ext4 supports volumes up to 1 exbibyte and files up to 16 tebibytes.	kernelnewbies
linux-filesystem/t003	linux-filesystem	inode,multics,concept	Inode Concept Origin	The "inode" (index node) concept comes from the Multics operating system (1965), Unix's predecessor at MIT/Bell Labs. Dennis Ritchie confirmed the "i" originally stood for "index." Each inode stores metadata (permissions, timestamps, block pointers) but NOT the filename — filenames live in directory entries.	unix-history
linux-filesystem/t004	linux-filesystem	filename-limit,255,reason	255 Character Filename Limit	The 255-byte filename limit comes from the ext2 filesystem's directory entry format, which uses a single byte for the name length field (max value 255). Earlier Unix filesystems limited names to 14 characters. The 255 limit has been carried forward to ext3, ext4, and most modern Linux filesystems.	kernel-docs
linux-filesystem/t005	linux-filesystem	fhs,standard,history	FHS Development	The Filesystem Hierarchy Standard (FHS) evolved from the FSSTND (1994), which itself formalized conventions dating back to Unix V7. It's maintained by the Linux Foundation. Despite being a "standard," many distros deviate — Arch Linux merges /usr/bin and /bin, while NixOS ignores FHS almost entirely.	fhs-spec
linux-filesystem/t006	linux-filesystem	tmp,clearing,tmpfs	Why /tmp Is Cleared	/tmp is cleared on reboot because many systems mount it as tmpfs (a RAM-backed filesystem). Even without tmpfs, systemd's tmp.mount unit or traditional init scripts clean /tmp at boot. The sticky bit on /tmp (drwxrwxrwt) prevents users from deleting each other's temp files despite world-writable permissions.	fhs-spec
linux-filesystem/t007	linux-filesystem	sticky-bit,history,security	Origin of the Sticky Bit	The "sticky bit" (chmod +t) originally meant something completely different: on early Unix, it told the kernel to keep a program's text segment "stuck" in swap for faster re-loading. When virtual memory made that obsolete, the bit was repurposed for directories to mean "only the owner can delete files."	unix-history
linux-filesystem/t008	linux-filesystem	hardlinks,symlinks,design	Hard Links vs Symlinks	Hard links came first in Unix (1970s) — they are additional directory entries pointing to the same inode. Symbolic links were added in 4.2BSD (1983) by Keith Bostic because hard links cannot cross filesystem boundaries or link to directories. Symlinks are separate files containing a path string.	bsd-history
linux-filesystem/t009	linux-filesystem	lost-found,fsck,recovery	lost+found Directory Purpose	The lost+found directory is pre-allocated by mke2fs in each ext2/3/4 filesystem. When fsck (filesystem check) finds data blocks that belong to no file — orphaned inodes from a crash — it reconnects them here with numeric filenames. The directory is pre-allocated because a corrupted filesystem might not be able to create new directories.	man-pages
linux-filesystem/t010	linux-filesystem	proc,pseudo-filesystem,kernel	/proc as a Window into the Kernel	/proc was introduced in Unix V8 (1984) by Tom Killian as a debugging interface. It contains no real files — everything is generated on-the-fly by the kernel when you read it. /proc/self is a magic symlink that always points to the current process's directory, regardless of which process reads it.	unix-history
linux-filesystem/t011	linux-filesystem	dev,device-files,history	Device Files in /dev	Unix device files (/dev) date to V1 (1971). Character devices (c) and block devices (b) are identified by major/minor numbers, not filenames. The names are just conventions — you could rename /dev/sda to /dev/banana and it would still work as long as the major/minor numbers match.	unix-history
linux-filesystem/t012	linux-filesystem	xfs,sgi,origin	XFS Origin at SGI	XFS was created by Silicon Graphics (SGI) in 1993 for their IRIX workstations handling film and video production. It excels at parallel I/O and large files. SGI open-sourced it in 2000 for Linux. RHEL 7+ adopted XFS as the default filesystem, ending ext4's reign on Red Hat systems.	sgi-history
linux-filesystem/t013	linux-filesystem	btrfs,butter-fs,naming	Btrfs Naming	Btrfs is sometimes pronounced "Butter FS" or "B-Tree FS." Chris Mason started it at Oracle in 2007 as a next-generation Linux filesystem inspired by ZFS. Despite being in development for over 15 years, its RAID 5/6 implementation is still considered unstable — a famously long-running issue.	kernelnewbies
linux-filesystem/t014	linux-filesystem	path-max,4096,limit	PATH_MAX Is 4096 Bytes	Linux's maximum path length (PATH_MAX) is 4096 bytes — but this is only enforced by the C library, not the kernel. You can create paths longer than 4096 by using relative paths and chdir(). Some programs break when encountering paths near the limit, revealing hard-coded buffer sizes.	kernel-docs
linux-filesystem/t015	linux-filesystem	dotfiles,hidden,accident	Dotfiles Were an Accident	Hidden files (dotfiles) in Unix were an accident. When Ken Thompson wrote the `ls` command, he skipped `.` and `..` entries using a simple check: "if the first character is a dot, skip it." This unintentionally hid any file starting with a dot. The behavior was never "designed" — it just stuck.	rob-pike
