id	category	tags	topic_text	trivia_fact	source
linux-fundamentals/t001	linux-fundamentals	naming,linus,history	Linux Naming	Linus Torvalds originally called his project "Freax" (free + freak + Unix). Ari Lemmke, the FTP server admin at Helsinki University, rejected that name and listed it as "linux" instead. Linus considered the name "Linux" too egotistical but eventually accepted it.	just-for-fun-book
linux-fundamentals/t002	linux-fundamentals	tanenbaum,debate,monolithic	Tanenbaum-Torvalds Debate	In 1992, Andrew Tanenbaum (MINIX creator) publicly declared Linux "obsolete" because it used a monolithic kernel instead of a microkernel design. Torvalds responded that practical performance mattered more than theoretical purity. The debate is now studied in OS courses as a case study in engineering trade-offs.	comp.os.minix
linux-fundamentals/t003	linux-fundamentals	tux,penguin,mascot	Why a Penguin Mascot	Linus Torvalds chose a penguin because he was reportedly bitten by a little penguin at the Canberra Zoo in Australia and developed "penguinitis" — a fondness for penguins. Larry Ewing created the Tux image in 1996 using GIMP. The name "Tux" may derive from "Torvalds' Unix."	linux-kernel-archives
linux-fundamentals/t004	linux-fundamentals	kernel-panic,naming,crash	Kernel Panic Origin	"Kernel panic" dates back to Unix V5 at Bell Labs (1974). The panic() function was called when the kernel encountered an unrecoverable error. The term was deliberately dramatic — if the kernel itself panics, the situation is truly dire. Linux inherited this terminology directly.	unix-history
linux-fundamentals/t005	linux-fundamentals	epoch,1970,time	Unix Epoch January 1 1970	The Unix epoch (time zero) is January 1, 1970, 00:00:00 UTC because that was roughly when Unix was being developed at Bell Labs. It was a round, recent date that minimized wasted bits. The original time_t was a 32-bit integer counting seconds, giving a range until January 19, 2038.	unix-history
linux-fundamentals/t006	linux-fundamentals	etc,naming,directory	The /etc Name Origin	/etc originally meant "et cetera" — it was a dumping ground for files that didn't fit elsewhere in early Unix. The backronym "Editable Text Configuration" emerged later but was never official. Dennis Ritchie confirmed it was simply the catch-all directory.	bell-labs-history
linux-fundamentals/t007	linux-fundamentals	root,uid-zero,superuser	Why Root Is UID 0	Root is UID 0 because the kernel checks for UID 0 specifically when determining superuser privileges — it's hardcoded, not configurable. This means you could rename the "root" account to anything and it would still be the superuser. The name "root" refers to the root of the filesystem (/).	unix-history
linux-fundamentals/t008	linux-fundamentals	y2038,time,overflow	The Y2038 Problem	On January 19, 2038, at 03:14:07 UTC, 32-bit signed time_t values will overflow, wrapping to December 13, 1901. Linux addressed this by moving to 64-bit time_t (good until the year 292,277,026,596). Embedded systems and legacy 32-bit code remain vulnerable.	kernelnewbies
linux-fundamentals/t009	linux-fundamentals	monolithic,kernel,design	Monolithic by Pragmatism	Linux uses a monolithic kernel (all drivers in kernel space) not because Torvalds believed it was theoretically superior, but because it was simpler to implement and faster. Loadable kernel modules (added later) gave Linux some of the flexibility of microkernels while keeping performance.	tanenbaum-debate
linux-fundamentals/t010	linux-fundamentals	daemon,naming,mythology	Daemon Etymology	"Daemon" in computing comes from Maxwell's demon, a thought experiment in physics about an entity that works in the background sorting molecules. The usage was adopted at MIT's Project MAC in the 1960s. Daemons are not "demons" — the spelling distinction is intentional.	jargon-file
