id	category	tags	topic_text	trivia_fact	source
storage/t001	storage	raid,berkeley,history	RAID Invention	RAID was invented at UC Berkeley in 1987 by David Patterson, Garth Gibson, and Randy Katz. Their paper "A Case for Redundant Arrays of Inexpensive Disks" proposed using many cheap drives instead of one expensive mainframe disk, with redundancy to handle failures.	patterson-gibson-katz-1988
storage/t002	storage	raid,acronym,naming	RAID Renamed	RAID originally stood for "Redundant Array of Inexpensive Disks." The storage industry later changed "Inexpensive" to "Independent" because enterprise drive vendors did not want their expensive products associated with the word "inexpensive."	storage-industry-history
storage/t003	storage	san,nas,architecture	SAN vs NAS	SAN (Storage Area Network) presents raw block devices over a dedicated network — the server sees a disk. NAS (Network Attached Storage) presents file systems over the regular network — the server sees shared folders. The distinction is block-level vs file-level access.	storage-networking-fundamentals
storage/t004	storage	iscsi,scsi,tcp	iSCSI Innovation	iSCSI (Internet SCSI) takes the venerable SCSI protocol and tunnels it over TCP/IP, letting you build a SAN using ordinary Ethernet instead of expensive Fibre Channel. IBM and Cisco developed it in the early 2000s, democratizing storage networking.	ietf-rfc3720
storage/t005	storage	nvme,bypass,performance	NVMe Revolution	NVMe (Non-Volatile Memory Express) was designed from scratch for flash storage, bypassing the SCSI command stack entirely. SCSI was designed for spinning disks with a single command queue of 32 entries. NVMe supports 65,535 queues with 65,536 commands each.	nvme-specification
storage/t006	storage	ssd,disk,naming	SSDs Called Disks	SSDs have no spinning disks, yet operating systems and tools still refer to them as "disks." Commands like fdisk, df (disk free), and /dev/sda (SCSI disk) persist because decades of software and documentation assume rotating storage. The naming is too entrenched to change.	unix-history
storage/t007	storage	jbod,acronym,simple	JBOD Acronym	JBOD stands for "Just a Bunch of Disks" (or "Just a Bunch of Drives"). It means drives are presented individually with no RAID configuration — each disk is independent. The informal acronym reflects the simplicity of the concept compared to RAID levels.	storage-terminology
storage/t008	storage	zfs,sun,copy-on-write	ZFS Revolution	ZFS was created at Sun Microsystems by Jeff Bonwick and Matt Ahrens, announced in 2004. It combined the filesystem and volume manager into one layer, introduced copy-on-write, checksumming of all data, and self-healing. The name originally stood for "Zettabyte File System."	sun-microsystems-zfs
storage/t009	storage	raid5,write-hole,risk	RAID 5 Write Hole	RAID 5 has a known vulnerability called the "write hole." If power fails during a write, the data and parity stripe can become inconsistent. A battery-backed write cache or ZFS-style copy-on-write eliminates this risk, which is why enterprise controllers always have BBU.	raid-advisory-board
storage/t010	storage	tape,lto,archival	Tape Still Lives	Magnetic tape remains the cheapest storage medium per terabyte. LTO-9 tapes hold 18 TB each (45 TB compressed). Major cloud providers and media companies still use tape libraries for archival — the "cold" tier of storage. Tape's sequential access is slow, but cost and longevity are unbeatable.	lto-consortium
storage/t011	storage	fibre-channel,spelling	Fibre Channel Spelling	Fibre Channel deliberately uses the British/French spelling "Fibre" rather than the American "Fiber." This was intentional to distinguish the storage protocol from fiber optic cabling in general. Fibre Channel can actually run over copper cables too, making the name doubly confusing.	ansi-fibre-channel
storage/t012	storage	3-5-inch,form-factor,history	3.5-Inch Form Factor	The 3.5-inch hard drive form factor was introduced by Rodime in 1983 and became the server standard. The measurement refers to the platter diameter. Enterprise drives shifted to 2.5-inch for better density and lower power, but 3.5-inch persists for high-capacity spinning drives.	rodime-history
