pattern_id	primary_symptom	top_investigation_commands	linked_assets
FP-001_crashloopbackoff	Pod CrashLoopBackOff with increasing restarts	kubectl logs --previous; kubectl describe pod; kubectl get events	training/library/runbooks/crashloopbackoff.md; training/interactive/incidents/scenarios/crashloop-bad-command.sh; training/library/runbooks/crashloopbackoff.md
FP-002_readiness_probe_failure	Pod Running 0/1, rollout stuck, 0 endpoints	kubectl describe pod; kubectl get endpoints; kubectl exec wget	training/interactive/runtime-labs/lab-runtime-01-rollout-probe-failure/; training/library/runbooks/readiness_probe_failed.md; training/interactive/incidents/scenarios/readiness-probe-wrong-path.sh
FP-003_imagepullbackoff	Pod ImagePullBackOff or ErrImagePull	kubectl describe pod; kubectl get deploy -o jsonpath image	training/library/runbooks/imagepullbackoff.md; training/interactive/incidents/scenarios/imagepull-bad-tag.sh; training/library/runbooks/imagepullbackoff.md
FP-004_oomkilled	Pod OOMKilled in Last State, CrashLoopBackOff	kubectl describe pod; kubectl top pods; kubectl get deploy resources	training/interactive/runtime-labs/lab-runtime-08-resource-limits-oom/; training/library/runbooks/oomkilled.md; training/interactive/incidents/scenarios/oomkill-low-memory.sh
FP-005_hpa_not_scaling	HPA shows unknown metrics, pods not scaling	kubectl get hpa; kubectl describe hpa; kubectl get --raw metrics API	training/interactive/runtime-labs/lab-runtime-02-hpa-live-scaling/; training/library/runbooks/hpa_not_scaling.md; training/interactive/incidents/scenarios/hpa-not-scaling.sh
FP-006_dns_resolution_failure	nslookup fails, services unreachable by name	kubectl get pods kube-system kube-dns; kubectl run dns-test nslookup; kubectl exec cat /etc/resolv.conf	training/library/runbooks/dns_resolution.md; training/interactive/incidents/scenarios/dns-bad-service-name.sh; training/library/runbooks/dns_resolution.md
FP-007_networkpolicy_block	Pods can't reach services, wget timeouts	kubectl get networkpolicy; kubectl describe networkpolicy; kubectl exec wget	training/library/runbooks/networkpolicy_block.md; training/interactive/incidents/scenarios/networkpolicy-block-ingress.sh; training/interactive/chaos/scripts/toggle_networkpolicy.sh
FP-008_service_selector_mismatch	Service exists but 0 endpoints	kubectl get svc -o yaml selector; kubectl get pods --show-labels; kubectl get endpoints	training/interactive/incidents/scenarios/service-selector-mismatch.sh; training/interactive/incidents/scenarios/service-port-mismatch.sh
FP-009_prometheus_target_down	Prometheus target DOWN, metrics missing	kubectl get servicemonitor -o yaml; kubectl get svc --show-labels; kubectl get endpoints	training/interactive/runtime-labs/lab-runtime-03-observability-target-down/; training/library/runbooks/prometheus_target_down.md; training/interactive/incidents/scenarios/prometheus-target-down.sh
FP-010_loki_no_logs	No logs in Grafana Loki, Promtail not running	kubectl get pods promtail; kubectl logs promtail; curl loki /ready	training/interactive/runtime-labs/lab-runtime-04-loki-no-logs/; training/library/runbooks/loki_no_logs.md; training/interactive/incidents/scenarios/loki-no-logs.sh
FP-011_helm_upgrade_failure	helm upgrade fails, release FAILED/PENDING	helm list; helm history; helm status; helm template --debug	training/interactive/runtime-labs/lab-runtime-05-helm-upgrade-rollback/; training/library/runbooks/helm_upgrade_failed.md; training/interactive/incidents/scenarios/helm-upgrade-bad-values.sh
FP-012_rollout_stuck	Rollout hangs, old pods running, new pods not ready	kubectl rollout status; kubectl get pods; kubectl describe deployment	training/interview-scenarios/01-deployment-stuck-progressing.md; training/interactive/exercises/levels/level-15/k8s-rollout/
FP-013_ingress_404	HTTP 404 from ingress, possibly intermittent	kubectl get ingress -o yaml; kubectl get endpoints; curl with Host header	training/library/runbooks/ingress_404.md; training/interview-scenarios/10-ingress-404.md; training/interactive/exercises/levels/level-24/k8s-ingress/
FP-014_rbac_forbidden	403 Forbidden on API calls	kubectl auth can-i --list; kubectl get roles rolebindings	training/library/runbooks/rbac_forbidden.md; training/interview-scenarios/09-rbac-forbidden.md; training/interactive/exercises/levels/level-41/k8s-rbac-permission/
FP-015_tempo_no_traces	No traces in Grafana Tempo	kubectl get pods tempo; curl tempo /ready; check OTLP endpoint	training/library/runbooks/tempo_no_traces.md; training/interactive/incidents/scenarios/tempo-no-traces.sh
