id	category	tags	topic_text	trivia_fact	source
http-protocol/t001	http-protocol	history,cern,berners-lee	HTTP Born at CERN	Tim Berners-Lee wrote the first HTTP specification at CERN in 1989-1991 as part of his proposal for the World Wide Web. His original goal was to help physicists share documents — he had no idea it would become the foundation of the modern internet economy.	info.cern.ch, Berners-Lee proposal
http-protocol/t002	http-protocol	http09,get,simplicity	HTTP/0.9 Only Had GET	The original HTTP/0.9 (1991) supported exactly one method: GET. There were no headers, no status codes, no content types — just a request for a document and a stream of HTML back. The response ended when the server closed the connection. The entire protocol fit in a single paragraph.	HTTP/0.9 specification
http-protocol/t003	http-protocol	stateless,design,philosophy	Why HTTP Is Stateless	HTTP was designed stateless because Berners-Lee envisioned a document retrieval system where each request was independent — like picking up a book in a library. This radical simplicity made HTTP enormously scalable but created the entire "session management" problem that cookies, tokens, and frameworks exist to solve.	Berners-Lee design notes
http-protocol/t004	http-protocol	cookies,unix,naming	Cookies Named After Unix	HTTP cookies were named after "magic cookies" in Unix programming — opaque tokens passed between programs. Lou Montulli at Netscape invented web cookies in 1994 to solve the shopping cart problem: without state, a site couldn't remember what you'd added. He borrowed both the concept and the name from Unix tradition.	Montulli cookie specification, 1994
http-protocol/t005	http-protocol	rest,fielding,dissertation	REST From a Dissertation	REST (Representational State Transfer) was defined by Roy Fielding in his 2000 PhD dissertation at UC Irvine. Fielding was also a principal author of the HTTP/1.1 specification, so REST wasn't an abstract theory — it was a formal description of the architectural principles he'd already built into HTTP.	Fielding dissertation, 2000
http-protocol/t006	http-protocol	404,cern,myth	The 404 Room Myth	The popular myth that "404 Not Found" refers to Room 404 at CERN where the first web servers lived is false. HTTP status codes were designed systematically: 4xx means client error, and 04 was simply the fourth code in the sequence. The real Room 404 story was invented retroactively.	HTTP spec history, CERN archives
http-protocol/t007	http-protocol	http2,spdy,google	HTTP/2 Based on SPDY	HTTP/2 (2015) was directly based on Google's SPDY protocol, which Google had been running in Chrome since 2009. SPDY proved that multiplexing, header compression, and server push actually improved performance. The IETF essentially standardized SPDY with modifications, and Google deprecated SPDY once HTTP/2 shipped.	RFC 7540, Google SPDY docs
http-protocol/t008	http-protocol	http3,quic,udp	HTTP/3 Runs on UDP	HTTP/3 (2022) abandoned TCP entirely in favor of QUIC, a Google-designed protocol built on UDP. This was necessary because TCP's head-of-line blocking problem couldn't be fixed without changing the transport layer. Moving the internet's primary protocol off TCP was considered radical, but Google had been testing it in Chrome since 2013.	RFC 9114, Google QUIC
http-protocol/t009	http-protocol	referer,typo,permanent	The Referer Typo	The HTTP "Referer" header is a permanent misspelling of "Referrer." Phillip Hallam-Baker made the typo in the original HTTP specification draft (RFC 1945), and by the time it was noticed, too much software depended on the misspelling to fix it. The correct spelling "Referrer" is used in newer APIs like Referrer-Policy.	RFC 1945, HTTP spec errata
http-protocol/t010	http-protocol	status-codes,design,categories	Status Code Design	HTTP status codes follow a deliberate pattern: 1xx=informational, 2xx=success, 3xx=redirection, 4xx=client error, 5xx=server error. This design was inspired by FTP's three-digit reply codes (from 1971). The system is extensible — new codes like 429 (Too Many Requests) and 451 (Unavailable for Legal Reasons) were added decades later.	RFC 7231
http-protocol/t011	http-protocol	451,censorship,fahrenheit	HTTP 451 and Fahrenheit	Status code 451 (Unavailable for Legal Reasons) was explicitly numbered as a reference to Ray Bradbury's "Fahrenheit 451," a novel about censorship and book burning. Tim Bray proposed it in 2015 to distinguish government-mandated content blocking from generic 403 Forbidden responses.	RFC 7725
http-protocol/t012	http-protocol	keep-alive,performance,http11	Keep-Alive Changed Everything	HTTP/1.0 opened a new TCP connection for every request — loading a page with 30 images meant 30 TCP handshakes. HTTP/1.1 (1997) made persistent connections the default via Keep-Alive, reducing latency dramatically. This single change probably did more for web performance than any subsequent HTTP feature.	RFC 2616
http-protocol/t013	http-protocol	etag,caching,hashing	ETag Name Origin	The "ETag" (Entity Tag) header is essentially a fingerprint for a specific version of a resource. The name "entity tag" comes from HTTP's formal terminology where a response body is called an "entity." Despite the name, ETags are just opaque strings — they can be hashes, version numbers, or anything the server chooses.	RFC 7232
http-protocol/t014	http-protocol	teapot,418,joke	HTTP 418 I'm a Teapot	Status code 418 "I'm a teapot" comes from the 1998 April Fools' RFC 2324, which defined the Hyper Text Coffee Pot Control Protocol. Despite being a joke, 418 has been implemented by Google, Node.js, and many frameworks. Multiple attempts to reclaim the code for real use have been defeated by developer outcry.	RFC 2324
http-protocol/t015	http-protocol	cors,same-origin,security	CORS Exists Because of Browsers	Cross-Origin Resource Sharing (CORS) only exists because browsers enforce the Same-Origin Policy — server-to-server HTTP has no such restriction. CORS headers are essentially the server telling the browser "it's okay, I trust that other origin." The complexity of CORS preflight requests has frustrated developers since its introduction in 2009.	W3C CORS specification
