id	category	tags	topic_text	trivia_fact	source
k8s-security/t001	k8s-security	kubernetes,rbac,history	RBAC in Kubernetes	Role-Based Access Control (RBAC) became generally available in Kubernetes 1.8 (2017). Before RBAC, Kubernetes relied on the simpler ABAC (Attribute-Based Access Control) system, which required restarting the API server to change policies — a serious operational headache.	Kubernetes 1.8 release notes
k8s-security/t002	k8s-security	kubernetes,psp,deprecation	PodSecurityPolicy Saga	PodSecurityPolicy (PSP) was deprecated in Kubernetes 1.21 and removed in 1.25 after years of being considered too complex and confusing. It was replaced by the simpler Pod Security Admission controller, which uses three predefined levels (Privileged, Baseline, Restricted) instead of custom policies.	KEP-2579 Pod Security Admission
k8s-security/t003	k8s-security	kubernetes,serviceaccount,identity	Why ServiceAccounts	ServiceAccounts give pods an identity for API server authentication. Every namespace has a "default" ServiceAccount automatically. Before bound service account tokens (Kubernetes 1.24), SA tokens were non-expiring secrets mounted into every pod — a significant security risk that was quietly exploited in many breaches.	Kubernetes ServiceAccount docs
k8s-security/t004	k8s-security	kubernetes,namespace,default	Default Namespace Problem	The "default" namespace in Kubernetes is a well-known security anti-pattern. Resources created without specifying a namespace land in "default," leading to mixed workloads, overly broad RBAC rules, and difficulty applying network policies. Production best practice is to never use the default namespace for real workloads.	Kubernetes security best practices
k8s-security/t005	k8s-security	kubernetes,secrets,base64	Secrets Are Not Encrypted	Kubernetes Secrets are base64-encoded, not encrypted — a common and dangerous misconception. Anyone with API access to read Secrets sees the plain values after decoding. To get real encryption, you need encryption at rest (EncryptionConfiguration) or an external secret manager like Vault or Sealed Secrets.	Kubernetes Secrets documentation
k8s-security/t006	k8s-security	kubernetes,admission,controllers	Admission Controllers	Admission controllers are gatekeepers that intercept API requests after authentication and authorization but before persistence. Kubernetes ships with over 30 built-in admission controllers. Mutating admission webhooks (added in 1.9) let you inject sidecars, add labels, or modify resources on the fly — this is how Istio injects its proxy.	Kubernetes admission controller docs
k8s-security/t007	k8s-security	kubernetes,etcd,encryption	etcd Stores Everything	etcd stores all Kubernetes cluster state, including Secrets, in plain text by default. Anyone with direct etcd access can read every Secret in the cluster. This is why etcd security (TLS, access control, encryption at rest) is considered the most critical aspect of cluster hardening.	Kubernetes etcd security docs
k8s-security/t008	k8s-security	kubernetes,seccomp,profiles	Seccomp Profiles	Seccomp (Secure Computing mode) profiles restrict which Linux system calls a container can make. Kubernetes added seccomp support as GA in 1.19. The RuntimeDefault profile blocks about 40 dangerous syscalls while allowing ~300 common ones — a significant attack surface reduction with minimal application impact.	Kubernetes seccomp docs
k8s-security/t009	k8s-security	kubernetes,opa,gatekeeper	OPA Gatekeeper	OPA (Open Policy Agent) Gatekeeper is the most popular policy engine for Kubernetes. It uses Rego, a declarative query language, to define policies enforced via admission webhooks. Gatekeeper can prevent deploying images without tags, block privileged pods, enforce resource limits, and hundreds of other organizational policies.	OPA Gatekeeper documentation
k8s-security/t010	k8s-security	kubernetes,supply-chain,sigstore	Image Signing	Supply chain security became a major Kubernetes concern after high-profile attacks (SolarWinds, Log4j). The Sigstore project, started by Google and Red Hat in 2021, provides keyless signing and verification for container images. Kubernetes 1.24 added alpha support for verifying signed images via admission policies.	Sigstore project, Kubernetes KEPs
